,Result
16,0.17429714434250768 0.4477271893403014 0.43847348283361987 0.5015197496747062 0.4519831752925051 0.4534479428727574 0.38186212189674 0.21606849289960425 0.4729026370141106 0.25046518588676914 0.7085554798806333 0.5416642108003419 0.7935376159952172 0.20699853130536222 0.12412641652469894 0.8387604169802337 0.7412167653948044 0.18799108835005926 0.4296047813762487 0.6498275181856166 0.6786049632857822 0.4860818389091636 0.5974481315280633 0.28273245625709753 0.5476473236098367 0.3864163071340161 0.3284244823491627 0.4494897260014695 0.38357564587727067 0.12109805450211542 0.6759501634417026 0.790273281513628 0.18306469375202727 0.06906692371386941 0.3691912341852793 0.5448602996972643 0.683021499081746 0.31201860599159137 0.7171240812219418 0.4169718303558435 0.6914357927503528 0.643872489498977 0.4840071324162689 0.4352933841403792 0.6077984383299668 0.6463496557681478 0.43657714499120603 0.8389585570992948 0.17667665914750158 0.6887947735347297 0.9013680121564944 0.663351401227279 0.46875548459309585 0.274011421738576 0.23902821470844052 0.6422361483074859 0.7580982063101921
17,0.10514803155868567 0.4477496030397104 0.4384837182249945 0.32809768288805197 0.2657348821436345 0.9263120344296462 0.35192919113753507 0.9035620711688703 0.2798292047169182 0.8926841541159172 0.5712238687214617 0.6862138256766224 0.728676020058743 0.7356457708021956 0.6621208966043094 0.11375773936012612 0.05643247886967484 0.38093970324587234 0.5401537061085694 0.7469211632336227 0.653077803521785 0.8921735331262888 0.375981746353023 0.8933887682340205 0.6454051900737361 0.6501968440678577 0.659845729881831 0.5133989385662416 0.6898574058415468 0.7063144658907006 0.584088449953373 0.2376501879510486 0.07918288268577656 0.27842075368721836 0.05000102204268288 0.9227345869224576 0.2566106279192598 0.4122716321051918 0.9132743166937598 0.028085888365030717 0.6443166822815194 0.9193462325369245 0.5118438945876829 0.20186568491546514 0.53460668233747 0.0562913093576764 0.7296948434612252 0.6520109165519092 0.7988468744871181 0.10479864483461672 0.2453105615178685 0.23818523318133714 0.2316430152056148 0.6736263514629279 0.9000293352580555 0.046546883290035646 0.8423095187528812
18,0.24247015303672517 0.4477337319001685 0.43847828854129856 0.28789257792370887 0.20523888059169954 0.29235082134017504 0.7898131257652498 0.3949156030224864 0.4597782588458115 0.9659215326275967 0.7460681975661047 0.4908824080845438 0.3317712604920161 0.38586079940466644 0.16819556329711574 0.6849606536815616 0.4567946060137646 0.564964729401866 0.06306567150562437 0.11255308461688592 0.21202911461963653 0.0382236904723049 0.03673929112361107 0.8096640940943927 0.5078879851470984 0.4196033943160829 0.15759176207697842 0.8797093768303056 0.6159665032742216 0.8226684763156679 0.8383180151621855 0.6386846681955367 0.24203672053464284 0.19606936986191095 0.932157038184267 0.9711091572823887 0.812292517831298 0.4534249596516173 0.27542156728204686 0.24834253086140395 0.2473996160255679 0.19390113252648575 0.8123788573090491 0.09033196815483503 0.8227394574403145 0.8348938452587584 0.4469373772632983 0.5624602902035933 0.07861662230914407 0.5430020077504253 0.05493893731174908 0.3269365901015204 0.429285215091727 0.8395712638885166 0.18085581372961795 0.9291599027477466 0.367721405871513
19,0.12622768791991404 0.44773536254018204 0.4384806574018024 0.2934673202850271 0.8124917045947438 0.1380694981098001 0.44967228484779737 0.21416572192440733 0.24642097379566302 0.3435992254181034 0.4151302434998687 0.5437049379797319 0.3549693232048414 0.7652563508325567 0.9039574175158306 0.13979366649750036 0.17479037409846354 0.9475083491932265 0.7125796103792917 0.8705024957543305 0.7370352486648357 0.5066488524331896 0.9054382319828247 0.8162822258194874 0.6356385909656925 0.9090477049919887 0.3807323516915166 0.3167724273314666 0.29517139668807885 0.6408345226899946 0.8829317982289921 0.7825666361768915 0.8167813661867831 0.9015203766568837 0.6641903198623821 0.9532621601074793 0.9430892417442864 0.7491451530402844 0.16930735490292173 0.28420028656715157 0.6658190152325068 0.8165292610406764 0.5376694324426963 0.21167875161461083 0.16520067834461097 0.5551082417553069 0.3403427871304382 0.5491306863302601 0.5186270716640539 0.2995665077661698 0.6897385315482131 0.5623522364699459 0.6022826723477467 0.14184038195271145 0.61316496096234 0.46437535363709476 0.049558488359580544
20,0.23306840952095204 0.4477337358236343 0.43847828962040225 0.23872752899172395 0.715498127238599 0.4231753131726929 0.7346898626332222 0.5719750995961321 0.4019353732268687 0.4146892562515415 0.16648467941371417 0.6754790338627723 0.5809851962574992 0.7903728829848732 0.5397521994530138 0.18382213877125864 0.4230675035865955 0.4073711151424295 0.7107338472942515 0.618054376966439 0.42184180818143024 0.42539099469944935 0.3102691711545593 0.6167647702082328 0.3886078849728447 0.8278257478221753 0.5952415649482454 0.8694349673926602 0.433431042061652 0.3989109855975482 0.9722387952676522 0.7341732560196311 0.7438552218815637 0.6960472126228404 0.45003381484060423 0.6350499750504243 0.5554731601816995 0.507026514501076 0.5401662805878127 0.43192694262514614 0.4455322454173201 0.8295001053509176 0.4183076302469967 0.23222669032604223 0.7962806811563394 0.8190162518361157 0.7147649150906081 0.36111770899071016 0.28155906495038624 0.19076863397210597 0.688837570779821 0.1622391868031722 0.4508546091918109 0.41297264913010434 0.8898007333968986 0.8242895377926552 0.42634074819634943
21,0.04887738051272678 0.4477405811072693 0.43848131974338345 0.12869716173174298 0.6810435246305373 0.687146688842747 0.8635384760115407 0.10650375307330498 0.5113825116507577 0.8349845449789247 0.8013314879609754 0.208515151227883 0.7964578887942675 0.7217389294639069 0.7561912899721626 0.7148828573062359 0.19079159417757524 0.29323507634700896 0.744021273266448 0.770465396311462 0.9072655436768962 0.7960190602652922 0.5126158522494569 0.4504903279853521 0.3911180867479029 0.20540696612623735 0.7933772476150961 0.35154022949195957 0.6066866047495996 0.04406882113961395 0.8253394847976515 0.5662658864657456 0.5267357194161076 0.4528926364474029 0.737573703815362 0.6805147318781343 0.9571256903162341 0.1359758591408976 0.36494135221112184 0.845578596064045 0.3317814375020252 0.5377849186817933 0.5321313499517037 0.6453894868490281 0.2666777602623527 0.48947729937389467 0.3528453631172318 0.6834847140106701 0.7110830798143061 0.03100782917645714 0.7254257567110796 0.6211037960503435 0.6138934844698734 0.4007146808662434 0.6649135326902021 0.25024414134729894 0.24233452741006897
22,0.21558134994646674 0.4477379845364628 0.438479725242812 0.44682880389471863 0.5880796488326899 0.19172791273737344 0.7112160413602582 0.4854369045243089 0.5027014547720058 0.022254355338905785 0.8922925982573064 0.9165321318079893 0.8494883546555267 0.7295156481598019 0.9937177889864444 0.3720335016281525 0.1735421874774866 0.7391835640122306 0.5394470437682183 0.8337801642138353 0.8775428278958572 0.29614255874962025 0.621438032326696 0.6030812057837146 0.9564754557179631 0.35965687217979 0.11294141243620351 0.8180542280257702 0.5663824516577742 0.8533948165122068 0.12945892971061956 0.5593349204817775 0.6508245347574837 0.1904989095943791 0.2571950134122554 0.29557471371873073 0.7763993002448979 0.6381938061047272 0.32425255290116084 0.018247587566605446 0.43265200253823116 0.9855329543500623 0.9069585314508515 0.5704271703386108 0.5208021579466178 0.9094788787583716 0.960144623312882 0.5245826181242228 0.43576690478232966 0.014824285275954313 0.3968146718767023 0.7667090569889611 0.3607037824499668 0.7387629991816688 0.12088734865308753 0.7117541434546393 0.3306944450204886
23,0.20313892351038607 0.44773198248554774 0.43847623215857845 0.36372944558477965 0.7364790012501886 0.7513449653614468 0.5387600507415526 0.3705208427800612 0.6467058603692276 0.20970265360239002 0.7027231285488271 0.4828809834109913 0.25501597780053603 0.6948849820103751 0.3921834095899233 0.44396747072657095 0.33313888670937597 0.2802539367730681 0.17582962251786358 0.6981990863973068 0.7589098654162564 0.6697797712449435 0.810810169286089 0.3369176664177075 0.54797883397219 0.4411794364349106 0.21654927555841763 0.6584823719995657 0.7647105720051652 0.6813599590138982 0.3598166021726975 0.7918568618260944 0.25479043597099893 0.5745514751697854 0.4236153654378295 0.33120434199914245 0.2507473329027355 0.6162667446557067 0.3781120120134329 0.4828280645661317 0.1728920574260183 0.14091585697848774 0.3626124540615049 0.4715178444878651 0.5555294600503276 0.06741007080598105 0.5791743689799139 0.398674254955557 0.21486315966049901 0.22922141039189503 0.3911130870781985 0.29176636316477267 0.3351553848257217 0.2294432788787788 0.1616234853806936 0.6716376244729513 0.4297797434629902
24,0.05097470541230596 0.4477336587038102 0.438478146712492 0.7019156985668071 0.7748048564741872 0.7558600045300166 0.16936090334316212 0.760086385055932 0.12028236037085835 0.6378427571095094 0.8904384372571202 0.14998572326050083 0.2350802284028493 0.26618290364292757 0.2914230392054818 0.3108919414378006 0.6854229381107922 0.3948633727077665 0.5836156829438807 0.573192827886478 0.2246183074907555 0.2228367380057597 0.6486267635905095 0.8012365219763616 0.5073383569802407 0.9852201254866473 0.38934328175472027 0.7932480609208511 0.5974790096094501 0.34281740151292306 0.17621342991360292 0.28031627787560115 0.6132547375188255 0.19617310313447894 0.4869523928125856 0.34737596400392257 0.7193454722638805 0.25034941493593527 0.8164142421548344 0.6388267857024745 0.6565468739878922 0.7900471670988434 0.8516139386511163 0.28749420019241234 0.8701300369765167 0.24014504773342452 0.894395772037228 0.5898020057674989 0.9543965558739926 0.5753144218181295 0.3994323277648967 0.25852955096134345 0.607099784909131 0.6164306227710116 0.6246975803481946 0.5961703429152163 0.4413902787193016
25,0.20224589813341684 0.4477326812178114 0.4384779392225508 0.913318098499285 0.1927058190675989 0.752849619564829 0.23674957793252913 0.47141322442660605 0.5742593069270132 0.25280848950816653 0.15388899322616123 0.07593995493966513 0.3233359707497038 0.5316536050519283 0.6003991431212543 0.6237357875639156 0.5996339612031649 0.6140276377443337 0.6734980914994287 0.7952754429540666 0.6595920908911094 0.8909777013849877 0.564012826060892 0.5878827004728424 0.771360616335866 0.1833298296868688 0.9671778796131174 0.3869497677814548 0.7689626253757912 0.1122892925370617 0.6023687184670521 0.48070987685582967 0.45889612345787123 0.4432176296539933 0.21370128822351553 0.7407572361653973 0.22922327230561376 0.0870184214126171 0.6045660542044903 0.08109867449101618 0.8438083944031314 0.746800725732011 0.7522814070803638 0.6762385687117496 0.46579391319398356 0.11748056478869237 0.7712802503073062 0.9493195731305412 0.5425415136301593 0.49622147454792537 0.7021302154242317 0.30204862454543085 0.4434307078506595 0.332316747246169 0.17832054523976318 0.23250592131070794 0.7311556736981828
