,Result
1,0.24932698333068934 0.4477337343290721 0.43847829063302046 0.5303789999138366 0.5861975379056135 0.557113578360666 0.5522889460691289 0.4168090642752714 0.7076079768877012 0.2935245605919903 0.45989612066222896 0.52609345844346 0.49751168958596437 0.5991999355327572 0.4109332933700977 0.34863621749573276 0.5370245835764895 0.4212144493113931 0.6968878926059549 0.22202959979824555 0.37870874873726534 0.49892685966964895 0.3828300568856545 0.8430103016677547 0.3728220090353433 0.4428327863661993 0.48969421527728124 0.720338471416759 0.46577645925799993 0.5035620829200773 0.3629416417522522 0.45701533210605294 0.7356958839893637 0.5303093064119974 0.5323891525834901 0.4148800143574521 0.31858445587277895 0.41809798078302335 0.4833587484111084 0.350624746076509 0.4673967485000707 0.3807402229685311 0.5838426287071924 0.6785169080621195 0.3963978208512367 0.5286635327122764 0.6951743029018574 0.4651546986602528 0.5962185202270712 0.4842906692985576 0.3617898652384575 0.4644034677801524 0.5363437433961294 0.6506209952378886 0.6071985601350233 0.6598749764548697 0.563456336706372
2,0.2666654815424664 0.447733736946098 0.43847829224014956 0.2991951799735467 0.5689491395683705 0.5539426800730068 0.5527782478869709 0.5067803584504863 0.3019202056534269 0.5820186401761823 0.30980749924681394 0.4092255846611771 0.6430787140553046 0.6934593261109594 0.5686591552761617 0.5142523182149233 0.564823293413879 0.5203236713328168 0.39634751743141083 0.3086200878066479 0.4023378044717296 0.35079534927941164 0.5161046036865219 0.5994135729502357 0.4795278358498083 0.5682288936816023 0.5774132999675553 0.5164357603235351 0.3879779714275607 0.4841091329189965 0.5142432417786112 0.6164800920439263 0.551798155643405 0.3585997394470971 0.4147522981005966 0.4511023778259686 0.31237717589661 0.539784852656646 0.610713450578561 0.5635580402173466 0.5081396335174627 0.43957710703521696 0.26687080603126273 0.40603600664447653 0.4754779240648865 0.5847701047351553 0.44754574346069653 0.32330311245255394 0.3931662053629833 0.3491913173788411 0.6912978344662849 0.48919047613128686 0.3349252092156289 0.6621154065980516 0.40086196056090057 0.43394447614446746 0.6107860758441654
3,0.31371954092934906 0.44773373768881697 0.4384782914729815 0.5120331742773283 0.4082481080503238 0.4824496304846985 0.49507260434680656 0.43990904099826117 0.4059029369002722 0.6105238193066803 0.46747474630461394 0.5593388496531679 0.6619881765206093 0.33575627177882517 0.3978716169716187 0.20779355221618803 0.5747419028074846 0.6181750769999623 0.4988761225552318 0.5242301784951293 0.6451124285705443 0.4810526783998031 0.4304710092277627 0.32030838101946457 0.7039217370198863 0.581003770293819 0.661575754105615 0.4453245146963933 0.3549928883100849 0.7628949184227609 0.3296810676739804 0.42414139324516126 0.7994289360060356 0.7287995495608955 0.5151233940604516 0.4663608107619252 0.4271018330328962 0.5213310694626332 0.5517880952776335 0.4858036394733019 0.3267707006616882 0.5568371605811221 0.48067049091089237 0.44333100812885584 0.6420613266467398 0.49382640785342347 0.5345962533681253 0.6750214611992102 0.17704731738153429 0.6064586981428818 0.46091609770618036 0.5188715528513831 0.6729996055201565 0.3369675871794995 0.5872408312246319 0.43151917165831105 0.37709390270685433
4,0.31750203122039167 0.44773373589040816 0.43847829172871305 0.37640818355346006 0.6714565315706083 0.43252821801289576 0.5516479357745071 0.25278727892032976 0.4345196121002431 0.5076506293028762 0.31332406836053184 0.6253039361984817 0.5031224840021498 0.3869593051554237 0.34744031395845987 0.5008825002004816 0.5509698961133711 0.4607339224472718 0.4940373210123025 0.33591412058966585 0.3613552077305852 0.3504784574454698 0.5854154300510025 0.48636719956453467 0.4249535348221912 0.4197832000959486 0.5365480384686104 0.31446852279351606 0.5805735239279984 0.5620651364527247 0.4005674109994592 0.6631890739912245 0.44963528513252904 0.23018944522723458 0.48595370005199306 0.5289901478299947 0.6109219164341325 0.5031826952611724 0.43686289957654645 0.37595527605153 0.4341389211902018 0.33292275756998396 0.482744976765632 0.4619285642921723 0.7514522387363236 0.41932005522967614 0.4438262766722587 0.46107917720323227 0.646763054078621 0.5231686940437555 0.37578547000737506 0.6340741266572333 0.5065583259298532 0.48585043972127445 0.47036440960877907 0.43960709471590337 0.49607845956943725
5,0.30463396433636725 0.44773373441847886 0.4384782896674294 0.3519978849802865 0.5724717730508252 0.4621923533569573 0.5367176636796751 0.7052095516546697 0.6178057144443897 0.5735130711043744 0.5613183864236108 0.4496046001280028 0.7221530138650688 0.596351745900323 0.2882833000507341 0.6609107615244594 0.4644954762436469 0.27607192768016314 0.2792899213710052 0.3916849985467168 0.3561932417126834 0.37461245557211376 0.389945364925441 0.4017959694886447 0.4449088400422483 0.483079802990349 0.6284079089814876 0.4848925933995333 0.4454452119692213 0.5030307664327349 0.4542406677716226 0.591223973421366 0.28478899792668805 0.5695161883384874 0.4797789133270807 0.5614135945650384 0.6385858694766671 0.47169237241313994 0.4486088662794597 0.501164640978665 0.36763421884672826 0.2655016903440707 0.6060662148621009 0.3106855319050149 0.7842032547157032 0.5500842006500398 0.6581795044358816 0.4835997511899118 0.4640432004783495 0.35424920158504075 0.3643040576037503 0.34484911285786896 0.2990708342186942 0.4875244940889291 0.7106045679044338 0.522159865112008 0.6496457805309416
6,0.21377445618178542 0.44773373556814194 0.4384782904939222 0.5778767795826354 0.35000904102002733 0.6119959046748603 0.404115517666385 0.5759191132170469 0.5180503114576319 0.5071942400649421 0.4753109344823196 0.6569764064876887 0.35568492442372224 0.5660303115551248 0.4765670338458496 0.7206701435866696 0.42367800712486575 0.4606059801393218 0.6044819377353903 0.6465291935103182 0.5999231332930712 0.47745899131325553 0.44044604844544727 0.44303771585286605 0.6440483478036398 0.519475535394271 0.5184351067854409 0.6174987486591003 0.4805839166985838 0.3821634406788188 0.46583013327613737 0.6286719540416541 0.4670347548748622 0.3526093750076747 0.7147688605657117 0.5287668901485244 0.6042738447172403 0.5494162538068804 0.5928694696684753 0.41206104853604403 0.582766778521157 0.529724066255146 0.47394634685023396 0.5538761689424788 0.4847355621729997 0.5960180910568944 0.4370706333273118 0.5904466409498246 0.5141135518119603 0.5484039715959715 0.5513847674548497 0.48700090819748454 0.383596139095678 0.6327690121291876 0.5625516008811188 0.33510550197839384 0.5872216511320553
7,0.2647624627608851 0.4477337365150291 0.4384782924264258 0.4758111010339524 0.29253686189111017 0.45893782049578513 0.6348244721845989 0.445355548337706 0.37817862513595674 0.4855228609993079 0.6293365364233338 0.2923168895094494 0.4492538197218015 0.5214818176914902 0.47524435508711976 0.286360832924008 0.5369112594759654 0.5048667087399711 0.4910921933222718 0.49423890718270314 0.5790585397739715 0.5844206039127277 0.5972717751483733 0.53893575663849 0.49429568440303484 0.5157358633879914 0.6113598302812828 0.49591041889606463 0.6703755932762621 0.49855509272070675 0.5529670190463675 0.549578215365029 0.4984644400696888 0.5905108800771883 0.378732013400492 0.7735714862028134 0.48905852339995204 0.42451300875477604 0.5594843189435569 0.6644411372175907 0.5168262486404924 0.5018074524901055 0.43250767776303656 0.5299906297880511 0.3802455218222216 0.5536350850578076 0.5488562033867572 0.5825317290826698 0.41261345195126187 0.40786304551911484 0.3577925047214597 0.46886700337806736 0.5182339662589492 0.6024754280094767 0.46302890240953104 0.662099397604023 0.5878815258151916
8,0.22153218632949492 0.4477337347734692 0.4384782915686939 0.3403638886924882 0.44019253950714865 0.3891649424046735 0.5249817137180451 0.4686896843527481 0.48976592823842624 0.5179865044214744 0.46524878638176226 0.5277191789217017 0.4982009416918924 0.6350406250103877 0.4200433356823622 0.4584149212197164 0.4914709454740824 0.44922482334918346 0.609280430426805 0.5738648531359944 0.4141777258862615 0.462837984268588 0.5900337323575416 0.3336535783697977 0.4405646029911051 0.6232910425903614 0.4534746321132322 0.6821672908720602 0.6778013808518702 0.6391479854659505 0.6014881697297829 0.5095360542394756 0.6176596555869522 0.4975116371290805 0.6027856167502926 0.34763799525419686 0.48341144992761415 0.4218981260186068 0.5643289383965813 0.24847582623459355 0.41931864978936806 0.3723195583539345 0.45773946367475293 0.5581217941352326 0.5174914639592912 0.5525238843479234 0.32631018563104547 0.5954208457365827 0.619573248364029 0.5012092690389635 0.3683927020823324 0.618715091071327 0.5373690517852882 0.40885087088848615 0.6264999836284167 0.4691332696963185 0.5208091254882479
9,0.30420892625312296 0.4477337353053495 0.4384782900404378 0.41276380807022284 0.385876918755209 0.5401777360636899 0.4558082987497149 0.5959373365913121 0.43753780690527905 0.4162748920862731 0.4443110431017738 0.5993636548810312 0.651911401050585 0.5010170656941273 0.36294940747120663 0.47182186981633595 0.5517102207118744 0.6197469710562042 0.4664710426063337 0.5016759861608981 0.32904704720799055 0.6786154216119301 0.621932229501009 0.4593337730012899 0.4450837805249303 0.3240703447618733 0.4950898081361356 0.62210407400237 0.4579560506976551 0.40830523083673176 0.3684994999400523 0.5556061996189576 0.6426123608795496 0.6176535471949818 0.3835616498611254 0.30333394381933115 0.5089776401721943 0.5556494734071447 0.4569077545041444 0.561336955936015 0.6720776905831987 0.45393192051715725 0.5236187565865317 0.5733894681503848 0.45710195157324557 0.40211193476317236 0.533039548476611 0.4495874204082249 0.27636115550201945 0.22437300337988506 0.5628879050214763 0.5603414682282408 0.5226784890192746 0.6784185725487726 0.41230794522588954 0.7303321228106895 0.6116397797382672
10,0.3046775102575792 0.44773373486617424 0.4384782901126006 0.36829135332009844 0.614227948778437 0.4337223002728446 0.5682106911485882 0.43288426549087244 0.38095805164850693 0.49546059740037063 0.398601248398898 0.4424991667929345 0.4090973233435727 0.4870378509306476 0.5603958518955529 0.5184519476112363 0.7285418833144228 0.36018611172814957 0.3805779121501787 0.4294168868856213 0.587725234750118 0.615904271994465 0.47048752300528957 0.7125331310383298 0.533920452115462 0.6822003473543251 0.6845765631491155 0.4941616917037816 0.6887335608518481 0.5728588489155254 0.3376778987237346 0.5164411878235237 0.42021035724981165 0.4168852197232702 0.6534968499522709 0.3210829964816374 0.48515182666378154 0.6929582083868066 0.585798438507264 0.49555978695515907 0.4690342969460012 0.6764736811880138 0.5944043029932481 0.4510936304828082 0.453880450425907 0.26067671057671626 0.3717645578243047 0.4428329269397016 0.61149876038676 0.5711714540131269 0.46915305164833204 0.46049638568993645 0.4642249387730943 0.5377967674443435 0.5487356049850352 0.46610514564142086 0.3887611565095471
11,0.2790571847034328 0.4477337345547786 0.4384782899867641 0.37891815196321915 0.5418230233758846 0.4484717332260086 0.4909723275093089 0.7027351501947279 0.4681741303871597 0.507440241945246 0.3861702684005763 0.42879327886694024 0.6146881132254718 0.4340068569629242 0.3453878398968756 0.6319469407961661 0.38810442679353474 0.612954451875983 0.545663279405292 0.5235382378888155 0.4726234545000385 0.5709220562458449 0.5583447197073854 0.7074158349858121 0.4051934871469927 0.6129131218001894 0.6581168552465463 0.461366756228607 0.49074986283387106 0.37471218644613663 0.5564902972255418 0.5437667658187377 0.49967607879630555 0.5434780225724751 0.4804910744565056 0.4043453186489358 0.40188306689551806 0.4442261731425034 0.5551069677041676 0.4707189328054874 0.42761072193382077 0.44908539629636796 0.513326389843068 0.5647078257638039 0.6237325754894419 0.4151441412973953 0.560381163421918 0.2672154627582703 0.43819481665571325 0.5131637983924288 0.6594201542322006 0.6231036325721816 0.42653597591778786 0.48089726858367826 0.523092583971056 0.5002023552078879 0.3445097212687132
12,0.3081297516732432 0.44773373636522296 0.4384782891267641 0.40340168767245504 0.3396104780871782 0.5925801588032792 0.5978391349135646 0.5262182772890373 0.388979592304088 0.7092192051647176 0.6363401340839917 0.40326157320231604 0.3654724376389773 0.4375604475683565 0.5937154956558212 0.7008765081767215 0.42962247075291615 0.5455634083202324 0.5150282130558276 0.4288629594060333 0.5910163343703466 0.5611610229523104 0.5417907524551684 0.46714972122448084 0.5666474008044468 0.4914048724655924 0.47155354541048927 0.38399724908612165 0.20698596911228231 0.516617188238206 0.4332667997141419 0.4217655415445396 0.50306819931728 0.5775825535984023 0.5360602023583867 0.5469222391153785 0.5184618222611065 0.5570469265255796 0.5756436498690933 0.6392638007858553 0.3638363845794468 0.5133064455429968 0.5884840550873711 0.5223506767475363 0.5991145203634856 0.39063006361498126 0.4544733148779996 0.3723940876028766 0.4380343768325649 0.4924395759880641 0.6307437262336274 0.5444634475607115 0.36168374909658946 0.3893494779313985 0.5195044820357885 0.36870000159824545 0.4229491017933386
13,0.267410848504242 0.4477337363728476 0.4384782910183425 0.34261209307060053 0.5250423505992264 0.40206599656348735 0.3174715701413759 0.6458115938928234 0.50025712199753 0.2581413732772647 0.4966010716293492 0.4121629663403357 0.5320422757279121 0.8162744669775527 0.7354957308204468 0.5615121215276389 0.5824618304921279 0.2273520874609422 0.2438741885012331 0.24517631025435524 0.4917210024903708 0.6973516979146996 0.4589263309442188 0.4834335355746293 0.31732091983883404 0.6152606888249607 0.3361235085733686 0.2972456937967669 0.7438034104787651 0.6766308437538135 0.5327646127659409 0.24859562018349377 0.43449338165243434 0.5104310110648221 0.46795390405543635 0.6582268452257534 0.8088617328102776 0.6499726913999959 0.5213334985676805 0.5317666650702637 0.34522222380193796 0.4763377607319869 0.4937065894948598 0.5096764701679563 0.6536099805618296 0.5690519932165146 0.4543774008083545 0.38114181497785465 0.7170289909560101 0.6210714510156278 0.6755439044710181 0.4505603117853023 0.5716175379122281 0.38957701905178926 0.4723985407812756 0.40973286456828883 0.5218607439981122
14,0.2175843419707352 0.4477337369210959 0.4384782913620191 0.5260411557591056 0.6662687445262692 0.43480607187280784 0.31975395544661206 0.31807052364672567 0.26249264164871366 0.5625367459757079 0.2996006324096951 0.40549231624669835 0.5996885632447732 0.42831478259591943 0.7392697862344385 0.5692105793775062 0.424216849623206 0.4366667655882481 0.4371869004930372 0.4130373991730978 0.6488383723192133 0.5302038633680197 0.5833866229695865 0.8118009344687204 0.5967072404834272 0.5288912403446433 0.38670612478163935 0.5480320433829798 0.48836974711282977 0.8218586667243631 0.6423944936129747 0.48509620314880614 0.5000123960790207 0.42054343140685474 0.5033067289947051 0.23618202291288823 0.4171911559526788 0.3443529648857746 0.38569545006699707 0.6391434266000745 0.4925369361808161 0.5295201503929122 0.4960994392892203 0.6415325409592361 0.458328958712132 0.4964525327598791 0.4925698739100719 0.7585830068508655 0.31591162585883314 0.4864220952149446 0.5222047499248623 0.5008656383815948 0.5732554347598651 0.683444316473636 0.4438150671319165 0.4325108128854303 0.6280792832455064
15,0.26457289893729546 0.44773373747890627 0.4384782917392518 0.431881003793994 0.4522710420923674 0.4302082935696482 0.6564549050859539 0.48832600618812416 0.7539843838823598 0.6226595934085348 0.4655112454268202 0.5039660291107151 0.5925667476238246 0.4513873525154074 0.5888751702664373 0.5481273057698999 0.6825848573905725 0.345213804771342 0.5840333921310773 0.23174183047673994 0.4533301242668606 0.5172485079970667 0.5514852324078591 0.2793507563485578 0.5424476243696233 0.739114387198888 0.5025559960668999 0.5044229953227392 0.43738831014088325 0.6007324626229319 0.5151187358604583 0.4112512807052392 0.462018021546697 0.6033241474878861 0.44254772037488654 0.6221443014466176 0.43942203109758177 0.48655829781112286 0.4156817885732756 0.3805937830066311 0.5461731677310185 0.5843982450567409 0.5097309647288034 0.3830674451875444 0.4715855357081139 0.6062769514683642 0.5667950389644664 0.26665661870184804 0.6233292716507287 0.49296310904791035 0.8189781671990147 0.5442603590462683 0.7068885911425637 0.607892538928264 0.6709117185193417 0.25474244038571087 0.45279358320522894
16,0.26062047839526314 0.4477337355305174 0.4384782900753989 0.400116804618876 0.5735956700440745 0.5804559319171125 0.4015025578085259 0.6417800196224647 0.4897590107416538 0.5105188744695421 0.6343423496171732 0.4206238719507866 0.4728122054222016 0.2590252051580706 0.26513109635284804 0.577344741149644 0.42543269822468566 0.5967660585013286 0.679180788667352 0.4960977204212264 0.3781092270666407 0.7064964925270787 0.3778118972611415 0.7562786697985758 0.4465420245393796 0.619246771200348 0.5200690298521057 0.6559176571486777 0.3772075658054071 0.4699003409002745 0.4827683392498041 0.3998463201413752 0.5920278819160687 0.5348905327295431 0.5728669785390896 0.6988655807478972 0.3699423066816242 0.6235537267791216 0.4755044968021623 0.6257476785573678 0.479757171673302 0.4925831674661946 0.4417026261479554 0.5021222033689873 0.5509690089518484 0.5256030213289196 0.3301105893046675 0.4524321994009012 0.5000885586915677 0.6925907487759012 0.27418301906488923 0.4695523035245338 0.4092495317387945 0.4454337462660581 0.5398795660033867 0.5527715778470061 0.49835941370516446
