,Result
1,0.0760572088973558 0.44773373604381844 0.43847829196105864 0.21738574562594076 0.26313380825093546 0.717757455920734 0.6177651003030624 0.2482467933059416 0.900766891812699 0.6731771604983217 0.5715552609494682 0.601465268046495 0.7729306960219593 0.7585468774596409 0.14343357524452308 0.3746387272018875 0.1569353776367931 0.6117660417247985 0.7370310922088411 0.41109391213184837 0.6761508695202681 0.935512302768507 0.17511171850521617 0.4550340318715728 0.3334723394552137 0.0655735203015567 0.5679894004261998 0.21415448658592062 0.3076968663748162 0.4047435408613106 0.8765458763313149 0.31959570459640013 0.7761001668357047 0.6814142721445875 0.5507027380514088 0.38959942887808646 0.712385039942393 0.6466948101788728 0.789561861995608 0.5964621627809246 0.943297040980047 0.7509116678322569 0.11367577348430721 0.4261163565158568 0.27440659698986714 0.624382253581264 0.7066381970405756 0.3632692038222908 0.3142987033831493 0.056420451151072956 0.7858312476923924 0.5084899548254866 0.5913973216094468 0.5190550435878728 0.37063518760584124 0.43241050242765716 0.6186587157151637
2,0.187689260694169 0.44773505869587815 0.43847991527995134 0.13120290210121954 0.471679590900789 0.6189639018582466 0.7615657816322471 0.37705828137486924 0.45190256096233594 0.7058589296171703 0.48864330315586396 0.679497086093669 0.360083933127704 0.18583402918728778 0.20497148028799997 0.7451039068266028 0.2036014835318532 0.7087496156703496 0.3571801994995311 0.46706618229440433 0.5329649341076758 0.5802611504053079 0.3344069793335078 0.3987468835854286 0.15075670008332112 0.17911826244978168 0.672224842418401 0.6668405997914192 0.3176182883903639 0.6688794142816058 0.34508446460432846 0.5844546949259791 0.4012990980364233 0.6582945613553354 0.7267708390337051 0.32027779640304044 0.23234897629092185 0.2801108130996155 0.7992978501287258 0.6761395838207975 0.2513021884932065 0.8375609964174645 0.7051285232963744 0.43035877673082545 0.5778319246372184 0.7753683181596824 0.7056093464659695 0.16355098946416546 0.3856943483031876 0.3455003080457398 0.2438834308073311 0.5565955022316095 0.6080669568751446 0.33723588290464246 0.37284237614442073 0.4497375517445475 0.6651566959434374
3,0.24690923902122835 0.44773849419421946 0.4384938388816247 0.3629367542018598 0.37426419924975085 0.3423267230443675 0.6558167761454714 0.6906562189832641 0.20551229653292152 0.6050774659050305 0.812022444249983 0.2321219958996382 0.6444472969205268 0.6704121901432502 0.6952057807025028 0.5428135071708347 0.30481354075528017 0.7005761404369512 0.34816754997177846 0.34702373995583813 0.44594202735338845 0.3088719172329635 0.49603563258644257 0.34403684957216113 0.44490595058434346 0.5980782819873872 0.23457068857244603 0.4251037657537997 0.5435826127828749 0.5968508121936429 0.6152884587679638 0.32733516232624943 0.7037601301532829 0.5997714516771584 0.493849398544199 0.5609843632366969 0.6724738696623523 0.592686455580193 0.7734788127254613 0.6969577871387667 0.4166755418977773 0.5952500410207455 0.41659118513908355 0.5927371331598545 0.35561366331741573 0.8693010056948391 0.6442906189145514 0.8328361749215035 0.43732395866660684 0.11086734395387804 0.4208000855432257 0.5880435840659123 0.27177609726544505 0.35293493310131113 0.19083612891764784 0.7837925360627813 0.09946400278801375
4,0.1910169668084029 0.4477337350050273 0.4384782887907073 0.7450758605520177 0.4441268521237343 0.5043763896359693 0.7337926668601102 0.81035944965745 0.4815496146888509 0.49601772447162634 0.5492924645541872 0.33109992760043744 0.536915625046814 0.7025208428598653 0.4300141221777927 0.8136109149109393 0.3621441545870148 0.29204004080489043 0.23589226857092782 0.6340647375565431 0.5619945433298983 0.7109300130038926 0.5600409196722809 0.16721232806016598 0.4958048406455843 0.38019005982051707 0.2513855233238739 0.7012004231034568 0.6095934988435494 0.17934289702783696 0.5781865117353795 0.5654152769384944 0.4617253175230572 0.6251373473764554 0.3116017491072498 0.5025584528968943 0.3197211329190547 0.9729979709118315 0.9000869810761258 0.5444762190656971 0.2809689193341723 0.38075996457423783 0.974105198858354 0.1822221921781382 0.7658616594279074 0.23489045706405326 0.5845054249995066 0.7502923045498421 0.2822154443913869 0.8459345927934508 0.653944911542945 0.3727237441277527 0.5487810683592634 0.6842558746307231 0.5266663708828097 0.6985541440986085 0.49658588832034845
5,0.18383760516270686 0.4477337346135448 0.43847829012815603 0.8411943594972889 0.8344862033029578 0.12300610164396925 0.5557825530291362 0.8136174210724074 0.38922422636378673 0.5627194753571252 0.2657531125104992 0.6521341117928414 0.8461970322842782 0.6097585046385164 0.7039607521200442 0.41978244402640663 0.6111985505538736 0.25186016808016837 0.25987058980651484 0.7310605444093452 0.3059629552440478 0.17106539774511426 0.48058516661019546 0.20545920832252484 0.7918273738492354 0.8516026835312536 0.214988405567701 0.16037121867512436 0.8391298264946866 0.7218803705098891 0.5194760570527861 0.6305375911928378 0.650263895028185 0.3830293387502639 0.355009090543149 0.5863038122087056 0.1616028789675714 0.6999192245141265 0.4076056745843585 0.4038179320055952 0.2615546355462265 0.5131753615166216 0.599359557393767 0.7740294524956874 0.8897475386935122 0.47067484289926537 0.3482069774821237 0.8089489137640641 0.7501564456319977 0.3835243869869307 0.8569715917196434 0.44861522760737016 0.16590446792761956 0.6436687308534164 0.7121898754118463 0.8889730257541877 0.7939083048786468
6,0.2492401868306742 0.44773373600442323 0.4384782890053147 0.5467474239830479 0.6567028880194713 0.7084275246911037 0.4902616109661215 0.37724806572860015 0.20181183735219865 0.5512107610411662 0.5059295362525418 0.3318961069058419 0.7233384987424765 0.5449145333502757 0.5525035906012561 0.17440312221385007 0.20627858871964355 0.17796224164295332 0.4596334116674082 0.817019706418192 0.40894712736778444 0.2750978275051684 0.26795289663450866 0.5587771837298697 0.17545040463922568 0.4190844229326621 0.7870102727308514 0.34257512804201895 0.5018735845396538 0.9642201696220569 0.6150214676336594 0.3568897209255287 0.5580056078795161 0.2589003376311898 0.2389069527925669 0.3563631103092631 0.39953398255841893 0.41873896219709117 0.3667333685322364 0.6153020045449129 0.7798125593565767 0.3047141244542796 0.9401120724665455 0.8087579764955286 0.49058212783605465 0.6755975405017222 0.7049173113347724 0.7316977986099731 0.7180287212653524 0.6087666117914071 0.3299708731524173 0.7219597226236129 0.7444146452151388 0.8106471284205745 0.679584957106513 0.30423565365481187 0.566195757740646
7,0.27770532550450217 0.44773369384261885 0.4384781750893899 0.43195011310888437 0.6393423861494232 0.6060902751613109 0.521899306705955 0.4059319236472463 0.3231275517683301 0.5886907449502319 0.43722368053055144 0.5888465044732374 0.2941688468055306 0.4054730754551615 0.7904944375308804 0.8171317226077517 0.6627197451685815 0.6501007209715379 0.32039133206588927 0.7389760573336706 0.45782867230501806 0.7313715596510514 0.8350823756461044 0.44070034690896537 0.46909207280698006 0.5868453552167227 0.4307590949979536 0.6080630318967603 0.4640965276974119 0.7341385933642122 0.3645030665295651 0.33574432551097844 0.23350097021846128 0.5691253860803888 0.37683121137758774 0.6391330552551999 0.5131386554336442 0.7147359220164916 0.5741636265180845 0.638030434732457 0.7109923625284468 0.36965828220491215 0.6606029385180324 0.5777232924228892 0.42740900622334055 0.5450278594478601 0.6551342584432792 0.6765830656186457 0.42055625032073063 0.5769858086649085 0.5932734003162156 0.6689117920009263 0.5472951097415287 0.6708174952879256 0.5277898514341929 0.6443173291670604 0.4897846561507122
8,0.27617930208884045 0.4477337360316911 0.4384782877162426 0.3076310894624426 0.10401510954233689 0.40304104241215316 0.6625417989361724 0.2915510238039804 0.4541932734901965 0.19625445851668097 0.7107795987253518 0.6312793679412277 0.6497835443203721 0.8923703319371363 0.5441972980084434 0.34603982085430274 0.5480007462669312 0.7172634818857436 0.6668217825725736 0.7593952240186482 0.24412056960827447 0.2652652378088967 0.8771763616777403 0.5764880386661564 0.43311545443873495 0.6317967673245836 0.3495267286885452 0.4478276927028099 0.41097663924182215 0.6568457128258443 0.801277497260198 0.4497394170287349 0.4003023292919659 0.6481612754631754 0.3334066523911462 0.3772659388158679 0.36446608292645344 0.40460727821098325 0.4926130385359349 0.3676138776517526 0.5994293150093077 0.6983153448937375 0.6956809065934529 0.44846196695310814 0.7676735199483185 0.5274330755587533 0.23628304937377323 0.41233309933697665 0.5189498676061504 0.8232467623045253 0.3702680266149993 0.9778898167477619 0.14050641354808624 0.4598089917490293 0.7884507822240113 0.6286170658025945 0.17296131874160572
9,0.2543789471395393 0.44773373632653246 0.43847829210419187 0.5949178037284472 0.4153015601395381 0.3324052719583483 0.2233742199975299 0.4159287834051592 0.39215670557318927 0.33490153701021874 0.6820741470546908 0.4947893611605555 0.4964281577629243 0.7790462634152701 0.5741685894141477 0.6466188540367108 0.3526951187940911 0.7146019380140468 0.5332370876857446 0.5267541548873138 0.6805038188921714 0.7926108901729427 0.5814348945293839 0.4230133116673838 0.5725081758250284 0.6547381610255478 0.617548826022916 0.4171520593850971 0.1172749208131278 0.5292260471960082 0.7214415688128056 0.4871319647001392 0.38616528571115916 0.7155937678014083 0.8130501020214924 0.44920881971596727 0.6388790745489427 0.7928021476912108 0.4345763854275906 0.20489476558900785 0.35227865238460476 0.7447347438980119 0.4671543427503907 0.16141817722496465 0.4831940112873281 0.7869284717134684 0.6501659824697146 0.32093243091083834 0.2535689076647158 0.23209177518466534 0.783791902626153 0.3876027039182937 0.3504542626339352 0.24196539220401753 0.43365376165028047 0.5957847487626525 0.5953707577841983
10,0.23412790753679086 0.4477337448758617 0.438478320707245 0.5981992375937885 0.6069818348950554 0.40775784659296027 0.4465499941395386 0.7378267252191534 0.3137891365786921 0.14602791516669858 0.28780852368435084 0.5224057195512021 0.8390200964758133 0.5225173257551635 0.19877379339529427 0.31387649516435157 0.43379382639606323 0.4249940485826931 0.5423438511309651 0.48072931685708675 0.20915826079540553 0.3938328756939593 0.6160076333985941 0.19365124506384973 0.5940878260260584 0.6295661826417086 0.5981575672464959 0.2823510579822871 0.3284537391147345 0.19527527981780618 0.5739223085826755 0.25798310479308617 0.558653058660734 0.5503974124692944 0.1877414743672817 0.7105155893030732 0.47920251719381163 0.16548562861429328 0.7543583911349678 0.8094493369956076 0.6235074782593374 0.305619435309531 0.3958465665696236 0.3947702037357927 0.46027428007404597 0.6010242457755561 0.5336248411863179 0.6469191230225261 0.22195273856399753 0.6662510551271698 0.35868270495177806 0.19190229438144432 0.8122772294064068 0.29578203316819224 0.7455466841580706 0.38521606322185903 0.7148997020125576
