,Result
1,0.2736198499257622 0.4477337351772499 0.43847829866137905 0.33593280808089915 0.6325423601191326 0.47954414176115856 0.3795003861688599 0.29634747678073436 0.3609625794981343 0.45836476584565694 0.47059825902174834 0.414101921912402 0.360545597389914 0.38154665478653993 0.4813773824969519 0.621263718558841 0.5022222185894253 0.3338246981623169 0.34240075240321766 0.23460245542293845 0.682051530931674 0.4862770283072221 0.42357337520870936 0.5566076258097521 0.22953277437989217 0.41790734952718717 0.38130489773778575 0.5041981653900859 0.6810585004598712 0.6958016126404591 0.5750208066764735 0.49124395073555865 0.5277406553924443 0.6070263261973324 0.5953377280363515 0.5522058394731105 0.37929751777487497 0.3177662568952494 0.5889328407775607 0.2567844419788373 0.28273600154049766 0.3672368821212603 0.703689784900357 0.22455915565948886 0.39702764801628804 0.7324843625210156 0.3961849462896726 0.6239840628720212 0.3672340480022975 0.24034979579168045 0.6147910668942997 0.23651595235637274 0.6120219402124994 0.48036637770629786 0.5788167898845622 0.48184283579144205 0.5755282868121562
2,0.27800162518142124 0.4477337350624581 0.43847828995823485 0.5112286798013473 0.38416025895112016 0.6700114576058261 0.22533933631345565 0.46590018126676686 0.4691132926786604 0.6314208966693853 0.3639825903804204 0.6174938570866793 0.509257288768156 0.5528260213460895 0.3117199961454901 0.7778464939558178 0.2531850435800663 0.285603413052387 0.3432941703437861 0.6355666628085375 0.5750111651731273 0.38310806444084844 0.6411812512140473 0.7130982047589874 0.6376017701214148 0.477532222478308 0.6819439603470473 0.42826145548740907 0.4397042733818908 0.7000735616142296 0.693951174203574 0.6130625616305743 0.3324700106153797 0.6891519489887522 0.5668902534670326 0.47857884761754504 0.6210880467140872 0.22545721731007187 0.615390573328211 0.7416300399628002 0.32920819628428144 0.48384952809663945 0.7001363413291395 0.4387814117486133 0.7708751472706497 0.7200293614816051 0.261832097338275 0.4095271889755564 0.3029164524741987 0.6741017824285659 0.44736156186225984 0.28823060833169056 0.6342849310642473 0.561028639969879 0.5762359485913183 0.4480596332772252 0.2833997521106392
3,0.2963908129302314 0.44773373388733534 0.43847828882195816 0.4282709285765071 0.46334664093652506 0.5197054209979886 0.22273227561277043 0.49508305184901075 0.36298645856644673 0.3179177840959045 0.5442537856311251 0.4557233572318792 0.15754072579235107 0.2886323329875184 0.21442751944297853 0.42433632583959197 0.6005920823041478 0.7147379226665692 0.3577622763703604 0.14462730203399315 0.4635262151484932 0.8546029619771878 0.7364066125858277 0.4038795606509658 0.26812388237651813 0.8020324978714811 0.46999181055983286 0.45594309011002887 0.553564165624061 0.755009935650984 0.6410922022539103 0.6644468352836288 0.5955809643106172 0.265513292331961 0.5682057347916759 0.45590441409321536 0.5949043294608886 0.6076271044285847 0.4224658905516463 0.4295854504968317 0.9295876398982575 0.7245815752797325 0.2820947297214897 0.6273063082688262 0.5108691612486471 0.3846205230667224 0.39215745004386127 0.528268272978457 0.6554794278999571 0.5158602009653253 0.8671520617330947 0.20444857432329952 0.6318918469586837 0.5208822729212395 0.3078979915643147 0.32190083927420876 0.17356203264435782
4,0.1784023111989664 0.44773373764974184 0.43847829097000796 0.4547548241511977 0.6757993774201337 0.5759494648754804 0.5979508363791274 0.5055223172779254 0.39990608475150446 0.3211317957898357 0.3732040860776176 0.5152498941917021 0.6289704490517578 0.5374682536446885 0.4899870876441463 0.38590778794523267 0.7307738512080113 0.5262735098225865 0.48228310003290537 0.523578249658103 0.46068732646291594 0.41093137300134186 0.6325870559804526 0.5094454508321616 0.4095128640525919 0.5320886414433273 0.3803089462843544 0.6284511854697492 0.3829767935500632 0.5519232979214418 0.47246879319718316 0.6269551868859935 0.7029697932445332 0.6544047276638163 0.3595628848831608 0.5866511521532743 0.4971285717183831 0.452324971271966 0.790143985384675 0.7135115122483766 0.5092984583047205 0.5769187830058877 0.4384201144175523 0.6016880270016461 0.5111551764447332 0.41927305801707027 0.5545481737090427 0.5119007989565373 0.3002564462340685 0.6642209764991912 0.5108740030208121 0.6951538806394479 0.6575037304600426 0.4395496083382731 0.37764403127126955 0.37224933950270633 0.44673501825430045
5,0.2955088488297921 0.44773373744083617 0.4384782910075145 0.5718072683146012 0.5127735793076703 0.6520893199956663 0.5820528097459783 0.527825722787756 0.40147265645141966 0.41361769093082595 0.5250131536256442 0.43367295757757784 0.4740711590868789 0.5978395420203865 0.34921358209778885 0.5899695355601632 0.784937341156147 0.6047637372853634 0.6317182598725539 0.5591068653847378 0.3288922614207102 0.7079961315466959 0.8870612278947199 0.5994106710322513 0.2937818796024679 0.6909568668287865 0.4659706054289184 0.5071801620293045 0.5611958549729542 0.6249352768226931 0.6853945194035098 0.45926433252030735 0.48900680540183583 0.5568304122366656 0.6379688415668282 0.2937067364710307 0.32521319661419873 0.4379570549297296 0.4850680894654772 0.5209794868601195 0.5448910360844069 0.6047050676040847 0.4837398309739324 0.3446177250365672 0.33934136639951895 0.4637305647031226 0.5105495119762505 0.492513292935476 0.7800056863827823 0.6249452711069987 0.49666172760992244 0.741271461962897 0.5940368417065832 0.5177507121720943 0.42306622719918 0.11922857789212549 0.540407732744565
6,0.2897305767754044 0.44773373649455095 0.4384782919599994 0.4393804733988034 0.613339238526395 0.5012439067254697 0.6164762405618801 0.5638279458625175 0.601075275804841 0.39426237978387535 0.6197195691866257 0.5434204844450257 0.4760857896295994 0.5943378343234911 0.6008051826068133 0.3838452540010775 0.3566041403275861 0.6687562931491337 0.5389134841455634 0.2876351451439595 0.43022778866943573 0.4342919946045685 0.6338846368760417 0.32172625693610063 0.5150081659929718 0.36916006635323023 0.4686832039301666 0.5698850865906951 0.5016267280352015 0.6184653163791501 0.5652360123662762 0.6805253099167158 0.49715773209668535 0.6345723467434904 0.5001129702890506 0.48234847057741925 0.5831494107087103 0.5700065860189655 0.4517016703459605 0.5694128988502652 0.4283314405880964 0.4740054110321457 0.47364314964801113 0.49394221881603867 0.6267918823327 0.6582655793343478 0.6093370320959084 0.4529295105367016 0.6061802214421957 0.6918053765627263 0.4903370535810496 0.559014709054801 0.53649271583147 0.5231013556734829 0.5660754851753289 0.5552911668977725 0.541962732938806
7,0.3140818261263858 0.4477337367041296 0.4384782898851293 0.48187879339612466 0.5087916623383888 0.38094588037145144 0.6355167473661729 0.45070910049177215 0.30554028492758856 0.4972266663371097 0.5160078567591931 0.560773775702351 0.3296802184124456 0.3194150349550707 0.5829543366415899 0.6213363569938065 0.40279210907914137 0.41496225628501726 0.5096398244068999 0.5910006847242781 0.43450827895973854 0.4456012099926952 0.45310883216529024 0.5936549110291242 0.45421106497995045 0.4974997569051053 0.5439342934000512 0.33770149211209405 0.4175532534458559 0.4506239105135632 0.5709456001950077 0.337262585355059 0.4642013455630541 0.5839994541838753 0.39766234987797316 0.44049085601852567 0.5384602425364021 0.4617510949762691 0.5717304594649704 0.654856481625482 0.40966338382450584 0.5408261575304962 0.4786103343673882 0.6510693687380323 0.5478686276843311 0.34808453467960776 0.595416116862839 0.48125760401713524 0.3785281889804186 0.312383270503336 0.3832591567998409 0.35159849867649884 0.4695966471257423 0.5146634374158064 0.76159078864157 0.7822161037281966 0.6652537659152603
8,0.2535987339114082 0.44773373700840696 0.4384782918875677 0.6288366588539145 0.363159272341552 0.5132752793775712 0.5446800633897356 0.5189811180608824 0.6293934356633788 0.6266406549424578 0.2575691109252167 0.4164556644862637 0.5046538385148254 0.5446176345047796 0.705733817236519 0.754471382524462 0.41308260330045643 0.5179724789745089 0.5620029430830439 0.7523727287645794 0.626251025720201 0.4540177487227359 0.2963534947435869 0.4694223428742522 0.4458752246535483 0.589019049250679 0.6101133245864103 0.4677061769491716 0.40387163867297626 0.5529763968752807 0.6104001683768554 0.2960026597017059 0.7375879897415193 0.4888985093078052 0.5549101318854023 0.4370016035644254 0.5378741398219529 0.5080020588619204 0.35735114187204103 0.6855005278947065 0.610226958769145 0.6361307343087217 0.6002289045433505 0.7061591486403556 0.47216500268404277 0.4679218520159498 0.41791879653320985 0.4212536333035534 0.4386496590142359 0.16387681800602968 0.43354891043593713 0.7171623589937102 0.47514848913266833 0.40872680423286273 0.3772795236499582 0.4419646684212593 0.39875527215434353
9,0.18226461532695848 0.4477337350399195 0.4384782919961044 0.9563206971530885 0.64890860726874 0.4830041624500226 0.8742732417873353 0.8296349985638534 0.8213060451538841 0.30668140993705334 0.09294032089951715 0.45842783363638967 0.594951907091931 0.32893142737562214 0.7181092498935379 0.739641239361501 0.5199890108478813 0.3617538773381441 0.33862587176596937 0.39999751078964985 0.8653481829178092 0.41927726721528924 0.4018709182114288 0.4452517028718477 0.7444006923867511 0.48245137056885473 0.6488197676512235 0.5710555226190891 0.5232475729322057 0.25044171609837346 0.2837283394825004 0.453647752322849 0.44802832737091897 0.48607723600728353 0.3185151221282841 0.31349131146885256 0.5759806175080115 0.2744934375886763 0.4075031252009472 0.39522303932185066 0.7904388164615391 0.6480496858511907 0.6683676209641866 0.42117984439872874 0.4395751820459116 0.7200616937660147 0.6137127127784157 0.6488471269179711 0.5924348530127146 0.8998777258060954 0.4650235414629122 0.8183517812141448 0.7059937262827416 0.3189848735294275 0.6975513968326053 0.6286664908719354 0.5070324716763818
10,0.18493186396553482 0.44773373483655776 0.4384782919696607 0.2764397767140839 0.4591709644647954 0.7439554702169177 0.45909808909623157 0.4212199827770739 0.4418841131430102 0.4113003359602401 0.5477476057187755 0.5554796622546877 0.5341372027445312 0.6471854272774816 0.500475069151777 0.5492765438497713 0.525534910093577 0.23236840252352398 0.7418751108200398 0.41055109400065115 0.47712305008959666 0.7073166266603609 0.6211700475785618 0.6122686793115258 0.37664077808777713 0.46507578002149774 0.7350739763380623 0.6256252466592728 0.5347184424503216 0.43909899682020803 0.5872936319740002 0.4388261642931375 0.5758616543169576 0.5359492206082533 0.48549716688030625 0.4176860186731444 0.4429233506984861 0.6237068481946271 0.5051591982948567 0.557138023056546 0.369214806440917 0.12780279707240647 0.5624125272843543 0.36097371362880837 0.6298839794496097 0.3567205381279889 0.25769413290889426 0.554924292902214 0.5254675973722283 0.4138076824420032 0.41375132529621944 0.498443705436392 0.49864393600609447 0.5287292733014448 0.4604766035625342 0.7850469925880239 0.37598832047248876
