,Result
11,0.28864357141317576 0.4477337355760146 0.43847829010527034 0.3502755837725325 0.6764419658221812 0.5028679127664024 0.30030714383635704 0.33227160930758526 0.6189044707842662 0.4866364385912661 0.5093583192116247 0.6629121601320712 0.48376097690990977 0.420860872994489 0.310393997206807 0.6131245025932559 0.39854970504138526 0.6220265878680974 0.2614915619390446 0.3978521184691994 0.5768041287460396 0.43553565722469517 0.45519620786764736 0.3251790192925086 0.26770307315066855 0.5433812885177691 0.43273605837119916 0.488922195365797 0.5381043194242637 0.5879278429052796 0.6067852359847975 0.5901126435424988 0.6303234892544645 0.3927303055173048 0.7309272222905122 0.4748021964234971 0.7278755052525876 0.3661876265325452 0.5962758273756351 0.539797569883513 0.6202237432780463 0.4655349940008186 0.4910993294722297 0.308632200576957 0.6839008038909825 0.5474013340285518 0.7297739371710759 0.42880238679606136 0.7182600471637387 0.5676954699420328 0.6422481516478902 0.4580865373360386 0.3934548835952169 0.5511897644471171 0.49552879343050815 0.4307727736435455 0.5111186758644644
12,0.2874803582909583 0.44773373548405343 0.43847829088803675 0.3913693133941145 0.7303097495518012 0.3263780906631463 0.40281371596704596 0.6004917688895092 0.49703720057270484 0.4901207659564929 0.8381256672786764 0.8747522113949673 0.11432404949231574 0.6710648773706743 0.484446834975862 0.5416993510695363 0.5862886920769509 0.3499448775708776 0.5857878167908751 0.658265169019441 0.6714900323575065 0.3290751431967299 0.5132950473239788 0.3705509381622399 0.2261923499665408 0.2859619684748808 0.5272112558261727 0.5731830559905142 0.27851813628392696 0.5947284525963304 0.3259534865442484 0.5710633854730438 0.6593071101793355 0.46197615545764165 0.6662694626274742 0.4742121536094942 0.26919572909093903 0.3324096618821792 0.46500329818363145 0.8221618164036545 0.4629606041910637 0.30481737980371654 0.6922765503697279 0.6401366605604925 0.17765359351736296 0.5706024405046152 0.6399880474956179 0.6243019969248491 0.6594602693313226 0.6713473769589421 0.8149943028250657 0.2747967025066578 0.624910238032527 0.49909545570259106 0.30885475876542307 0.47352822395466243 0.18134915665278106
13,0.2521447362192916 0.4477337387200849 0.4384782895349694 0.472177053305066 0.4357340009374257 0.39945238779006303 0.384070831711575 0.5181078860825132 0.31910525653855104 0.42523720409761917 0.2616531888132541 0.38122754323094976 0.5700722084148447 0.45190563593549726 0.6244934982326455 0.5329652202967964 0.7488056851242796 0.45751080378018505 0.2673613891911762 0.3759131131855972 0.756520003454482 0.4962418405363736 0.6855991252142748 0.1500118141879416 0.20806359078598358 0.841657908518684 0.6570881833563639 0.43729813369461795 0.21545040026818288 0.739573884942329 0.5442215744303701 0.444771234936444 0.4032312052391208 0.31029744223762973 0.2578505538081141 0.5469976808694765 0.29912405866457803 0.49908279723021276 0.5080165532991243 0.324488076045135 0.5002078776042889 0.4742447277844362 0.6302353957786339 0.22476683495171113 0.5319520097813079 0.7183265466197354 0.33584173263110256 0.45475721253400037 0.6491827432726862 0.5970899871432092 0.382610334476963 0.45589511686065165 0.4323473504715977 0.44448684765585406 0.34972053072143944 0.15391189887915527 0.5109915851838114
14,0.1284864269755788 0.4477337313347519 0.4384782844553375 0.2211902972371475 0.46824147434642255 0.6010201461371314 0.4496756380213685 0.575373137028809 0.31532639502553317 0.7444424821608807 0.5667408842486921 0.7250767663548998 0.7479431038401047 0.44798984042014267 0.3403949535061013 0.8724061563576971 0.6293928556554094 0.7242830399979971 0.3039561023420063 0.49971620844101394 0.4603448500961311 0.6622732287557744 0.27451207422303375 0.41057424086110705 0.2845624973303998 0.6138695782457348 0.3847019728101595 0.7502808168410816 0.21401124241727 0.5454219266207193 0.37727925707901 0.23472731650991438 0.48290868637656975 0.525716050326533 0.4223225387875484 0.257223908968584 0.23056555240605048 0.5822319689391108 0.5551654150303912 0.21067929797510904 0.27954498917554577 0.36627864221778367 0.6425844805369648 0.8331122905495167 0.2801217802965392 0.7079970652208426 0.14784053819968934 0.4247834465976957 0.26006188807044983 0.17688866574027043 0.6110582837967066 0.5466219863375689 0.5697393613649017 0.2485589605622662 0.896778567226719 0.43727390817100187 0.20028118173305023
15,0.2648213586489322 0.44773373588121695 0.43847829214812856 0.34333225678655205 0.4211346714870735 0.6759612365498243 0.20220792946024654 0.4290261139383042 0.5359073736949757 0.5525452193693362 0.3435624087461977 0.6845387004790511 0.24604878213538472 0.6411774109769147 0.46611886974269007 0.38230459876733497 0.3995888069054356 0.6937379532771235 0.7445753819261848 0.4933009887426203 0.4689915544893159 0.48633790451538017 0.747372544926359 0.3713795460270313 0.357811381403586 0.7551327736139072 0.8033154501300017 0.5838666995374691 0.24400015866270142 0.5615246363393553 0.4956508444801249 0.24307123250160095 0.3864442254080235 0.6320741314324287 0.4726541259274873 0.6299915800167676 0.5884844867881278 0.8235824240330705 0.5289244870318387 0.5711141254344196 0.5646600225192048 0.5550558268443123 0.4532711845385167 0.42043784426015957 0.7167184690969824 0.5365137375099858 0.4345047553643057 0.7108401405344283 0.24242103084093805 0.35734666731763487 0.6365967100312293 0.2840917341082788 0.5064772592824869 0.1560709796756026 0.40759842489985015 0.41676605710085235 0.4780421030572021
16,0.13918016674964712 0.44773373612480516 0.4384782938299959 0.3890992594881464 0.5036436420210194 0.34107889042954376 0.4016943331364185 0.27686666098562773 0.6456157789389062 0.33425661186312144 0.5851138896997026 0.7718986571244013 0.6247000512792931 0.43739863850690586 0.5450189968515592 0.5457633423452201 0.5987321626830496 0.2556237996261357 0.6217368809809448 0.19798229848228682 0.5409128648483743 0.6235344722376556 0.46227483309006606 0.47441453055091526 0.4695727710164471 0.36317632790219684 0.5023121859316221 0.43049932642734773 0.5314769513253343 0.49204651052880527 0.4821295177907935 0.604422540216153 0.32729906343087156 0.3233121547214756 0.48894240905820546 0.35043987991039993 0.550673019021401 0.5079713751187157 0.8805659479614756 0.4613802966284875 0.5020742217797072 0.23229411049638424 0.42724203442393655 0.4774927510472842 0.586211121374523 0.6550010680141043 0.3480044408994857 0.5114505545645004 0.6542502450289494 0.517474197650884 0.5106390610790479 0.5708566435531338 0.583885183732413 0.4740993656482031 0.4403432232168838 0.3817272110739757 0.42498650586510894
17,0.21175938929070826 0.4477337349797448 0.43847828929427485 0.29209745725128383 0.5296392971733983 0.26081320864448215 0.3538781888691684 0.3577203953134323 0.24716729289143682 0.5677453952635174 0.759318915076736 0.7917320462299178 0.6970696413110591 0.5917632795201566 0.6087432505123128 0.47168566093638953 0.7684088476076181 0.4463318201987424 0.4026237451678918 0.35186871773334805 0.6777936583575648 0.4812657419862661 0.53390745100224 0.41560813059868384 0.6645076726515919 0.6099672055907103 0.5427020552043722 0.6890717274519345 0.20560285839396933 0.3686418583344527 0.2521212045640389 0.32323848288869483 0.7756275279215298 0.6877891635497908 0.47951787013903396 0.4289983167843688 0.5232086089194031 0.6777955394410342 0.5355566145814991 0.5186361116734398 0.6778012640389249 0.42943084705068135 0.5050439653453764 0.5265813197118976 0.4456985192340483 0.5789609240726886 0.5590204372954756 0.4374886848318281 0.4801352062134075 0.6294975497601056 0.4770415198718362 0.34224384310446543 0.62273779497906 0.4602240019335649 0.5302331905547848 0.422755200532555 0.493015342150038
18,0.28398013777439024 0.4477337362358822 0.43847829106765446 0.5523515908594198 0.12617791920916835 0.25459320837273325 0.5577145857350227 0.4937815988413119 0.2546592434701304 0.38420306558442296 0.816747729623338 0.3300093517798282 0.39020956150003233 0.5843505897922533 0.5045407989547985 0.699382692296135 0.6927339157591874 0.31741155963209006 0.8035781473807968 0.22140442566277388 0.9051620626758707 0.43197396082085404 0.5544480723022085 0.36869539513075755 0.23093178064691744 0.26737466273653593 0.8358145170647322 0.7218824463920487 0.06595885034680718 0.09640554081988124 0.5334577432183352 0.5054146966945097 0.4603860987326121 0.6342402353244271 0.4811890255171035 0.08467739760876294 0.8047687223351415 0.7411357328369645 0.379455959282933 0.6086216815471871 0.5355400873047886 0.6607181123282065 0.4838482228230778 0.23476136485165405 0.33406910484277474 0.6206232740005769 0.8118467836350327 0.49600825203971577 0.8209536751873411 0.5782673823108202 0.1840319009755301 0.6468675970188112 0.3500141632084267 0.326854450131143 0.32346944949536127 0.6586131284306016 0.697328281092336
19,0.17871700684574326 0.4477337387075457 0.4384782898603917 0.8301995096219617 0.420501032475686 0.7727764408748257 0.5182114009006358 0.6773714596618882 0.7094088258649387 0.4974910670542528 0.7452931480472036 0.6726207557077264 0.7775396956820421 0.42560715288391265 0.7454002211666872 0.45331311390104095 0.7508575477908567 0.45418091923686005 0.5693337789537922 0.35965268225362695 0.43735709714207194 0.419674061392586 0.4591898462928069 0.47806170747330134 0.5651194603274998 0.25982600053669475 0.4302313275045605 0.31976953720659634 0.42321897667937214 0.32396495446353774 0.2530014085895279 0.4585339537804673 0.3760936528046316 0.5796805542305014 0.799163618753984 0.8369229897183463 0.46087289842667506 0.6551266190106385 0.7107845954907375 0.2726057886967444 0.3931226219143944 0.7081084490743692 0.5278045703074349 0.5488932580511974 0.6446330257406059 0.2672611057155119 0.6204211386408978 0.2887362880872942 0.4884119381572342 0.4371137162988246 0.69632221616055 0.6247440143136861 0.6404103004417002 0.430411219073296 0.4914901041567043 0.584562141626575 0.6846536660766575
20,0.2876716372605032 0.4477337335864992 0.4384782894890684 0.793930459268593 0.4166369529264668 0.4809224073230847 0.4700855783927858 0.6793061583452047 0.519340650154146 0.4872051452805849 0.3919362009583819 0.4217826300099208 0.741345091333902 0.5657363506565084 0.22048402609341516 0.6618952501747049 0.6732119972320194 0.37184004334231974 0.5406115574962491 0.4938741264749748 0.4563463398393124 0.5341385927700719 0.7264267370213998 0.399758870961326 0.3916520507007727 0.6118810608110771 0.34053768798032863 0.5358909677077153 0.35688249727427807 0.3986276716593535 0.4198909626465337 0.5714035105530465 0.734241783791798 0.428374843443174 0.5632245493838789 0.5258774752783957 0.373046947135794 0.4214976325977404 0.28251592043265233 0.40530704177485866 0.35820364024993456 0.22855292553312762 0.4768994247127679 0.5290423706205265 0.40311407110598435 0.2685212635253236 0.5050570155732367 0.7074261145223617 0.6240277907054037 0.4906429641385408 0.4702311025243268 0.5491751221326762 0.5522786339792799 0.5021216446161431 0.5064918650295428 0.39837764776759743 0.5396996986077345
21,0.29047264700496944 0.4477337337280978 0.4384782838232504 0.32753150856748314 0.4226475304833349 0.17629702173921752 0.6578927695666859 0.5706731512604977 0.5187635423393071 0.39732036389332315 0.3723149110823394 0.32716696034093995 0.5171788837780503 0.39653180510530883 0.3162150823071605 0.6930138721380996 0.4608787929300637 0.5303127265835225 0.3071144366351147 0.25820756966891173 0.5768811891668947 0.24919746444532728 0.41892085729449047 0.643418347222926 0.3876085697614448 0.44401330168195174 0.7066342381947776 0.6149328310439937 0.4502002443069415 0.5153151093294307 0.6420080504820534 0.2722195580725287 0.12191690766763405 0.4134079370057851 0.7738019976594293 0.7188489188839687 0.4680115022103175 0.23694482328803354 0.43237371042918654 0.6178345714602675 0.8976940419463079 0.4082977740157913 0.5897049774183175 0.5584286753502794 0.6748327932987881 0.21807643652651523 0.8242272144861763 0.3805435413701731 0.46336742716341006 0.44030188276015325 0.318006734052853 0.35669919734625416 0.4574779979453621 0.5456565954144268 0.6668958696510279 0.3276586111295684 0.19351054434999534
22,0.11344214523212834 0.4477337364925871 0.43847829124174453 0.6608303986283283 0.9590120343675324 0.3874859849008246 0.3143001268661518 0.40493333790605707 0.5123249207412067 0.728245224902323 0.5888054638251281 0.5797106793656812 0.10092262032884797 0.387962888952345 0.8143149102067448 0.467228384458372 0.6102708312534774 0.8502761188982153 0.5051148650997676 0.7255031572075643 0.8212389486389722 0.8029477138485069 0.3139495990757734 0.5347193088866165 0.33572790078958636 0.6054987964579902 0.6882589848718879 0.47271733524504944 0.7992978912045191 0.35311502337568995 0.292209000487472 0.6385181709544444 0.2589750114945639 0.4788731554398711 0.6307599333484977 0.6367223028418938 0.7408120227048899 0.5431307227524919 0.32760714092401 0.6781516168203481 0.41978882116743405 0.4223184422242274 0.5512435635837155 0.27771511231346124 0.39690418044914105 0.4920026454954435 0.6094599169114897 0.3569214005392351 0.5217725911268832 0.29272263477424854 0.3129311590108861 0.6947187399904382 0.5431105119222516 0.6338696441609575 0.4681781522074857 0.7992573123605711 0.12222444605248031
23,0.16081392208913972 0.4477337359565032 0.4384782872141564 0.26351979984335855 0.41756819778494103 0.49095581381097814 0.5285153853408081 0.8592762133426027 0.6065904555789506 0.5944381580148422 0.3738995437670067 0.5372280698243131 0.6495869363606995 0.5799443849433762 0.5667221135991645 0.9266136509921721 0.2828352566825504 0.4157982722278149 0.360118868201238 0.7803811247661655 0.8450595511665199 0.8092354474723701 0.35671851322954023 0.6775500399126821 0.675331026125046 0.3875068126583939 0.433600930156969 0.5671822965610012 0.7039578774053934 0.6503421462608772 0.2774983161785927 0.6938325208937062 0.45906132291980434 0.43599310226163335 0.28933819249585574 0.626883941906414 0.21159759499923705 0.9043909629038236 0.3937960680200995 0.18995661930751295 0.7545213046454442 0.49857056337013406 0.22066236503194717 0.3693038295918235 0.33918403984649764 0.2588988635483683 0.41849151322571554 0.7490255838755439 0.7838698389266957 0.6456976512157935 0.7226598707245167 0.6256566618782103 0.5496559499811225 0.369505150675658 0.7794635703199367 0.45597005160908965 0.43028391192828075
24,0.14226197275362967 0.44773373475253975 0.43847828685772705 0.4682985205806644 0.8889447730058363 0.4902830828270208 0.5872752311127855 0.5406942611307274 0.4064555227799943 0.7434926115794025 0.4970904426448052 0.39319680782417227 0.5854562945024282 0.3804077233701331 0.5439499652077457 0.6234292919862997 0.33860831152279786 0.3907658333881642 0.5904260537803016 0.6333682108355735 0.6473076200972911 0.40958275688638107 0.33028750965308157 0.77467782478804 0.6575311296430417 0.6003280359100275 0.5180025898032177 0.6324937517906407 0.4047422223912748 0.5498519942452859 0.7661564995887717 0.5477187456823276 0.7442718451411681 0.41962100618840165 0.42126157114088597 0.40856543103788706 0.4322354032876743 0.5766036830981105 0.6743536741050877 0.6490414452834451 0.6438754635685112 0.5895568089599321 0.21077399509907757 0.4834625426150022 0.46035937953490397 0.46035560835662714 0.662021013166312 0.6368045127230079 0.26569694126595644 0.6428172698603175 0.48027799827691514 0.4996679263641489 0.5176735336294424 0.3343417570395388 0.39107794204868573 0.5122009379851938 0.5225298992423203
25,0.13601089013405135 0.4477337348276111 0.4384782957477829 0.482128673505015 0.6701035129200358 0.7716477505854348 0.4809419228915179 0.6136738301680955 0.49871336821266277 0.27491035097499683 0.3480756214836996 0.7234961879495538 0.7133533048712435 0.811541664022925 0.27575006880788544 0.358991774082305 0.22527004110944074 0.5810448832059838 0.674140961150993 0.512493633359897 0.35507863270549356 0.6342855758099246 0.3775709889965988 0.5858136896672119 0.6190710540565864 0.26437783847366697 0.3314031578984816 0.4835083601007211 0.5004040253463662 0.5830650700572071 0.3685545974506073 0.32128611575998806 0.4398085943754091 0.6432907660882733 0.3924081533079076 0.29666512573545467 0.3196380708678533 0.609893687485728 0.7151038147736372 0.21564483116432764 0.11489230343385178 0.3532311675247991 0.42711445037675194 0.3631949412537715 0.6904330508023051 0.7402845058054401 0.7575102244245525 0.3771270380771348 0.4375246371409238 0.3659456691973314 0.2143306355918245 0.18587542183758324 0.35137065151061625 0.7027595885241382 0.663157531414723 0.7084082911610361 0.20677353267468973
