,Result
14,0.21131791600707472 0.4477337345129409 0.43847829068128197 0.5206823655869535 0.443023687054319 0.35812570752478406 0.7017551373683116 0.5672546292341695 0.5839409150528757 0.4960680893220424 0.389837607940312 0.41245245899959526 0.511748044382221 0.4992225506572043 0.570928365988808 0.4350630952585766 0.5333010080928209 0.39138124638630567 0.3864478982169486 0.4943355570456182 0.5095995907002239 0.41131040191639223 0.5025449977570485 0.5196813237174185 0.52523857478014 0.5141884239070394 0.6216952005259401 0.43131906612067095 0.5862113508419668 0.49199816010126224 0.37919862494963713 0.4676131612482153 0.5499393063938435 0.4383923084482095 0.5792525518234974 0.42027291786218296 0.5091079677452809 0.4826533936145882 0.45117400528356155 0.36256068771019667 0.5282375366186385 0.48550174825302195 0.495366729175015 0.547884488083111 0.5164455738520091 0.5292399635467799 0.44678334793174845 0.5208332454428911 0.3217938481380533 0.5327593988510528 0.3884166860641495 0.5125388747043459 0.44867430060533525 0.5268442855702651 0.45499171057918525 0.6975589088648119 0.46534736279315597
15,0.24150589161226677 0.4477337366250613 0.4384782890228522 0.46022875986047346 0.48485902133088665 0.4966813392839582 0.5593909510395726 0.515931699436479 0.5561852867700677 0.520775013450758 0.40243366100942557 0.3324189502222087 0.6486022172338443 0.4612572094358432 0.48354258835228153 0.6917681467318368 0.4821101784912277 0.5360236704173749 0.6464703505758035 0.47701918891920186 0.5542093839858843 0.5805690858060645 0.6091764832493325 0.5456571374470733 0.4589988506235487 0.5401019967054449 0.3955624328258181 0.4910922323823059 0.6191298464350588 0.6091360264909729 0.42532256688296655 0.6280613209955311 0.5292685514267115 0.5085844788143982 0.6838977945583273 0.5984062502874601 0.48134977272999196 0.4578830300765844 0.44425343796458044 0.49409526652771274 0.5397356937831409 0.44746272040635027 0.4260648705065538 0.5201124769836479 0.5105317470385433 0.5217558811083544 0.45048730591841835 0.367998621655433 0.6914298036273065 0.49134688014537614 0.4378522173774896 0.7273708781686631 0.5091945814291318 0.4497397239857483 0.5063091060833428 0.507293936682358 0.501823480065544
16,0.2890183005092557 0.4477337363851016 0.43847829187970505 0.5481904208628542 0.38339530980528064 0.5933997552555332 0.48085975055550756 0.3519482498169205 0.6911506023832036 0.4650208089173866 0.5310584376050278 0.3847390641880609 0.43081993511700184 0.3578738365097274 0.6495949185964246 0.40967398256359777 0.3998307962489808 0.3688446399527159 0.5536164108561621 0.5928039596085566 0.5112151807961427 0.46369525124348127 0.4990119680160427 0.4158635655217209 0.34772472612361965 0.505516452404212 0.4984425805544634 0.49059533773163466 0.5594894764616533 0.43671741612428544 0.3835381094933911 0.6130522800740789 0.48080888080217804 0.4948066857216774 0.5131040812455397 0.6254378067618519 0.3836100238496608 0.4783072105430287 0.3131324809341035 0.5001613966704571 0.46640797560580954 0.5811420473768221 0.2109455611415646 0.4620963894098134 0.4714161886571891 0.4168467101247387 0.4324592195187724 0.501885182153949 0.4114319976433605 0.4738214295884867 0.4378566953098661 0.4402035415172357 0.6410203064294165 0.5441148267700648 0.5881830927201159 0.5208426346440729 0.5851355198114924
17,0.2656242323515552 0.4477337329118117 0.4384782886593816 0.4306445116663606 0.6317819094877903 0.44865941621089844 0.43113800257776275 0.5886606948583825 0.5915521297044865 0.4582228797653134 0.5506913222833186 0.44143947104744824 0.3968848794606352 0.47383483945009636 0.7834176784169679 0.5363795347483523 0.40202438727799333 0.46576692567619277 0.5337786219648105 0.5774719483325045 0.529620275642709 0.47358482737548974 0.5482236137503499 0.5901296024653344 0.48244757323139015 0.5155576997858777 0.5122447355644473 0.5354589464637807 0.40722650661229237 0.41847519432975067 0.5519405123274185 0.437487538081825 0.44335206601703414 0.5338517755781325 0.3584333694249046 0.3802158854393859 0.5069078138250616 0.6012614225092694 0.4020471032883225 0.5521083296229603 0.6085284342892865 0.40480048005117647 0.6297605486014891 0.4173584496391975 0.5386562519411469 0.4629841633490151 0.4327118436797355 0.5821000888596463 0.4953397287674357 0.5738780568600593 0.5230987396632981 0.5396938730730815 0.39936262073213674 0.4642806085748716 0.5587313142854528 0.3299384835256948 0.3967403428192957
18,0.29757816421351074 0.4477337360640066 0.4384782915952425 0.5091814857031065 0.5065260040416933 0.4690692210868842 0.5077527968520733 0.5976301448255109 0.6292544196745683 0.481846539795608 0.3979764251383008 0.4715445354509519 0.44388461825862535 0.6212760643730928 0.5598392212230007 0.3039948787225874 0.37931639255634886 0.5940642412959667 0.49554139023806465 0.5448178772021823 0.6314081614201683 0.48609736622296096 0.4681801292328495 0.3969259367026184 0.587191114162771 0.4463364118154224 0.6170178571066669 0.5486708920878984 0.5576059751680283 0.5909537131114101 0.43476217479853163 0.44501007108835805 0.5651081490067928 0.39907805381558537 0.49688472416966945 0.5769685133931213 0.5674350528679998 0.6210039274997169 0.5800523616027774 0.4025616069567164 0.5514779156005679 0.6060594872046728 0.4561234833016659 0.4754886654333197 0.5026897177385546 0.3969987495440128 0.32902259995959104 0.524676644371171 0.5786849282645772 0.5226751852074898 0.5433447352445823 0.46608083528837085 0.48486219806107667 0.3719540501099344 0.41880091116026086 0.41110893754063815 0.42602120007513816
19,0.2629464554128952 0.44773373573742625 0.438478289988922 0.6011059871757523 0.4879494782251814 0.5146898646252891 0.6076497146213723 0.4232240991504478 0.4596086700171209 0.5326760571354308 0.4596171906994439 0.5503729616949004 0.5378630928325977 0.5777964676159619 0.49216907523548925 0.5510221503233346 0.4681325545496082 0.3494600188649802 0.46562011970433814 0.3002772385986063 0.39048255531173354 0.5868703865379555 0.4876050147619963 0.33592222120581905 0.5046283983432358 0.49204990972852003 0.508649418344039 0.5027234990268251 0.5350733300932264 0.5292373552774082 0.4262483751780806 0.33550344880508554 0.6220745662680717 0.3878788837730834 0.5484551324453222 0.6203218544704252 0.572919513910676 0.39190075362996757 0.637307671893957 0.5850202188895227 0.4175772853734317 0.43870636208925506 0.5136083853738346 0.4693307486221227 0.3089949539700661 0.525195069621214 0.4818066607372251 0.5903607427478357 0.5043857479054531 0.3327054789354856 0.501851822489659 0.43125146029031414 0.4719830223311808 0.5239106296890622 0.4842609770427707 0.6313083596818877 0.4717727496720303
20,0.2078028283876745 0.4477337358863733 0.4384782907010676 0.3354107859595928 0.3954595247356024 0.38781100441168687 0.3879454954871483 0.6768187515861928 0.4110789773915993 0.380678463441875 0.35014069156901956 0.4083316579985878 0.6621319253964525 0.5879707260838019 0.6421151633343922 0.5145604575997935 0.351191566722693 0.597485389625481 0.5097660861093015 0.5018643218452992 0.40884326812701305 0.5872156074128915 0.6451995398822447 0.4477815534654464 0.3872645655192433 0.2506670673500197 0.5989087815440238 0.602473922537358 0.5335325902833048 0.5857131386070574 0.6696347355074785 0.5499062707268739 0.31865474408491046 0.17743085170851233 0.5722045371070642 0.47745199063617033 0.3339391447463104 0.6254436051565755 0.5330348897318642 0.3840193557340377 0.3790539174407564 0.5001947567360463 0.49742880216631347 0.4523481790010822 0.5756020856891217 0.38601468938123046 0.5983761857213608 0.5002577779398634 0.37575768373021073 0.47933181709866535 0.5845793550827044 0.6771021374081451 0.3868395738773406 0.6776654244091161 0.5472326192338014 0.4208911180651214 0.6519515518173153
21,0.2953682510859024 0.44773373622726026 0.4384782907119053 0.53425902634593 0.46325812054314686 0.6890752484000461 0.4363756334646952 0.38588923991131446 0.5823301220883079 0.4271102445723599 0.49367394885950044 0.3621655378864473 0.5734512182992085 0.424819141267909 0.4132816640906602 0.38006775518396557 0.3940842558324072 0.4125340036638229 0.7055045665729026 0.47897229199416685 0.38029437650673037 0.422589065932352 0.49256108440815655 0.3737758257287711 0.6068775073201483 0.3440335848804764 0.6580410347125774 0.4712229519995609 0.4616988845485535 0.4234217506874913 0.6321635589318434 0.4276972554892579 0.49301775414056587 0.4870439021598431 0.5098841233288772 0.5381840161015582 0.4656982516678136 0.5669155587438985 0.5002266813982994 0.5050086518193996 0.4535278848647857 0.5327191618138754 0.3850978602974881 0.37429276562612346 0.599519428643272 0.3519216226179096 0.4251038426900222 0.3975493355721798 0.5006437446301306 0.587967018546379 0.4822643314021443 0.5459302378456572 0.4699053617960268 0.6635772357968776 0.5489884928341076 0.5400966252921078 0.3652993826728717
22,0.3180476277162299 0.4477337369753486 0.4384782910740305 0.5231487035909547 0.48698007109764707 0.58309279759642 0.43001739907637854 0.4072884355587466 0.343787897190297 0.6201466524270903 0.3653397213264895 0.4622887184579349 0.5215214699002172 0.49585263350154735 0.28637609679524667 0.5890214027748573 0.5838556426054125 0.47754966448472463 0.46162518506964473 0.6224370759021679 0.54290279649921 0.5750998821629998 0.4479235466461358 0.46587688394283366 0.4141799672149644 0.5146583266940505 0.45624704040217917 0.4317608984979378 0.46387842717981037 0.6042211997071463 0.60676142523426 0.4853631557135099 0.6593543148710653 0.49938622433416435 0.4608134635001663 0.4747942633053146 0.5248422104678322 0.555377337645645 0.4451636110337989 0.4316345565374191 0.5890095757291497 0.5087528255718131 0.4113992909056691 0.5020106972043076 0.3639719679682197 0.5187801388878007 0.7161356742939644 0.3963056321572 0.39721293725696927 0.5254121157475765 0.5525667474761973 0.5170601283007747 0.5573413957717087 0.5144365390126707 0.3547565817810066 0.705179877747656 0.5234907005923205
23,0.2829265673654538 0.44773373538691136 0.43847829098032015 0.5761632555072832 0.6365311517132385 0.4766523656969234 0.49070854155036175 0.5408197075365397 0.4630581706640431 0.441520616506005 0.5606440178727808 0.5766205563157434 0.4267137635915003 0.33390718101842615 0.5268395964381366 0.495475347922114 0.4761338939841976 0.5670391099846441 0.48709364524403914 0.3745867623915585 0.4792485635153078 0.6303452570030841 0.4649885311681821 0.29006479371134236 0.4616976812074015 0.4664240838614967 0.4009193717056942 0.4253629543566302 0.613856112616727 0.5315585197307253 0.5871646202301006 0.640154483893342 0.4828781630445972 0.38820336126747074 0.4808965187339379 0.37089459715942547 0.47726387255481584 0.46848381331239497 0.6422818513201195 0.46638330383746557 0.6382424613859085 0.47413873286479424 0.5048540122336861 0.5353309584480481 0.5756085358100431 0.5531792986015068 0.7340349461268139 0.4487804981291567 0.6023042747676032 0.6254355269619581 0.38598155153352465 0.46874026186686635 0.4962658322537987 0.6129565681847138 0.6101083483548775 0.48779416496159617 0.47436616206543214
24,0.24672495426999494 0.4477337364400859 0.4384782916906533 0.5380003850906866 0.383302030534673 0.5355843772996506 0.3549009114097418 0.5367074338585042 0.41883956654732907 0.5026497101238534 0.4660313649422041 0.4390913036029868 0.44359593104585593 0.42139319579438744 0.4105554936143545 0.47701585365264 0.5632563267542333 0.38469662884311556 0.464686952502746 0.5607452644946298 0.5456484471176324 0.5987594312299986 0.4595074349222428 0.5211255564909176 0.47438818197764016 0.38968344371508057 0.347543074245785 0.38174148094506727 0.3662049008986912 0.6096517253195253 0.6880175721620931 0.5094466227633766 0.4679944578365321 0.4445401202727135 0.5037706458799596 0.6270354269030068 0.49345813911595443 0.5001506275578411 0.42825784364176867 0.394511006295086 0.44492086431613487 0.5455135914598341 0.5250620519688964 0.5383158790862013 0.4692453687622396 0.5246747216086852 0.498914443750832 0.5776219963902041 0.5832428056547749 0.41751153925424267 0.5476849227785934 0.47049166426296163 0.4624312025112962 0.4332658144301366 0.5454586836241587 0.549503656417862 0.47525629397893326
25,0.3204632378021239 0.44773373517148857 0.43847829035233593 0.45988674504414595 0.4994273459229551 0.4718234382322915 0.6287648341125508 0.5865822706735191 0.5749556323397652 0.30654336710062624 0.7605584105128341 0.3607876698904307 0.3702726792180903 0.3998967813465171 0.3527672751967047 0.5664052226062878 0.45576596272010017 0.527468052244925 0.5461654736735543 0.5456131997071244 0.5798734765607945 0.5610145848793906 0.3003487829767715 0.49472375454837664 0.5017125209449341 0.6025452828179894 0.4121419822914731 0.5498154429758073 0.4526091036034717 0.4189988840569138 0.4394078425659773 0.4390933577887032 0.48869535304881784 0.5189381071854803 0.6414322175044345 0.42671224698503074 0.42513896619328384 0.5633057500460616 0.6564636569426326 0.4876453075620362 0.7326884857932624 0.42167361619444477 0.41911376649997395 0.5319516891955564 0.4999330912976105 0.5125393617268491 0.5930406241038961 0.601933924295643 0.4915113625590483 0.3100271100657106 0.54559509511839 0.5449643313310853 0.3610414029859855 0.4980254630528782 0.5259839777969395 0.47279500733226365 0.6141513232547944
