,Result
1,0.30852921077002154 0.44773373758116636 0.43847829195619853 0.4492943294019361 0.5623841785687117 0.45437571967153806 0.33016417192200836 0.5868770688282272 0.49913001478786617 0.3388170723489767 0.5477209013508741 0.3885017243673702 0.41515599566511313 0.46569855069092936 0.5710858707589644 0.8370053895653299 0.49255315648638875 0.32152398836991836 0.5143835272035472 0.6240143899639914 0.5794845014939912 0.6013215690806398 0.359552667921726 0.611487233334101 0.5044730230654876 0.6053780019075795 0.6588344731405822 0.4668590018303594 0.5441578979591897 0.4775046309927695 0.467739964502287 0.5167150804048936 0.4216513209730214 0.4754395688625384 0.6047735781608757 0.5581795385462108 0.46488369285303005 0.5762623653375638 0.546390837420318 0.6207043468017416 0.5629251565807087 0.5279845223583297 0.40385362544191733 0.36214960242554933 0.5219579662725338 0.5564228456152095 0.5742387879377676 0.36291885259070794 0.3249749715121441 0.5469236846603741 0.4663922275450638 0.35306127352674105 0.3849136120666108 0.4200951576580898 0.3181103047007845 0.5414576833846372 0.4506662917163911
2,0.3025125685032181 0.4477337363906699 0.4384782907221983 0.5189598005197699 0.6732472359255858 0.40838264658322254 0.5850448837694735 0.5456511735520909 0.5752969141679797 0.5100125320316727 0.5096144648991067 0.40035861847339105 0.4287816088682278 0.581265276577458 0.49339070676796887 0.6249556354948008 0.44507490100624625 0.60065582317978 0.4335523996653779 0.4168752362724724 0.6622583857863906 0.36372284762551965 0.35767265556420547 0.47325857069226634 0.46637675884918256 0.30571050852238235 0.5660166293080703 0.6293996100598623 0.7252887174389496 0.5904443130885505 0.5861958416435832 0.5187077319165428 0.5203420207179646 0.4202169334269365 0.3188831089535688 0.5203348914752449 0.4374046048340504 0.40907034906069434 0.4562177597507684 0.2936232877956194 0.35745295302138813 0.5625859939334166 0.5468312044083857 0.4337532798710186 0.47634405371732513 0.41445850931455147 0.668608369668162 0.2838349970005641 0.5564034588709517 0.5591330762053017 0.5450873073905398 0.35429566266152085 0.4930207211905898 0.32509854789886117 0.4433948491194704 0.5293597359829296 0.5133943922187136
3,0.32240291449472 0.4477337344676122 0.4384782893905748 0.41460035769082226 0.3860950573063145 0.5075187286526465 0.33540118115713546 0.47870911463122967 0.3748151929334296 0.6310593199125178 0.580455398030337 0.41865790682545145 0.5522457972446358 0.7237004761756329 0.6462790040670834 0.6111669299549607 0.6545956050633851 0.5886996150578322 0.2926700109094789 0.4828989150378269 0.5918667088050711 0.4281938241637295 0.4402852750536808 0.49112095270777406 0.42235380305481446 0.6037169807370302 0.48517901846647093 0.6090332502621912 0.37449264284514966 0.3575509335238675 0.4048594006921988 0.6061848857218758 0.5679532804629517 0.4245121830615642 0.554402910851314 0.49313313063446795 0.7286014549466832 0.5411766650145607 0.47385188581477383 0.5131020252778957 0.6166210609596144 0.3967384971002044 0.6703361320594663 0.38202647329676703 0.5669298863751672 0.32493324221087905 0.4953892578786157 0.37553153093247127 0.6933244705575262 0.5437534252951804 0.5449221277134356 0.5990149957155617 0.4906139020265573 0.45849877908336506 0.579672618309884 0.6607184588680519 0.6140234775823548
4,0.24020567955253624 0.4477337359275491 0.43847829174111386 0.49297929387444306 0.47890170976689944 0.5627939381096762 0.5472313040775358 0.5064626845960359 0.6529737259671093 0.5750817780242738 0.5056961091791226 0.44256057556965905 0.35270137944198826 0.43580023627368586 0.43049690374667315 0.6837323215490868 0.5625406054198594 0.5449625132263656 0.5222536929047609 0.5679099023090105 0.5540635162174817 0.26016740954073164 0.5600516805350526 0.4079212011343155 0.39363814662333485 0.46632601037792276 0.49129957710724864 0.45978211206482433 0.43617873689818754 0.47964423268560263 0.46872913306244335 0.4978094001115882 0.563997539755943 0.6538712888470537 0.4177069784667882 0.42369820975584443 0.42817751910749047 0.5275567700829974 0.44705501191216157 0.5004871073375795 0.5879740663040577 0.45809873220384983 0.38275875877032756 0.47328372926855233 0.559640157303419 0.5255386561144649 0.43616603038618723 0.4203854554503399 0.4967569849648167 0.437845222468943 0.5747614049862466 0.5209943351322535 0.5838872205867276 0.36820656282438663 0.5078650249606523 0.463673868510936 0.4943524889753126
5,0.24830716383452228 0.4477337360514079 0.43847829078200046 0.45245937225036786 0.6242693520744724 0.452560286951826 0.6366964860321549 0.35216203094585863 0.6493107578702867 0.5718297078514798 0.5226504238487499 0.43118211613195007 0.5903150866466615 0.5403352859496903 0.5954479780050744 0.6659056498004436 0.4863529542419146 0.33836009378081894 0.46981756519897905 0.5936248508105696 0.5986876849586404 0.5179595865053753 0.3599817707734094 0.5533430850098554 0.490762354876146 0.43300699577500573 0.4425268192861825 0.4958710538984547 0.5788653380668303 0.6043118070240879 0.5889336958787277 0.5271122698215619 0.4615994736185271 0.3970216872720295 0.621312493011044 0.47673728222570716 0.30181291941413735 0.4818063307206677 0.4392484325535158 0.4826677169381007 0.4910566971215825 0.345790987189323 0.5052348008028733 0.5737309091768789 0.4512532043983192 0.5607243212957355 0.24648991001187706 0.5651332470062957 0.6749433305398265 0.38113067405713535 0.5148604399002744 0.511858525376468 0.43866146562455327 0.5184890636073533 0.5835900189052213 0.5574029030795072 0.2646264392057634
6,0.2764502108546506 0.44773373512073766 0.4384782905401424 0.5155806253933654 0.4882779027674141 0.37728365059455865 0.4620440951328841 0.6810099779253806 0.3213254160691522 0.41123244718756513 0.5543180963679447 0.48857158664962275 0.3747647149975292 0.47002523611670305 0.6041070748385461 0.6057586018738229 0.5562763759058366 0.7118501553993164 0.5636334868778349 0.5462607391452148 0.450424960143172 0.4173313149354897 0.47706876242942936 0.32248088457707114 0.6120638698586536 0.43413756733323644 0.3705590509866875 0.34355711277063616 0.44671733938141206 0.4824051778031057 0.42735866019041374 0.45921015076953314 0.43951089574467817 0.47186949107825094 0.27296172599646196 0.4195811014533911 0.6313033404699613 0.3192897364486558 0.6801271369426231 0.5931034563009878 0.5975899031523181 0.6628785588258453 0.38083446731481657 0.5449739889364502 0.4959072625715582 0.4760782519995729 0.633340600380695 0.2652197543359026 0.584637488161646 0.49562605592102926 0.6131206314435772 0.46401552972086757 0.3879544362798839 0.5002683597340072 0.5218908823471158 0.6320986784995994 0.4275070157279054
7,0.21802677142068677 0.44773373463679034 0.4384782892329586 0.34598294713736744 0.5359866785979633 0.5021985507835848 0.5672939872693893 0.5617068807872705 0.45093575314010165 0.3009328894254971 0.43970154531435773 0.5882963698891099 0.6551583481975835 0.5653913506796924 0.41630226693644 0.45477664664532147 0.5525608453253704 0.3764933066696934 0.5245528562836379 0.45255276236734315 0.3947784667674188 0.4995875125587829 0.47447895065190565 0.6529632172541063 0.498001303901952 0.43665675314131924 0.49466703818635804 0.49002029802458597 0.6500359197999026 0.5916349742392756 0.5376195294055847 0.36124889567458984 0.66338256641757 0.38468070465258414 0.430151601938156 0.4655487484900825 0.5631733914966262 0.532655877314791 0.5602339416954117 0.37077339755593597 0.6311307028888913 0.5584039412409171 0.37302864981995676 0.5162298876275678 0.35763172157637263 0.4143726025956427 0.40712736525514703 0.4998958299489407 0.46389198009247057 0.42184913398218243 0.5118456182076728 0.4418051737446428 0.5089336100213929 0.5427205278071472 0.48294667142232905 0.4722934506676413 0.366858964644354
8,0.280650316304563 0.44773373650127984 0.43847829195497656 0.5816800510741121 0.5220160516862195 0.4656994599523017 0.4596380314280384 0.5851078774748418 0.4067451885722566 0.49519061686534177 0.5202234175002877 0.35690784264127123 0.703215223504071 0.2788273154578608 0.5747372676171664 0.7299403089852827 0.45704899523751025 0.3901090354257753 0.524922986112101 0.5142313582206135 0.5233975866020523 0.4693885470565721 0.48044765583886556 0.6325546808342639 0.38766249798377345 0.4240038167840806 0.4878821818916242 0.6941067564007605 0.5879544317194789 0.5362817666771555 0.6197120419124412 0.4461328394448008 0.5342143808926972 0.5342696765056824 0.41835983662249915 0.6134874748944248 0.7072702486342785 0.31629440341953863 0.6845701929792023 0.6673921295159909 0.5900991277288784 0.5563963022754636 0.5387920285736159 0.2996465085977176 0.6453428274257411 0.599093366123353 0.47533871175302794 0.45939788532592457 0.4243683085473336 0.522282981928725 0.7446965582063932 0.48219664050135636 0.3270137908890229 0.5389647713199878 0.3846610901123469 0.6371903838661983 0.5338702834061818
9,0.2974131714213284 0.4477337359199285 0.43847829200531674 0.4702508478977798 0.49746285789305605 0.5147321023678247 0.4315478487418229 0.55972691421869 0.42696430212496 0.5537104766479259 0.5123952507871781 0.5730022464574525 0.4126546742656278 0.4379387196076123 0.6012533979884951 0.3964183120114494 0.4117863017369662 0.6245383001592123 0.502501301532593 0.5004894449931557 0.4832294944549486 0.35332927193669494 0.5994092863963941 0.4261571916552942 0.6910735545116503 0.48084138117777003 0.3346624748041386 0.46178654739149944 0.6542597621009332 0.4401292765597081 0.5317174434944087 0.5944192794304375 0.3429502430059605 0.4501086836542177 0.5126674996989216 0.5509127073550801 0.48996049302066197 0.2548475393852743 0.473377305943228 0.5066218334350361 0.6242571365051062 0.42209151246078414 0.4059864651993922 0.4017433010002589 0.523535933443004 0.40150975682260986 0.5512546832862768 0.3904916533652256 0.4719443165061214 0.49772919524649645 0.5048739469768815 0.4365663462339388 0.5179529260134402 0.5631668294368065 0.4891783434905513 0.4734505589972463 0.4738949520068501
10,0.2750541981616904 0.4477337364765976 0.43847829119158444 0.5390396123321932 0.7109819006762834 0.5174227135782119 0.4765523554207141 0.6243725240452815 0.5081040635747421 0.41219295457374483 0.5218544902695931 0.5931378018092266 0.6147370879864884 0.5339263843651444 0.5657611526978588 0.5162433757633934 0.3603092896835368 0.5405006208829263 0.5606745591504554 0.4159664219246033 0.4393188155841221 0.5101375659980617 0.5992883037492441 0.548495765304899 0.5074383908577353 0.43869053708905503 0.46055918721489153 0.4909481165548822 0.5427639675558102 0.5166609264303038 0.46685713872493423 0.6370136821236742 0.4976826960089995 0.5247726396674797 0.3908312961718666 0.5932595733608809 0.5880004814637289 0.5610714830637957 0.3853492954118309 0.5383448601526084 0.476946737067969 0.5715973580971387 0.4254886984390949 0.3527063053892949 0.4215026499963049 0.4817320952869846 0.6096118796921278 0.5256752300823491 0.4722055100818554 0.4621637994075042 0.5086979770655038 0.3023298180755185 0.417835112683243 0.5735722605254722 0.3892022178978611 0.63680536210552 0.49415346012096134
11,0.2205140367829269 0.4477337356187581 0.43847829193420673 0.5552996979010137 0.463241489675757 0.514866342183471 0.4002232409310113 0.627573338110392 0.4725033552714088 0.4831270475273362 0.4677013348646803 0.4950735257493489 0.5404554736293611 0.5486369151989108 0.5252268779693999 0.368853488756636 0.4320370212806883 0.7274612733619259 0.6301333543255969 0.7229898977394035 0.46281733393622354 0.6271807655765644 0.5244465262868433 0.5154749164784823 0.47464033849100756 0.5695819238469942 0.5544766182688845 0.3670773764632514 0.5272033441824765 0.5876577246644664 0.5411309299265334 0.38391034151948555 0.6161118478080252 0.46847051664517736 0.4054442993088835 0.4736531843196107 0.637337443607156 0.5606192717574818 0.538135356033266 0.4061548878924993 0.4889879161464968 0.564441877001749 0.5221442628634537 0.22385505488010488 0.6748834307680395 0.3995245567394909 0.4692250026061756 0.5185304320788291 0.5756995216809907 0.58144736284752 0.41012395666525153 0.46750874162792755 0.5658877113067521 0.47371932602800326 0.549769508795169 0.5637255303730211 0.29331940337495127
12,0.24681223512228287 0.4477337334641088 0.43847828913276804 0.529484392772207 0.4144059524451414 0.499202935608653 0.41751025380173334 0.6643143977522664 0.6483686684526191 0.6497462871878094 0.568034404935523 0.4858211856304009 0.6489409252456848 0.4330785913495095 0.5740671222006041 0.5548372818553189 0.5835896885923147 0.4773626410432039 0.6700848693522526 0.4472116089805729 0.5140274367801941 0.45155003242102887 0.5110393116263636 0.5381881822109772 0.5009384542263401 0.5323692947415067 0.5505074927119333 0.4550437462556464 0.37327179861264176 0.3773592123005505 0.5068694629954236 0.43942788425197193 0.468667250441656 0.5074650444442098 0.5563463768787142 0.5718578024797755 0.4281885243168441 0.5433951526172955 0.5775347186899658 0.4509279520413704 0.5588975127613006 0.43119901105432845 0.4277162435880296 0.5001187884960177 0.5630971831645856 0.556983881390018 0.5447567010087248 0.5161500781980473 0.4329347320142815 0.5290604787970351 0.501451968227158 0.5620510401299165 0.4441826347385114 0.5259607288092719 0.4433661566279485 0.4595406336377157 0.5114955908286846
13,0.3059577466035221 0.44773373617316065 0.4384782905459399 0.347577128644043 0.32675103619029927 0.5358409477943586 0.3906265883472496 0.8448286481699294 0.5465546092109249 0.3374224240602042 0.6175190755727054 0.44307925339711185 0.4722230878103008 0.512590419198477 0.2918227461228399 0.37431976503728387 0.5106767288272632 0.6083261471729866 0.6160361262638182 0.4412751317792567 0.4504971438060315 0.3879408140545945 0.5943553329448812 0.5104772621219952 0.458350923479962 0.5411075608606686 0.4207181884897067 0.5760466920698587 0.6429438923410358 0.388571647990862 0.500494729672408 0.24509738756146304 0.47557224840253576 0.5952859116657062 0.44687340910294304 0.6132337655491257 0.3631117157593124 0.46832152752257894 0.4367121890902502 0.4172519466312282 0.337849496997437 0.32221427455858714 0.5334436171191601 0.39653410129364 0.3715678357954524 0.4291861238911911 0.29069309725327885 0.47504461284544 0.5080305047055707 0.4513556862211443 0.4539599523996921 0.3478372021255354 0.34039470462966376 0.6471118226757374 0.3383306383291985 0.6228018629995825 0.26673034628865283
