,Result
1,0.1867310399888295 0.4477337351734956 0.4384782903305009 0.4642357433367393 0.6526497941079571 0.3524547182409451 0.564617753485424 0.4672738881788919 0.4849058975553342 0.33987303632835014 0.49084425481356087 0.5549116309181188 0.4255007923512398 0.4266886261374887 0.6853102275550234 0.45659455833652696 0.5455983522925639 0.5271371864198522 0.5519004167632442 0.5100539890239493 0.37778095236335274 0.5278293959991657 0.37304613369976175 0.561969508734631 0.46852955165181487 0.511328494032375 0.411288209026422 0.6631210286043379 0.3986280648650465 0.561929123361135 0.5082922014523364 0.27378602206856395 0.6862623196572613 0.6918076555147251 0.6523891882263478 0.6525118305440996 0.4562194979142467 0.31534853448873335 0.38733464638733556 0.3231880238377775 0.31075537718072405 0.4655061770757743 0.6067080094541013 0.6142545417195808 0.23363173826305253 0.43645582657703763 0.3960978992463877 0.4301003265983201 0.6610810309389895 0.3871180714282695 0.4479297689020523 0.4139064754358452 0.454523224839114 0.5567482943484823 0.3420972104591329 0.41628542887588404 0.5565218865294402
2,0.22364069588438124 0.44773373534209504 0.4384782903750631 0.5923283262898154 0.49769101962764695 0.6157268969167704 0.4222381100221467 0.7172944563702709 0.7348737896864126 0.49984957310552625 0.4501131809371157 0.5725498242488618 0.40904733870675886 0.5008958899710858 0.4833292060525012 0.60370269133522 0.49476794562033866 0.5134950209711595 0.6167600158002029 0.5747056953317928 0.39622311128058463 0.5134849034485257 0.544135522840635 0.5326518982006647 0.6064852459446826 0.5371921938517878 0.3741709911157272 0.5005719582740306 0.44777524623383014 0.5362889138989474 0.3639874187400634 0.4517717491872676 0.47612435681420606 0.46814939775332454 0.49248813891040616 0.5546524771186306 0.676177861686323 0.3753321691094569 0.348296609177254 0.522280439081166 0.5550045741955222 0.5808860734944475 0.4684640642953126 0.5046935342639745 0.5221785906264228 0.42438408971396585 0.5818594881664836 0.4431060752147615 0.5401722313883842 0.3655568589248053 0.690294281968827 0.6721915233892395 0.605681040287649 0.31916589265416906 0.49786118172339416 0.4021333604858322 0.5119828127901672
3,0.23287075130387658 0.44773373455281074 0.4384782908451307 0.48196822575060033 0.6103462121921137 0.6497094410393107 0.45624209286194917 0.6284674542576212 0.5294547374953906 0.5288226010425031 0.428890068724639 0.5218514160853068 0.5675732151130588 0.6058900418178619 0.4629227252712471 0.6003654839492096 0.6111582820583908 0.4516239669257828 0.474830866208906 0.3695002555772786 0.24693117191446118 0.576766200823417 0.46831063638236325 0.6607167732050806 0.6455018199100573 0.4142601389442199 0.5156568807220502 0.5590960986776019 0.599794441375611 0.6538711526523889 0.47381016160313755 0.6674252914211979 0.49759840026473745 0.5611596260334729 0.5059943660998046 0.5390811895761558 0.4207734646459038 0.6326159156717723 0.622130226179746 0.2953994920006014 0.5096635740713185 0.47913211449901916 0.5093758320483195 0.3873165609252637 0.6096622077808109 0.5645047747010956 0.5708673137427607 0.26514002749862153 0.3544195498704021 0.3035073517167043 0.3870610848651454 0.4751820701653834 0.4417893372853174 0.308404898150824 0.3780182911849213 0.3966852741809694 0.5105246178633817
4,0.1518565331333226 0.44773373539487066 0.43847829022219864 0.5969731482962847 0.5786476586073822 0.42427256376092837 0.6093778229558673 0.2610040259637274 0.35497276390894517 0.5377142573817062 0.7026972617207097 0.3952581213921264 0.29452364117803664 0.46172030019036275 0.6264846395707048 0.4014492263469025 0.5759727695791398 0.5889795592775011 0.38648536530045063 0.29877205777076804 0.6233537679151548 0.47287805423721757 0.5295171575308174 0.3515697136549043 0.5407316076169394 0.40977721609683004 0.5069525831498376 0.5237985414065176 0.425934178132882 0.44781097128976566 0.42291013935065846 0.3927675794396455 0.4535357794342404 0.6708134838353141 0.3394962640511897 0.38902916202787674 0.6051509947372259 0.24174483469002295 0.5074413801720953 0.6769136575343356 0.5642629577074919 0.612062760229725 0.3804795758402106 0.45068450596340004 0.7313159872300921 0.4507532106748927 0.3218638517324691 0.5922188095165701 0.5584717402775262 0.3476135028051228 0.5063862132075249 0.6237988914229369 0.6328237170706885 0.5123470171866946 0.541986141449706 0.32194496746574996 0.433931126417571
5,0.19143408153844438 0.44773373432330593 0.4384782895933791 0.40558239504741733 0.4304519903602101 0.4130280436006135 0.5299585513661647 0.5737429155417231 0.40429873377590575 0.48830245165789965 0.45071144135766644 0.5275111973147922 0.5450089541736796 0.5953455135408815 0.5250670777243143 0.41805099655611355 0.5396512793886545 0.6198320916984656 0.6226885198860747 0.46289102147740824 0.32669250608754824 0.5096585444854981 0.5986816360564194 0.37006995628973116 0.5815408841668825 0.4594549184833864 0.3917958804967908 0.5949780491822985 0.4810213023601965 0.46145827335589895 0.6794459116141153 0.5297205315987732 0.5376245442162508 0.3335598725422845 0.37946993101311155 0.4081123428738168 0.4127784741309889 0.4555135252449199 0.526709603328059 0.4670996206687042 0.42670393691125313 0.3606852234862404 0.6622185212477524 0.5421260663267995 0.43214799909544893 0.4143498235491282 0.406547446612776 0.46256457025326364 0.38296211711570105 0.4606828032368182 0.605015152273013 0.5259467534766451 0.5207870676148382 0.4300853871999469 0.6385240890837571 0.5609636261808609 0.5514645719014463
6,0.1622506177134765 0.4477337369436425 0.43847829188678733 0.6459342600763726 0.5650104837297585 0.4392831563138189 0.5322629768956316 0.31698508477889775 0.6866672105774227 0.5760526939193648 0.5085900131428243 0.604506013127003 0.5541156376969436 0.35432459737994787 0.4864941950904883 0.43784382608105077 0.41765693576901936 0.34830963788150837 0.6782083179684404 0.5619253148904222 0.6475641945695447 0.5978969561992874 0.6375370104310892 0.5757450037415005 0.32961231118851364 0.4416517530663483 0.43104127177782237 0.5917466857033487 0.5564939229413671 0.3648476697070503 0.6104988404713112 0.5632017200245367 0.5382839984793772 0.5033203657867322 0.418961309417785 0.526693136150744 0.41303745617591914 0.599188240012635 0.61593556511544 0.377997007734167 0.3861265077061366 0.5686270352665077 0.5454275352380243 0.601966612491475 0.5475930100248593 0.42947310591462173 0.47387043288845176 0.4773284167724777 0.4307874383036383 0.44912594419413265 0.6228499541831172 0.42938929732964926 0.5461611681455545 0.5170522021990079 0.3512879266068559 0.26172290668820203 0.4638447138005476
7,0.16019722179676887 0.44773373588415755 0.43847829434084185 0.45846939092162015 0.3393758293070815 0.6612014627043121 0.5541273218397955 0.6331557308363817 0.3425609185565398 0.6165054946863608 0.6319315555963579 0.6526889111388141 0.35913897252521804 0.3929248790705221 0.5441862130058963 0.46634030297741763 0.5108773996904434 0.5790983421432262 0.43940911532630933 0.6176502009767986 0.40989827539885604 0.5506206664536828 0.4392035953802388 0.4355908192329031 0.4123606320148346 0.5215711227732436 0.3230362867708279 0.3380067079957381 0.7053335555980462 0.5859028432635395 0.5617659473086544 0.5010682149392811 0.6986843759066621 0.3634581628393881 0.6979105224357453 0.6214763242634924 0.3470873009161421 0.49534563394266384 0.3910131002610584 0.560115425125634 0.6439314583474902 0.46516122909134544 0.2918429181726721 0.6361412108312492 0.7017106054377705 0.34383711976926545 0.5758897655981872 0.5748964077524985 0.404054811585484 0.5628573289873033 0.5201625882147501 0.34213485963731405 0.416736946966848 0.5665794611124124 0.5787384585961536 0.39009865751428957 0.5162251742585862
8,0.21669643997496102 0.44773373597134547 0.4384782900673485 0.4438533581226528 0.4781060042279046 0.4151965659238986 0.6952218866861938 0.6573416328535046 0.6177849095539454 0.4391288024648618 0.6127742902402072 0.49096687914449244 0.6211420562967832 0.29736561306067977 0.5679926001765084 0.4444163451959296 0.4894796703031683 0.3599646377042759 0.48309622766065424 0.5617387504742336 0.45096160633427224 0.39867586453374015 0.5780487731112517 0.3372192595175826 0.4832446694646043 0.32132680834036587 0.4201909082043882 0.5007543402883413 0.4691896103967896 0.5884312329701382 0.4081615238895714 0.5431981201378512 0.3594708362188713 0.5603194882394978 0.48230311159665656 0.45134855600436297 0.5903549717011309 0.5670938442482201 0.5455492235006173 0.5518833870585429 0.401653627801433 0.42526541906693627 0.4545686663233769 0.3708215691482293 0.5646449714867956 0.4731420385215987 0.3977468196963249 0.4851238596033016 0.5059184542758846 0.45026682299252907 0.6340187070220017 0.5497014328110306 0.41667806388265144 0.43781829573757636 0.4718898066198136 0.6462899904715025 0.5213918165396861
9,0.1935451397175666 0.44773373711816145 0.43847829301958 0.6208697404117842 0.3948393352450422 0.3875748553467382 0.411375314163583 0.45692351422876853 0.37853123811922007 0.4693233228732786 0.3581488454459326 0.3867356200287496 0.4929015845748462 0.3504713662019515 0.5102370621710461 0.44496582451718536 0.5489217648935556 0.3372150094720996 0.557287867371721 0.40654977294202965 0.4886337030192656 0.5559566374199963 0.6435371590446586 0.3895349289715303 0.7314114542375392 0.5061747195121463 0.48124099102185913 0.4854044521682666 0.5620865963309298 0.49624591555313835 0.5581313824901766 0.4332594337163288 0.5468687495773894 0.37818579421070686 0.4843705996325368 0.6271018106398198 0.5265883477359649 0.5832427054928095 0.537502436155669 0.41055849278097617 0.4653441742925753 0.39201010620673443 0.39261129286093743 0.5138998650176678 0.520239521883173 0.5331363861200759 0.4346800145037896 0.41015830671683634 0.48585636958714357 0.5684549806658852 0.41163483913229904 0.4143231882679177 0.4582522539156545 0.5157786278517303 0.3865874667371365 0.4617552984439035 0.6649268054808983
10,0.2100710313949412 0.4477337352623747 0.4384782917516413 0.5791298075110171 0.8075164680655751 0.6616070865029045 0.3039104716354479 0.6071718161816912 0.3958600154314315 0.5043491051625629 0.5629988757841435 0.5004774425372361 0.751221036986087 0.6040677661358881 0.4595853493647066 0.47609243287044356 0.3042113907531514 0.5582601574029508 0.3468162562240556 0.32482212735324795 0.39668911553683245 0.5511251396320026 0.6076529725171279 0.5859867435119709 0.4083131626744588 0.43901043675560447 0.591670590805142 0.3880016751640427 0.49327513885682917 0.5137811887753069 0.3106293750960706 0.6284324125487476 0.4903372106170151 0.5983180209571322 0.47513571955289197 0.5142544279402274 0.5702297259298834 0.49005528679048266 0.48947143376600843 0.30313810713642586 0.6054043346449463 0.5986126581574555 0.5019526604855007 0.6114458017627394 0.47716682131544236 0.48578788987281435 0.6082056088925614 0.4250156259962007 0.3626050703713112 0.5149867235309018 0.6444207121799964 0.533542479493282 0.48029389874699696 0.695566482497026 0.6229542482116899 0.6141553701733122 0.5911720127179307
