,Result
1,0.14848550902251711 0.4477337348735979 0.43847829035781904 0.32854626481498805 0.38328537577606936 0.4949121614626773 0.21579513297321598 0.32657952943106777 0.35365784928985683 0.7728400920967496 0.6100731891141824 0.521105216271097 0.6135133773814984 0.42460970656927377 0.533645646705826 0.6341199384965854 0.49054277993877293 0.4423754876662448 0.7136204073207644 0.48427856586117685 0.3702123009835933 0.5242593929019675 0.3211078339796645 0.4173565526991859 0.611611751247241 0.4619669349207379 0.4580442872277778 0.39798375119172574 0.3505251088916862 0.4091360387040325 0.5198381584817282 0.2088647095624971 0.4585342538806653 0.26743142813798276 0.617617747030347 0.45520301595192225 0.2585113749768159 0.5157838957836924 0.4557906682505625 0.5520365949517017 0.5375504872673986 0.4724639435293925 0.3125864289936162 0.4700483931318865 0.638598458620635 0.46060066798051413 0.40910471905500634 0.47662280236052373 0.32617680218514367 0.49767697260740434 0.5972154886717254 0.37609510790547657 0.6964486661181589 0.5561028136184787 0.7246775110771229 0.4180123368257203 0.5662668783278493
2,0.21994089312320558 0.44773373548177675 0.4384782895008804 0.6562577848052691 0.49289690560130506 0.5786730709347554 0.34539798967889446 0.6193559207641512 0.48794550542041726 0.7032260197425395 0.6532249904232243 0.5310876467775651 0.21238252855598233 0.41995063272722133 0.4407120174454151 0.572519531094857 0.5088881134365871 0.5244613005862537 0.4966018246015568 0.4201315533639859 0.4777945598589688 0.7691973741325842 0.42051253577999115 0.5218226212983197 0.30444431706183106 0.3190099186878684 0.5222538210211309 0.42292749628694987 0.4003347140725422 0.6709703459756042 0.646333545113161 0.3660330260372793 0.49462905025327675 0.4197145398056241 0.5834042188752292 0.5584671944579307 0.6249639100103663 0.2725280268917465 0.3413666289839292 0.42113141660291314 0.3094972736440431 0.350238039470556 0.6119220229120573 0.5759237659952708 0.6715469895147892 0.3215891344175782 0.5333002379442474 0.4854988611772741 0.3082578537720784 0.5788109782323928 0.7917414901421448 0.3151031563430914 0.47935541190058567 0.5373155221430217 0.6182355183415935 0.36429753542829 0.4483840816931005
3,0.16116871130753435 0.4477337364949286 0.4384782912075297 0.46154162486650413 0.2521855633575331 0.3641122635292569 0.3978720994675888 0.44779873628951966 0.3584867651638452 0.604146326165971 0.4863097199134973 0.5191380855847793 0.369645109560086 0.6227612901642454 0.7599986149804713 0.44738616525445896 0.5640772579644049 0.557658903659716 0.4712663566430813 0.27574919904590545 0.6700769978747972 0.30261141115737555 0.34070150293374163 0.5158431187788222 0.5212984047389834 0.46342052886325 0.6291224050674074 0.19525619778303913 0.5680912455606865 0.5979338134591132 0.4872093182396129 0.27403283909301396 0.3984369643651819 0.3859747004968375 0.35576572015864644 0.8110270922708391 0.56541409941335 0.6693647635765032 0.6482163549428146 0.603038340991361 0.41214195551900534 0.5404611353424094 0.8672409522033357 0.35116748841714707 0.43428180080815537 0.253148412098719 0.2874519648785732 0.5199072052736401 0.7337242230495611 0.5539768487990382 0.4433978656739519 0.8205239572676181 0.45432236447064545 0.31663691950623846 0.7251297818050253 0.503215041877501 0.5524310043250926
4,0.1116716339399707 0.44773373243160863 0.4384782886111364 0.45017485023163983 0.5437727129206951 0.30923156348051595 0.6517998835586208 0.6012555694607266 0.7011910049528172 0.5565825979927125 0.5598411740869763 0.5727907357369575 0.3626483257178053 0.607824682042079 0.5121236879568184 0.4787684769757203 0.38424163890706386 0.7069099423358443 0.6838486790345515 0.47421877473325197 0.5432157191202105 0.5613239372844236 0.36291047627462747 0.4777446119787697 0.3415151728166124 0.4823837707912059 0.5762349139513457 0.3980876336396994 0.45140549168904454 0.5529977143918368 0.5219087203816808 0.3126379129530678 0.41658651977593886 0.7516437548283248 0.22220744987310798 0.5909313154743407 0.40008977199293205 0.11190756701605462 0.698673163135798 0.24767992412969045 0.1874160797307237 0.6810247615263644 0.4784813971705282 0.36422406932107115 0.6043268751361986 0.2611091064947717 0.41239783993928075 0.5721964973817504 0.44262229705010936 0.4134434255300352 0.7381236501020335 0.29468061548514285 0.49790152413357375 0.611364805282333 0.44129661380275087 0.6040237312520693 0.3630615111402385
5,0.18361422934077376 0.4477337349017473 0.4384782889905965 0.4911803134150847 0.2410488891460005 0.46881261763215426 0.654931638162704 0.5827381089944477 0.44060764518260165 0.2898304563654771 0.8345297068087648 0.45382296949245327 0.6248128395678609 0.6501646903807492 0.3549569563150513 0.38129630735160847 0.6149652244213953 0.4673526958458582 0.6462713201173509 0.5133882192271213 0.509167291294749 0.45787740717882597 0.3229013520334004 0.6054665516818127 0.6542354121572599 0.5054296226930881 0.43197149309745364 0.5813377952490246 0.6092604863696567 0.3377132884050126 0.5365902029566446 0.1741612364951387 0.6758700567599408 0.5100485012551392 0.5881650924462613 0.6554106892085091 0.25337111204601526 0.6988998141249787 0.6582132748291994 0.6641063645550105 0.6664980545254766 0.4444530529435185 0.32521848415520677 0.5593470151037432 0.45729272784067804 0.23436656863481836 0.3215753845877104 0.4482690694266596 0.34064805365053846 0.3339724513959974 0.5426116623281663 0.48778733622974174 0.7424403284568547 0.6002119337068668 0.788538847739747 0.854867044263604 0.3672476612125057
6,0.16260127952120518 0.44773373599109256 0.4384782908102376 0.583405244757935 0.3476355202422127 0.24652643241258665 0.3284431202025631 0.5070199772616774 0.6523713275284406 0.5137829147964652 0.7015512956557796 0.6666491938900027 0.39828979960639926 0.605376845790704 0.6795215836090032 0.4245334809188174 0.45497004250030143 0.3774937230106864 0.6793042107846963 0.5865088617179148 0.716238485652921 0.48544735434998765 0.4112329562375452 0.27471184076777777 0.45542477977803386 0.41682106721556206 0.7337300678700193 0.3990620185418979 0.30612643721444593 0.7549746277515582 0.2779424809880823 0.8492569719816007 0.528589639824267 0.3150452720310274 0.6612062279879483 0.7362228039753821 0.7565623371514332 0.5313891992263109 0.6006344715989174 0.27825033894681017 0.4904077208136855 0.5473671338962902 0.30475790769301636 0.2074218965402555 0.3995373579057317 0.22152849317210732 0.5447581139754707 0.273466727676181 0.6120014814034107 0.630438359470038 0.4576563777423857 0.4152385155435432 0.5445106015390164 0.3317318453727732 0.5748774347594885 0.8640333794166756 0.7175680526324391
7,0.10083603186926879 0.447733735416039 0.43847829132402755 0.5453987499597462 0.6187498594358682 0.42183968917546405 0.30885269760142975 0.6466273809736593 0.7396482162461054 0.7166046692911031 0.8217878507019618 0.5831613638365303 0.3440724774101842 0.5787338164214683 0.3568981635595414 0.5359147321562937 0.8422188926025943 0.5811517872459369 0.309017687410011 0.7490155071869775 0.5524801523768306 0.6955059419513253 0.6090007236419108 0.6563247803784088 0.28656963709466815 0.742610355381122 0.5379563408970123 0.292067789725252 0.46237173066823845 0.39367411307012223 0.4206796805331668 0.6214996660246292 0.3433724468601915 0.20099377478203756 0.5520368804185749 0.13369759905127213 0.31743797164317783 0.6125709414067192 0.6934141454906637 0.2136053554192172 0.5374445513871005 0.54791357411336 0.42241528853765054 0.47758760095563946 0.17427378162686027 0.3154310524989923 0.21416882934257347 0.28125615537798904 0.28655942348508817 0.47699516342740245 0.7302370723102993 0.7137447430069077 0.21433121399347696 0.352762197408876 0.49587861030666147 0.25560529881992633 0.37887625132464686
8,0.19222839915990422 0.44773373707503156 0.4384782919146416 0.6195933459980516 0.6978696899003115 0.5978678442159802 0.4421143942301041 0.4117376252261504 0.397947095140279 0.5894311156566286 0.4295042759357634 0.5048695875662742 0.5016344494360295 0.6639506127665922 0.449731095541715 0.45065727456754556 0.6324957789519042 0.3066325148995912 0.6147274596659376 0.5450956502873517 0.5004763699083539 0.8287190076862078 0.5300419655010123 0.6820552161177443 0.558156263437332 0.39358864397318805 0.5340570090323536 0.6201182537000642 0.5263868594512102 0.3600838196222268 0.37708686586185286 0.670633044840857 0.46746298523115676 0.5224932203671244 0.47861034281496373 0.30531397110172304 0.6685073482361648 0.4669570771178135 0.5120320311261547 0.5760175174504776 0.6405925081277747 0.58236476169632 0.2667162948430806 0.4857251284376477 0.6132831917842481 0.6662100953873595 0.5721542500692677 0.3557194274982199 0.4638880284239589 0.36557888730409605 0.41843869392856925 0.4743976097132178 0.5124529138959357 0.4879625906240933 0.3604923927498453 0.3812312080494291 0.44172664856876287
9,0.18651377929413895 0.4477337354639041 0.43847829074290157 0.687679033226087 0.8226173438752609 0.7308676803774061 0.535154906180836 0.5277938632959258 0.19303326850081157 0.5144734631983943 0.2996553279465847 0.6545893119231484 0.4076893155152711 0.34668048720858774 0.4963520060050004 0.47133715495522654 0.2947198541297493 0.5599396861619602 0.3591163072269253 0.5909555934692267 0.38174764892154556 0.30898782994300894 0.6203311704760578 0.6712994855890043 0.6076669887714083 0.3234280529203653 0.2672694672532233 0.727895988986248 0.5464924140932154 0.33019404790171897 0.525487368629034 0.5122167134089436 0.4463969741955726 0.24361460354764905 0.6318140816644833 0.26398564011509756 0.5294332933175557 0.5310297893911125 0.6814299816172352 0.26025806717539607 0.7203899432535703 0.7110071229173461 0.46551644908239337 0.5547338369299608 0.48994828361637555 0.4168764475817565 0.6446855083811838 0.31640923544516647 0.37625041865132486 0.5593329978853351 0.5259883730067461 0.4091284814398589 0.5502344396406161 0.4630957317395284 0.6794485240011578 0.5653321779542584 0.28146194189243606
10,0.22239124745233804 0.4477337351708264 0.438478291260993 0.6973860495195123 0.4420010641102927 0.5436811959792522 0.40959933919706637 0.7231437760594881 0.43022358857073334 0.22847702192274744 0.4944167005217773 0.43461898671909427 0.6608609057992322 0.49472852053062566 0.4830942694042096 0.5951677585691078 0.624029603995519 0.5092770348958908 0.37663367871683273 0.36204657628777825 0.3491529269966764 0.35336812367252796 0.8308652399125245 0.4416912713271444 0.40708753979670836 0.7388576170295407 0.42027178117712677 0.6020362137146732 0.46164921441394047 0.5913720428167474 0.40043215269361465 0.41970081976910534 0.48312680879757236 0.4556722567271336 0.5861867729123446 0.45879530772415 0.633057404663944 0.809241460733481 0.32989797089071143 0.490930598159285 0.6521201602895621 0.39153994350187016 0.4609811953017725 0.43819691922273063 0.4212501105563645 0.6065684078867334 0.5277460287093285 0.5156493881714517 0.4470936346119212 0.542164646814771 0.39013396467178685 0.4547420814054549 0.25976493876572443 0.5782094108421453 0.7390414884649587 0.6566399153792922 0.5708471685633367
