,Result
11,0.1967774589853436 0.44773373469840305 0.43847829304557906 0.5560474285755583 0.4008212142180024 0.55952266330935 0.5847799644094128 0.4083079338193006 0.5057371577227827 0.45363542853852956 0.4634400605333535 0.47550279163207976 0.5064102956329427 0.534051136913358 0.3963620005366582 0.4488156322335727 0.4631649658582295 0.5781714938394136 0.3140714004158153 0.4598817458868516 0.5144241556288193 0.4981838891819742 0.44577114619108976 0.4880489413415201 0.5353342105622623 0.6542285462406988 0.47546447210357734 0.6314653222148259 0.5734464299438626 0.5713274724721698 0.6427235058456969 0.5559049919674017 0.48125168124906054 0.6246356730443355 0.37938875710954106 0.45510593359059204 0.6128160370428646 0.3807759213146545 0.46137296271785083 0.6337713368922728 0.5114336453831554 0.5369577282117727 0.45792851831638653 0.44852079683821644 0.5681919178129118 0.3135876160020397 0.5017291684766614 0.492726140966949 0.6425873279092565 0.3872154754512751 0.5421039425452746 0.495429115938809 0.6358560294216665 0.5714698101641617 0.37623555819013554 0.46722794171339477 0.5381228674465085
12,0.15890834793191935 0.4477337371373366 0.43847828874451955 0.6031788461661509 0.49824359825331643 0.5308934345618489 0.4816236746981593 0.36486925970093087 0.5565253746576808 0.43754323448513105 0.4859528376694291 0.36786615347374924 0.5816967590189351 0.5291654453271188 0.5700120647420348 0.5085408343141495 0.41207284049141657 0.47333890814074464 0.45153487475389686 0.6405833435738993 0.5176352364352874 0.5587289234693381 0.5122311485776053 0.3284791335288024 0.45067434725634936 0.5820454502698126 0.46970224486912154 0.3430981470595107 0.3271031677310168 0.5841184079204932 0.49583465514320274 0.5032709697508827 0.5513669370690923 0.5688332709576824 0.49996007926140984 0.3663924467743342 0.5601827279617816 0.494690069439063 0.4121653640941551 0.6239931791114393 0.523040036840745 0.5476961930893169 0.646167257030867 0.4709883079639204 0.5884792060268239 0.47411688713958544 0.4250873981094239 0.430063466065498 0.5221082740253497 0.5707379406845098 0.41159868941286903 0.509952016666515 0.41935268025820593 0.40471861613960797 0.5094325229438357 0.5055128086194728 0.4439142520062947
13,0.21496916731024202 0.4477337359194719 0.4384782910123832 0.37777019715158827 0.6360729523329229 0.42527387526912835 0.5701053275759193 0.49628207709930455 0.5230992214877064 0.5948043096904593 0.42932460002243145 0.5621567898467825 0.43330706178876743 0.5794202453084061 0.6339680705408455 0.5074773377860835 0.5412961537182257 0.5257963159807044 0.5544996242267415 0.6066571422127883 0.6030619941357034 0.6157653435900606 0.4707486319645141 0.4573192780560076 0.6027701581114183 0.5464290259187531 0.3996605253392262 0.5236712437312403 0.46166485586134354 0.3439029996749362 0.4854762872355304 0.4261341756762768 0.6187733731785451 0.37918946774683576 0.5667346408128264 0.5506703940904243 0.6115644692039655 0.37977624471941507 0.6631101622790435 0.6012782072750164 0.4809727097167601 0.41915223096350845 0.46078435246742383 0.4662129954486786 0.44982973788617064 0.3801647944518236 0.5670806341982612 0.29625567390879637 0.6103097196228516 0.5028988796330798 0.5151184667235441 0.47043422271139046 0.6060329748380108 0.596927280081887 0.559681357072171 0.3962242751796933 0.5116340307530347
14,0.18105780070312275 0.4477337366263923 0.4384782915546606 0.4285931274418895 0.4996606171539706 0.3302522580913254 0.48422984472301916 0.5752850261006763 0.44113387943077614 0.5155315409060632 0.3339813143530308 0.46435678328754 0.413912632047088 0.5742605532209919 0.35291570949109763 0.3398916477710565 0.4465176996261159 0.43669081543922783 0.4991923833929024 0.4303392639966385 0.44484540372954356 0.5401737429133764 0.5424362455562582 0.48251892212895303 0.4496314725306378 0.4384755250393628 0.39928492837682694 0.5905073030453767 0.39649748683824887 0.4229809810136119 0.5832074868861797 0.5667598837717838 0.44760754549914966 0.4341205106250046 0.6486353671758641 0.4195893688630143 0.5848298425920881 0.5831548437959737 0.4645747648280477 0.5797713977781273 0.39821793784347603 0.48048546358895305 0.4787501783720866 0.5531561774898397 0.49491965386376635 0.5390459947766925 0.42270093728041463 0.32568129976983956 0.47642240394349705 0.4277034130217427 0.47920587942819454 0.553943392235836 0.5035211260910867 0.5517917115618699 0.41963455759405316 0.6043125014145301 0.6056584259438956
15,0.14096265290917145 0.4477337360265697 0.43847829022314233 0.5595611225224656 0.5655287029459558 0.44254144963388176 0.5184296736726517 0.41541571359299745 0.5326817707035572 0.4980949867895628 0.49794157634999503 0.4524158040861091 0.49582672359825514 0.5237451300347208 0.6119491714965165 0.4955729399112524 0.5448872894245759 0.48905165482302737 0.3807101446160859 0.4294768944874202 0.5163890614270416 0.41304306148529907 0.4161552326679437 0.4943087622830726 0.4330379937677762 0.42692129680566815 0.4472113274897993 0.42874131566356144 0.5091726730520247 0.529909223407425 0.4015716127604262 0.6109820504148102 0.4469753713936146 0.41982786982705633 0.50001536772887 0.5421793692685803 0.541829202047344 0.4613061045463432 0.4555929783412481 0.6327199606882435 0.3407018739024916 0.6331550979630084 0.5213017299459314 0.4185626251072815 0.5424191277370792 0.49611274303450714 0.5116778644876421 0.5477188994565365 0.46020434280087547 0.40880947056077643 0.5719621014313296 0.4829290279435686 0.5142361987477749 0.45043451254413464 0.5012890823391998 0.6042517309852604 0.5916480251766778
16,0.21039829662823503 0.4477337366080198 0.4384782918611561 0.45459788797331085 0.5920870128313067 0.35543643047030726 0.5292774358251321 0.6325925943292745 0.5782337109677018 0.5751123832629333 0.5579777426232733 0.6156678534168483 0.4757154422391896 0.4711470123317545 0.49925182874885093 0.5616407354235979 0.5360824299516526 0.5809201685323748 0.4110271978602885 0.6345823917264658 0.5436586277825886 0.39123402928169165 0.5660406447766577 0.46913250717356325 0.5255814799287133 0.567741690339416 0.5300675762011477 0.485165660347753 0.5305109786887403 0.4877890831446084 0.5768534373134124 0.5942487897065224 0.6795706137097431 0.5294458529069399 0.45064316940762084 0.612392366711897 0.5598335111872786 0.4474177416901697 0.5338659866881926 0.5941491358379849 0.48598035016695723 0.4107095442372373 0.554272987926762 0.6316614758781287 0.45358496268040815 0.4240466074574534 0.4397633510999155 0.46090674985185853 0.48519004921452125 0.6224382017200599 0.5007312755192173 0.5313860528474913 0.5477674929386027 0.36121035772041743 0.6381616575776546 0.4907663567150925 0.4077801039123569
17,0.20735941961579005 0.4477337372877178 0.438478290379164 0.468147686704511 0.5993297287476477 0.3883890140276727 0.633440842694931 0.456707750186957 0.45296489304730686 0.4303382299598124 0.6277963280393036 0.5868909947895525 0.5497219917641907 0.5756047022433782 0.43186694742816534 0.4676360620001092 0.3943025177097007 0.4916137091312379 0.478884138190116 0.32782659508649514 0.5237724095577894 0.48997345852029295 0.5621998430585124 0.4055274961244986 0.47405144871598864 0.5238973840332493 0.42306862276199114 0.37444175502504023 0.45295771971134907 0.4183149134170979 0.5461511238020393 0.5061785084422117 0.5214195766004946 0.48879793743315025 0.6635499062736158 0.4267264204847603 0.3789845888945791 0.6039846944539126 0.5034139578000919 0.619596259096799 0.44500479384241687 0.5988078393313684 0.5586026236436722 0.4391997948192724 0.4225195137771746 0.6550992836520534 0.4615278891541951 0.5360027650926729 0.5472030077019924 0.5344941355499381 0.36293363874604295 0.4119995607374771 0.4010358965680213 0.3791337454863851 0.4177270392157905 0.5851772382629635 0.5191981152596179
18,0.20895402939434315 0.4477337354245152 0.438478290603816 0.42743188760079065 0.5960731789859518 0.6930577567514071 0.48068429898762444 0.501062124782277 0.40329451041327474 0.5009590774654025 0.5457256322313453 0.5480025883859535 0.4270635554827174 0.4687578710860158 0.45266941795027865 0.5944667800914214 0.5215327631173581 0.45153976582027167 0.5116783719068998 0.5479741135762574 0.34894221225668043 0.6250859897079769 0.546463333787019 0.3658115360879244 0.537632968045556 0.6877139067402626 0.5910521004834685 0.2786352946164943 0.47631781016875224 0.3972451985360183 0.5444379147534213 0.5767419802845393 0.4437716776754398 0.4734460439450056 0.6001653233079663 0.3904081295814497 0.41380400497768144 0.4851717154157815 0.5227148594227814 0.49464340519136124 0.46412482157739465 0.46100539220141384 0.4436815234539215 0.5495016069545556 0.5251092251412783 0.49132634833616107 0.5240731134958516 0.5211641071183996 0.5714017609174739 0.5575527116974037 0.5439848934273152 0.6425652576800451 0.6126625016478017 0.468467833893392 0.6287023241039735 0.6300597508082538 0.46388200213535646
19,0.10046524757273054 0.4477337351425648 0.4384782900830266 0.5111281563924055 0.48159396175191294 0.5289989354969302 0.4329566094273791 0.5803665901068257 0.3721643922725681 0.44220835757550114 0.5283642506457503 0.5800628346805574 0.4543138230015974 0.41744212594693286 0.44045669718682 0.5245842673791928 0.45653279507657823 0.4426824288045389 0.4725586680905362 0.5249400538271181 0.6180084518424686 0.41617989339403993 0.45709466414657457 0.5794786540594493 0.6188136305801193 0.5278540664575716 0.48732991116286284 0.4214512228240823 0.5622404872247471 0.524200405545793 0.6310647291085895 0.6154315407404535 0.4629779276003103 0.41369418317294865 0.3393390843317492 0.5478261253260782 0.5200552867825418 0.44859602593769266 0.3825608067185857 0.42498055474805607 0.5951850809960973 0.4105814315408713 0.5459445355718473 0.48361206426609094 0.5648239160680016 0.4107737414709182 0.43704598401825306 0.46930839538342917 0.5645465344603783 0.41297878512520414 0.4485939962484957 0.3969332007381737 0.43079068233137724 0.6455647302562882 0.49027987173910376 0.4820286492741471 0.45127196064981046
20,0.16415755415667677 0.4477337354317126 0.438478291634657 0.46932033007500545 0.4841938679238014 0.3497137447821673 0.6530520871276246 0.5229246998794167 0.6099179412561496 0.48329063315571524 0.4421385085871968 0.4844587071351317 0.5186190880366834 0.45425444594067976 0.5218131423640633 0.48794483461270355 0.4400699554819465 0.6417224276607508 0.5125003346960195 0.539632549336196 0.6250081954650567 0.36158646970134417 0.5109682491122688 0.5733082124653684 0.5169439786001752 0.5491259683676959 0.4624446631996363 0.6182999591256468 0.47529055250458885 0.6124780402895585 0.6181732038391714 0.4088855582896855 0.5397420672481668 0.4743467064614487 0.5277201035158388 0.559012848697401 0.5155667488634362 0.383880217036326 0.6154032408095597 0.5641524123355072 0.5693226476025564 0.5275655577721953 0.35517322260313583 0.4046139643522533 0.4595241239740674 0.5464439515896187 0.5524868706025463 0.46141387716761734 0.4028544272951954 0.4483278736464707 0.34765589950979026 0.4557353337781217 0.5105469472169701 0.5929759824484824 0.5573480513959378 0.7123463359173141 0.49621153622035885
21,0.20472681153517888 0.44773373463964516 0.43847829087158124 0.4673482918431464 0.536739256853993 0.3970136038154239 0.58375181929439 0.5267113253587492 0.5170861838414302 0.545098139773819 0.43206147909484116 0.5585497470682323 0.42900288868346964 0.45206119014267965 0.5350818991953987 0.5438225447160727 0.5896611419251123 0.5260885313443322 0.522751809924536 0.5221331465520944 0.42467391618325634 0.44188144986323713 0.6220524734649759 0.52020873100982 0.45250713291103717 0.5843630924106052 0.4501786870959291 0.5413229449227906 0.4558075128735717 0.6165413333085081 0.5869014660867297 0.31954168219608997 0.35997244910182413 0.4577616221656199 0.4366363374959785 0.5259475222060979 0.6277521496730847 0.5335979578736766 0.5302256898149866 0.5459122789313182 0.4661261873654476 0.45701823661327207 0.5426061640221346 0.5410668080541053 0.42162181088424366 0.5209147316252503 0.5708345875397763 0.4841897460865402 0.44880058797277167 0.415980417130276 0.3914277822525361 0.37329858876610555 0.428521897934924 0.538424508083193 0.43883339100828517 0.5407335079719737 0.5682502720648128
22,0.19009966431085773 0.4477337344632845 0.4384782908151922 0.38777205273603527 0.4746786061090329 0.4891461659789712 0.5287742449758646 0.5297746094047722 0.4481371886335091 0.391854229688873 0.4882706802911215 0.4523516445998331 0.46126394427525375 0.402227322679699 0.39920615810739357 0.43633441253233207 0.5377428974239453 0.4772607572180638 0.36056708433652446 0.5077688002171886 0.5004645253907655 0.4876521310581945 0.4340831201847453 0.5773998876292302 0.4494682153714383 0.37122090966648186 0.5498888775515591 0.48019248088815114 0.45880680948578295 0.5007769542256483 0.416035436427971 0.5609552092322746 0.3493720685034166 0.4149651069224665 0.49948771477015874 0.6065396436745022 0.4763822295962492 0.5155128449096281 0.5634698990317248 0.4233110402383277 0.5205063655591562 0.3860408139167024 0.3954462642444668 0.5893402916682946 0.45978031886533666 0.611669263922211 0.5670455586219937 0.5835136851271512 0.454954644594888 0.579496086436403 0.6240624039362187 0.3020903351034005 0.576151903836802 0.43132801082790223 0.5372714562424177 0.6158327260470816 0.6273354026039606
23,0.18833559511749443 0.44773373697333574 0.4384782905476202 0.4166186499934485 0.4594548726953211 0.33803884239903387 0.49139392126049547 0.5389918756417877 0.44916543744904475 0.5603105488954478 0.4498310995704965 0.5525533506123453 0.6274284280199666 0.4309486850688011 0.3667128314559573 0.5128818933773744 0.451743325601626 0.4235769212092495 0.5066058916941454 0.5957970712616777 0.5459953076786876 0.5001473895792445 0.42448731632385317 0.46241906992886145 0.5923127439192204 0.5501072595996601 0.4306883814673734 0.5645711682689348 0.6398463158113787 0.4689085014357565 0.3785416081314151 0.47693501569655666 0.48651994488026706 0.4519350921571677 0.5021155118329635 0.4255592615914273 0.5355277195426663 0.3905443453397416 0.390389844553698 0.596137299125861 0.5291418310975582 0.5611283495015145 0.5089495296773311 0.463337616614247 0.6234982811222565 0.42899967925237464 0.5722271412603813 0.5080705081575572 0.45861317768190824 0.6111901575449009 0.4569853795899918 0.4109464065202806 0.5634863535969716 0.44618980004440956 0.4464197762618406 0.461317496572557 0.4082437830718054
24,0.1775595355075908 0.44773373629456986 0.4384782912061133 0.516894664172688 0.4602038696475811 0.43161730389960157 0.5213114651616865 0.6024066649590539 0.5437867152579346 0.4910351638256799 0.47922902566551323 0.5216456074838771 0.5010895422187848 0.5257363960486221 0.386684040939266 0.43306567767908066 0.5985388516238113 0.5519350479656919 0.5045902051509832 0.4593144636239214 0.474955153722815 0.5763130775418412 0.49639700421547767 0.651503718134616 0.642673286216164 0.485534512044205 0.38949397110984113 0.484068726343852 0.5975054687705577 0.4132406453277087 0.5752772947810403 0.5624440643096023 0.46021628365484357 0.45629511626460456 0.4164644707195244 0.5244573266024894 0.44982676653869086 0.5444436729315674 0.46631217680246784 0.3417038551467068 0.5238019032633434 0.512192128260467 0.6425567941267905 0.3559111683559364 0.5295211200869583 0.5433279131037864 0.41712120393877006 0.4519116173353379 0.365055400315867 0.44607051944867554 0.41243903951641026 0.5119278786894033 0.655704238482698 0.4197805179748985 0.53900930146397 0.3630055591403555 0.5324874409439989
25,0.16180126019553756 0.44773373655508086 0.43847829203355876 0.5303884246574847 0.5226608382071739 0.5476280323455116 0.49790174398712084 0.3841945956144874 0.4742099884898041 0.4135929460495903 0.5062956609140041 0.5451427195530815 0.4642184147982918 0.4412951133466313 0.47416807175774756 0.5994331174410467 0.509109388222061 0.4431002602047992 0.438792702813398 0.5586975993645537 0.5282277604453987 0.4034940820862903 0.3865996239612339 0.4335493286238872 0.4937977711462759 0.38446854960372034 0.494112448821466 0.3991862821081458 0.5023277130233503 0.39074767902446944 0.41563510785468116 0.5687774812225185 0.48211466347114357 0.4908346566204002 0.6847782812802068 0.47212109119904955 0.5749119449135361 0.4918517194567799 0.620252088007256 0.49219854401254565 0.48902458129526966 0.5834607422214774 0.31945594951654105 0.4979095754937252 0.4446125392046373 0.4917784743244443 0.4578176121238514 0.5727200286620108 0.7149330253259663 0.4516751931808608 0.4147727810254793 0.3547079616346423 0.4983323378547697 0.5811914712152179 0.5905621811279477 0.5874973671252367 0.4576043781001039
