,Result
1,0.21219859481067094 0.44773373408131206 0.43847829142515116 0.5049780494681003 0.40824947344853046 0.37204558464302495 0.5505460340678976 0.44698914250470895 0.3644984112176856 0.5552213267007399 0.410956066857795 0.4386657355146307 0.4063365943265445 0.645698136590964 0.4363981962781139 0.4181481387380701 0.406529401708006 0.6100662639883019 0.4308189624498905 0.49579511913711827 0.435400260933548 0.3793081204278281 0.4441340217332118 0.5874503887028572 0.4013574146007416 0.5693399604201383 0.39813289353473025 0.6347341779032752 0.49707582692083946 0.5293044155733916 0.5695495812760402 0.6177138066633097 0.37356771366834995 0.4511252100013273 0.6003549001819544 0.5532734765881089 0.40721171565421915 0.5290747206740272 0.5353464019877514 0.45285012084946225 0.5441831247491095 0.5792762056114599 0.5086766352172285 0.6159262728740761 0.6224419025005772 0.45187856695747153 0.5187044397511826 0.5949098255427666 0.5306171020461691 0.4246184270337448 0.5224882737969183 0.6455719138636342 0.44611656653579257 0.5649740946223974 0.41667370352885447 0.509670329501404 0.5212895692369286
2,0.18776483576466127 0.44773373363689994 0.4384782889808457 0.4755198023749674 0.5210230772102667 0.5167681624653461 0.43023749051715904 0.5655343274545253 0.5814421474465514 0.6610107721920545 0.46786208165170856 0.39034907172703687 0.49927669300066535 0.4088538036497192 0.6342943284118766 0.5338563030047786 0.5201942134799541 0.4152449356677056 0.5225935695375313 0.48439886340861904 0.621861711518001 0.4540202019517177 0.4675748363147058 0.5716957349585515 0.37979881213508704 0.4663757650646191 0.47059479808131205 0.4456946870239599 0.5697529551986932 0.4515417441775511 0.45041232305486356 0.4872091734814551 0.5551380286280333 0.40093572332680383 0.4707675249141257 0.3865151614569103 0.5133518618337165 0.5995426647454319 0.4768841999607186 0.44982345090451004 0.44434267584011367 0.4704035590836205 0.4847777505201983 0.4786041297408502 0.5112543984055963 0.45028667585717236 0.46244522699099144 0.4701523160915553 0.5522216247098398 0.573836907457184 0.507070630916865 0.48069635618914947 0.5051382769966464 0.46928474140966253 0.48870929374640226 0.5311250089329705 0.421960315816016
3,0.19225952516233974 0.4477337368379245 0.4384782940589167 0.44210545073845176 0.5090879164403946 0.43101741342723104 0.3761984893730206 0.4590351431249721 0.3851180849082624 0.4197477198969797 0.5508383033367444 0.4210075862218089 0.6143664197435508 0.4857271261700517 0.44881113617155644 0.6323291025536675 0.35044562791330314 0.43761705731114164 0.5730187903468207 0.511857820236047 0.5183456681922332 0.6442874414611878 0.5570385495022583 0.43902600399539965 0.5724120887650482 0.4989804597836093 0.4536907179148296 0.5453414738557877 0.36146599705989163 0.3881482282010665 0.5364283873660021 0.4087465004471013 0.5899864392059043 0.626954962903559 0.47383149617211123 0.5907794537839628 0.5658343331688022 0.47415757447499546 0.4266536784964051 0.6391838265779903 0.4864293487876807 0.5476979327849538 0.5260868414110547 0.5331337034455746 0.5058813948388521 0.6130922457795737 0.5458736315492625 0.4099304222447722 0.4289637164764283 0.5948258521499952 0.5572647924272804 0.5729756197210166 0.4725163227148589 0.5033508744601927 0.5250297901398985 0.5438595169789396 0.5915089795838921
4,0.2018657280660287 0.44773373445185594 0.4384782907395449 0.3705758882998815 0.48129087844769086 0.5107098746627283 0.5372111925947229 0.4552284981541408 0.5653709382062967 0.6807798505777625 0.4882327946996108 0.5439362162696458 0.4284924833761412 0.5657608743401211 0.4561895005919392 0.43854985096944404 0.5248886983731398 0.5246272869620027 0.5161238097401156 0.46062580117451346 0.4283995172085434 0.49401367956551107 0.4737017396869294 0.4867099368891806 0.5683242037147223 0.44223380382122124 0.5446466266348139 0.531547966153673 0.4605054613562367 0.349384251860779 0.5362237237943295 0.6326606457509611 0.5573557243875535 0.5230335390284383 0.5107203094147017 0.5737192378557096 0.5677635164701567 0.3466905312987678 0.49795981284599705 0.6651825906115466 0.4654585741891317 0.4432359932702544 0.5131751351812798 0.38743044082311406 0.5993804559464193 0.4035318640899066 0.5663603199530963 0.39701534929502685 0.5358236330005473 0.48558512788382713 0.4570198609075711 0.5301619960746061 0.3841930324615526 0.5771310008803 0.4536321382353133 0.45536279232730353 0.5952003516354468
5,0.203229984488892 0.4477337365588231 0.4384782902386136 0.618594380323318 0.44085732528439736 0.4155857181323147 0.501056224130705 0.4154467535093502 0.4041274171758774 0.5757602584457071 0.37703387648087583 0.3160996632858933 0.5024240162431418 0.5468714392940648 0.47811502391937427 0.5199294239068408 0.47983353192106765 0.40473900164262644 0.6098420393202718 0.5812667592656753 0.39134884705230827 0.5356460377825928 0.4476294108167503 0.3742379047550523 0.5746626059396841 0.4247950568873073 0.5441706752657546 0.49359025601594314 0.4380763566255284 0.41842364086300604 0.5058181936343448 0.4291631746849445 0.39534925044395886 0.6279155213555287 0.5564597628336925 0.5675658421151378 0.4915170388725814 0.5426978209869897 0.562407351186841 0.4291405987907776 0.5019910786956321 0.6190979617972189 0.524421358373653 0.33391660850807714 0.5559932650532277 0.4797311869421253 0.3620452816887099 0.4514945150738005 0.5596910540575539 0.6250193724622826 0.5936027560850962 0.4571791080763238 0.38966832120511996 0.5572394586795809 0.5716164521207988 0.4116146133015175 0.539966826954324
6,0.18129742729713383 0.447733736213156 0.4384782932222957 0.4379394862273758 0.3672759667907227 0.4208061378369606 0.35968406208509085 0.5165022107462516 0.38816836588676173 0.49329645363073477 0.5664144119953759 0.563729959018983 0.6205372162539389 0.3979970348343361 0.4741287577747064 0.45993384101063667 0.4842281350087725 0.6006363523683793 0.5408074968827602 0.4785021880804935 0.5194523822411574 0.5620488271624012 0.3976213373543869 0.4343837244987185 0.4497842864639495 0.5026408882681264 0.46082810193174184 0.5084689566370644 0.33063994327150753 0.5559879430215986 0.4298099442479787 0.5435982268997487 0.49264419824676303 0.4502764913767626 0.5775820027696049 0.5500747554469358 0.5708837099106352 0.510312087298723 0.5507713372474125 0.40848594905278557 0.39410734762536487 0.3705287265374949 0.4028137177604514 0.3995001448651058 0.4929723006782101 0.5174676954538868 0.4425255068896361 0.3631291022079699 0.5783726460233964 0.6363085505502878 0.4292665389993082 0.3640518629908694 0.4768607414280219 0.5499663010660626 0.45152051241124647 0.46749124759650523 0.4426619070787234
7,0.14743414092393817 0.44773373583014675 0.43847829081943096 0.42483822945071814 0.34854156557032584 0.5422155931360443 0.3241596230969531 0.6714231079453022 0.5074672979147745 0.4748302598065467 0.49436737470136094 0.5600260212801959 0.6065855289651809 0.43154976117917804 0.5410439956451909 0.5228423371967111 0.6101664357076596 0.4932208251550609 0.607593094088685 0.6251108396470101 0.41707429709034727 0.6673408328940607 0.42942376196804005 0.3699835019335136 0.6169501907953787 0.5208043544928374 0.5314461130908102 0.4162253542831791 0.47852611000615997 0.5799397346048709 0.5525623640122146 0.4095073039540398 0.48345595248874085 0.3902769258638038 0.5717821548373808 0.4641233222455829 0.3889064907319586 0.6196720638428055 0.4821164394218852 0.45666893937023145 0.4754958385216738 0.5776249284085683 0.5503651466308186 0.6676302391344043 0.39345165209364313 0.430207150210563 0.30193876561796995 0.6750469311493702 0.41714003259349514 0.4572644398157072 0.5641913850959048 0.6378870535714749 0.5059692882750745 0.5300555898903628 0.5420567472287602 0.5386224168198808 0.48447822860769285
8,0.1841393736050697 0.4477337369268069 0.4384782904069501 0.6388032974972544 0.4608749936770444 0.38924914051246895 0.4862811147706257 0.6107427957219425 0.47435857912611434 0.3854264269107166 0.49275314168981665 0.6187228430227548 0.42631808577983876 0.4236245043374134 0.5747081756406937 0.5096275872816179 0.5653403479280688 0.45491702511222265 0.46608397043210276 0.5404610899084438 0.3549103280837497 0.5859496830612821 0.5487728675571472 0.48486460320336844 0.4603557577428459 0.37303776459850674 0.31947439987465504 0.5075594476872607 0.4379933938503927 0.568919207187876 0.44640915934599745 0.6237454497269759 0.46908636687632876 0.46328014171942666 0.5275174033993469 0.5411333526774758 0.5251852316367307 0.6412294970864987 0.562803359151163 0.3556525503755693 0.516673757613427 0.39094671696234984 0.4453535119936604 0.4379666156655157 0.5076401475645129 0.554353251709393 0.4821899531085714 0.6004481453532032 0.5370812419812595 0.5779974747194024 0.5564470452675578 0.4645747954905427 0.5730759170227098 0.5528000507078353 0.47252515778347426 0.495389211315457 0.43031076489664044
9,0.16785318831332857 0.44773373620065127 0.438478291385906 0.39253725659142963 0.5423178609970841 0.5702218570053744 0.5673790566610639 0.49629150633511887 0.5394957702841221 0.5851487266499363 0.44126153734072665 0.5153476833732704 0.49893093669678135 0.3469992221598398 0.589841974847979 0.6159680620523713 0.4790293033636112 0.5866282307294675 0.6639505882327679 0.5230570159057222 0.5383124935344361 0.41194006891856755 0.6170129198113534 0.6614733907087219 0.6624349028655857 0.5155444137512534 0.6728009923172347 0.431411211263615 0.5219583171388482 0.6721634871449443 0.32424680249001114 0.5645346526812501 0.5641068535322855 0.5475693843337495 0.4201240975995636 0.5788200027572624 0.7567609925877176 0.3847658433004377 0.6266096201178193 0.48099043972338335 0.6914399470917004 0.6121289604311474 0.5762035538796223 0.5015250137581092 0.5407796441621849 0.43938756789867617 0.6265392770293763 0.6216832188182071 0.49818824542633483 0.488046280227481 0.5182870558355986 0.582913690847801 0.5143920495452691 0.4502533448516602 0.5724511040883221 0.38743521683790616 0.5085512242095379
10,0.12723652195425306 0.4477337367941252 0.4384782910292398 0.4280649578336271 0.29201414204276593 0.3350172457949523 0.5447912681829904 0.6158847165641964 0.5654353673455327 0.43906022431087 0.48531817660438314 0.6251236361257723 0.5535997954903412 0.40920620848009137 0.6417405588040346 0.39693405459640496 0.42546648840293877 0.43614327546007436 0.36951428440732925 0.5925138930493297 0.6165137112230874 0.5831900241687237 0.5249187066106292 0.4189568919256664 0.352307404491512 0.4851646749410829 0.4920000479543926 0.5273134839864564 0.5708836945419191 0.3711615613470964 0.37161600875095524 0.4458286683247042 0.5963183679662629 0.467972854696103 0.48274877591557763 0.5054739398987066 0.5852591149996209 0.5387870788826922 0.49229399971087623 0.45924819313787435 0.40790562747410986 0.546308828101458 0.5269053663608224 0.5399051234876602 0.46625312720371237 0.4278439377305898 0.5111889143290724 0.6312059993341775 0.6061234845753068 0.5606070056514383 0.5279523251433379 0.3061217786938241 0.5732666431234528 0.337156158237344 0.43809383655364226 0.49241691143702393 0.553833861724142
