,Result
11,0.27792718902900143 0.44773373854839293 0.43847829390290544 0.5312618705508159 0.38811490213302 0.4056200897750587 0.3786799153279237 0.6036370750127 0.4428932278005083 0.5327777894821586 0.5056047238806852 0.4555307485782116 0.5228535032734255 0.38512873167979955 0.5500399165183447 0.3915225953629647 0.30792865496332555 0.49657170862840067 0.4633435372176792 0.48825948488628135 0.5368875232072903 0.4792549695836617 0.652462066826046 0.6803127940414773 0.558651900596931 0.5249156809853224 0.468206404989252 0.6491398456615453 0.6050335054021156 0.53510359258721 0.51595140065359 0.4631003096405961 0.5535623486873175 0.3944755882155413 0.4557393848103381 0.574136766134538 0.3742691634941037 0.35369939578535486 0.39785456242634276 0.5149582564837939 0.5985401389170935 0.6445013416021977 0.48164395434591395 0.3147075734031078 0.3429231582623128 0.45185062501642304 0.6585524901865576 0.5283040376242736 0.46792340433750423 0.6380222995845826 0.5458895718084469 0.3974492108579877 0.4238419614777192 0.32008274919531066 0.4129766849293809 0.464402487104956 0.5893726528117853
12,0.2947869328929475 0.4477337356012247 0.4384782849527148 0.6005645032867709 0.5225701628644627 0.38851345115953995 0.4928318026975808 0.5307674354912416 0.4799452180360062 0.5324508182820817 0.402581343323296 0.4822730192953846 0.558578700466202 0.47863542371086076 0.4838693423948777 0.5263867161322505 0.4642723362489568 0.519995545997995 0.3695799298631302 0.5207285355157406 0.451686014797088 0.5985906758150955 0.42066363011187785 0.6100064739182428 0.4971689021857205 0.5247647639342151 0.5906978566477444 0.3882305919687064 0.3419299779347401 0.4850651741807294 0.5801919747479558 0.49698363546047536 0.5776547034978057 0.4271799757932647 0.4606498827378578 0.46880140251202196 0.4587684429431872 0.5061396879733507 0.32302702612673645 0.5077300771939872 0.608515418046327 0.6257012705000402 0.43718846780873943 0.4395796192538074 0.6102792979109141 0.42861458315539647 0.41962592220897565 0.6653024746215939 0.30301960995978394 0.5174046617271816 0.5886340458435403 0.5145512249219826 0.5320836547247666 0.42563744490089733 0.520399837856405 0.48911237332387336 0.5262646097828396
13,0.291090134276509 0.44773373281636947 0.43847829114056835 0.6085026716553078 0.5473536478464505 0.47796762492934947 0.4910444825767837 0.4781552193935709 0.5679821299740404 0.5519646340259962 0.5574004244758674 0.6332583766121135 0.6747021435099579 0.3847587920738065 0.5912673761393188 0.5633280371303827 0.440546559067801 0.6346486085194764 0.6085946300916354 0.3928681075452465 0.5687636952069782 0.535153812615353 0.48412081290532133 0.48936458495693314 0.504635063842942 0.4596425019525316 0.5100106344697367 0.4651915171506732 0.6359882849185459 0.24805120593285798 0.5067364749574026 0.32782933452343105 0.5528186181306903 0.4185743736830407 0.4124877379386884 0.4361744976478706 0.3624630075640707 0.578977872261636 0.622007901995712 0.37500703870374474 0.5108935183292918 0.6079242958228811 0.5327406130713735 0.404676118397836 0.31460190951505135 0.5231222066454894 0.40782693259863867 0.5495217987832872 0.47573712010334834 0.44230866524338186 0.44576896172631963 0.47964689265461297 0.2667918130155336 0.46099336392594387 0.5508297206226538 0.5379115931684495 0.4322087588618885
14,0.26730710641519306 0.4477337360942096 0.4384782920242672 0.6157692703389032 0.38463590546321513 0.5844403258736833 0.4841335152251826 0.48217466702329487 0.46362798043549797 0.4951436022130347 0.42777468742444114 0.4769636996321292 0.4957876958089495 0.6224002997836773 0.38249048048056006 0.5924976024521945 0.5527958269827888 0.49814189332323755 0.54261522485615 0.3624901233168502 0.49634334276992 0.513050735292123 0.5650406206240969 0.5221906595163208 0.6029659528151622 0.5658596193630058 0.5778832232202701 0.569414997235886 0.5059279234646523 0.49141529396671324 0.6952929109225415 0.7208748973937101 0.4436492398454763 0.41767253941597615 0.4694098550588185 0.5468790796733516 0.5446217849634263 0.3483986034240711 0.523973900090326 0.45809315701461734 0.48931671140720634 0.5541675849077571 0.4984547289844151 0.44584513244201707 0.5339242432532538 0.598860218071752 0.4060698529422217 0.5653725949590812 0.5493797172129299 0.36211580200411625 0.5204347862786493 0.4257227042728608 0.44211884122812395 0.3942883246392198 0.525841619238332 0.46663392387744623 0.5131970900713193
15,0.15105181577698593 0.44773373498622865 0.438478290863897 0.40120676299472624 0.5859815191721832 0.3134609590391617 0.5848017850101087 0.49851864278100483 0.45385939207154097 0.5720354373409893 0.5635197563439971 0.6423092681286989 0.503418665920437 0.6702004613040963 0.3797654706646069 0.46689231103058076 0.7510728930618853 0.5455049962981211 0.6592473526211159 0.2539694237929325 0.6116226038543178 0.38195210440338034 0.2952286396760505 0.5662871754300367 0.48905963169299305 0.47606930582364587 0.6051612125822425 0.3690491056334207 0.6083215068097523 0.5277755359921745 0.4806530375089746 0.24811410672452283 0.6775672422068809 0.3261167246154359 0.45923705333818426 0.7602712566125017 0.5097504631040729 0.4237471675672508 0.6379378022039045 0.47085938612907313 0.5681773732330109 0.7204953241344366 0.4913813992321826 0.524420019335518 0.4180700954317418 0.30205934934000045 0.5631310644060913 0.5568748049187753 0.37371261583676485 0.4367719601150925 0.4009373053614184 0.29469311044515406 0.3938627814054702 0.3606878522948973 0.4211189718787929 0.5253299088219536 0.5747983873220192
16,0.275704638677638 0.447733732706332 0.4384782931328475 0.47553916312534666 0.3359003611800431 0.508968657739927 0.4279152240776709 0.5834877278872657 0.5399139765388176 0.5839281340683309 0.5378723831476901 0.3901906763125067 0.47930567399150076 0.5098323761652077 0.47909663893672133 0.6489093508718443 0.5335808312221635 0.44730750214639686 0.4824861912864251 0.47782418562604423 0.49329197073843734 0.48429947110343863 0.3829536089684479 0.54708791116293 0.627067129900015 0.516263535691951 0.4904766652283995 0.6197573133673238 0.641998201081377 0.4474488382833148 0.5057666670270752 0.5921251925743237 0.4887777338958679 0.4998011725503087 0.38969144888097434 0.3180536535654244 0.6336958573754804 0.37807069178804437 0.4845343714413935 0.5372861949323495 0.4655784047156973 0.4774105046520449 0.49020388929679176 0.43502479657394155 0.3732859586610461 0.4486876253613138 0.5671991894891825 0.5064847950697876 0.4222635658657122 0.42375905473008635 0.5120664015821517 0.49050921974024103 0.5882953308564206 0.5047901957685489 0.4592178661298914 0.599003222973337 0.5262613462093451
17,0.3115192485281524 0.4477337363539462 0.4384782892244165 0.7308041104307234 0.5519491036129117 0.43580064696830134 0.37011077902423273 0.5295343768457057 0.3591392093152208 0.3710824613001422 0.40057107756363936 0.5790812941664248 0.544102982400768 0.5292363940933555 0.47829014220970745 0.4399857477166998 0.26963696830842504 0.35608527010244667 0.5884265152219309 0.515672376506617 0.6072441052592618 0.40839284936316494 0.6373546440669123 0.3148677414552539 0.4744902772599199 0.5603838146594932 0.504254987096648 0.609087677770887 0.4900797792910155 0.704012346009268 0.6098728194938756 0.5554118372596051 0.41942287293591024 0.5464418787076404 0.5324375367263264 0.34810700950606743 0.3171091224438765 0.48699381565832295 0.5130094404444941 0.48648100227616814 0.33742460196071417 0.30121982624814164 0.5137002763282508 0.4220323592951542 0.44161300988161534 0.36169644570699333 0.4704415707581873 0.419049479113595 0.5511836738738823 0.4467940731259488 0.43036652483872195 0.3993920307595202 0.48557557654123396 0.4758401573210206 0.34349769272970904 0.45359071149693575 0.5835535299564106
18,0.23461447552834358 0.4477337341901604 0.43847828485477325 0.4682736712825481 0.7488689749701758 0.4245336190332319 0.4666407083748489 0.5697341275702225 0.480353075282467 0.5127434749313939 0.4278564140668623 0.4251911953087413 0.443521491911595 0.6066045612283135 0.41378472066806166 0.5634975542683113 0.3555200867481167 0.641609291301975 0.4402901295374314 0.4990719066497583 0.4982860088275157 0.5457010902511499 0.3811524574981282 0.43299185826042424 0.4019342339821338 0.5800874097420868 0.3227257914451139 0.32649852256810563 0.49133172550226234 0.39400993374222343 0.5584033546772378 0.4773744247348065 0.5806981072760947 0.5104378825473513 0.3528744563487856 0.48605605655905604 0.48124931623399647 0.614386551509059 0.7105436149184416 0.3748930649420293 0.4281965954833273 0.5045082848702319 0.47644623045309625 0.5103384404450116 0.539698281698046 0.48212783332247994 0.3211140058381782 0.40644072014824434 0.5590161644366488 0.46912272120947546 0.5990411725576323 0.40217085466567276 0.3516986401258533 0.6305833149761524 0.5607553040811329 0.4618762653973131 0.4394820410906656
19,0.29037991625499787 0.44773373218565754 0.43847828521598836 0.3745449002240457 0.4976983150832967 0.5400650054421818 0.5094196600672758 0.28719553711348345 0.39944908754835234 0.25372173585538504 0.42878780838762304 0.4143418989111967 0.4724939238288286 0.5306040634079185 0.4455150876358472 0.523239075747735 0.49357626088253226 0.43105360557352446 0.6199605197560758 0.4982780645521783 0.5044581023551558 0.48045763107240286 0.5764749467798912 0.5358556308879062 0.5456308549894429 0.5352907870871471 0.3990624424587979 0.5823323659786211 0.49221098297084315 0.5548327506860316 0.6263318123750554 0.2912308886892018 0.7617322979159341 0.5847891540328759 0.4278884404558721 0.4881400953058661 0.6394929353469676 0.5533151143279622 0.5041328802509287 0.4769215416386848 0.4611657338606479 0.3905895089319837 0.5574204730614434 0.5888264150843038 0.4500279206396539 0.6696006333676408 0.45301193731656364 0.5874246333281665 0.5294063129772674 0.5016248070816937 0.5796431094305426 0.5362479250440594 0.5204661548142036 0.5403624745068232 0.5442088521927185 0.6092320090793956 0.504110277544294
20,0.30407745709430944 0.44773373585804693 0.4384782904461635 0.4144870513255439 0.36112940797138543 0.48418915523853834 0.479181150804792 0.6622142851257162 0.5457384907594949 0.5353660559611958 0.3883235038552173 0.6437780265941877 0.3769054388094294 0.5997576414205342 0.3538897502351211 0.42434558496444613 0.6708061029873789 0.5556892295891159 0.37637857742450215 0.3745067453905709 0.5070211896142732 0.6575071865892926 0.4062103080039078 0.7076762779495269 0.5828378297831658 0.3563087656093595 0.4263187403129963 0.4894785964210947 0.5068377529374966 0.7108864930689028 0.5610879461128959 0.6092613390140854 0.4594443424388703 0.5194948754808936 0.3671371427342469 0.6218041453381188 0.5411433719636399 0.6407396945329361 0.4150123313200168 0.694880663038302 0.28758966257833934 0.6020609570542531 0.5701122274409944 0.4062356992579343 0.6184658056829196 0.35252184198849346 0.43840330421286466 0.6789700477680217 0.38302376005309213 0.6538846520585022 0.3642565744943081 0.6797945558797137 0.6042611044165472 0.42528461276152085 0.6835092834892462 0.660507191282985 0.38375274202511395
21,0.27838069242855185 0.4477337371241336 0.4384782919849661 0.46762739976923906 0.5336240404107433 0.44463352855072114 0.44981912303205773 0.5933641726588229 0.4754405336261678 0.5124689266151832 0.5931208564006912 0.40500643296803013 0.49246605210555666 0.5155614653585499 0.45185830433724894 0.4938885325188926 0.6076143458286825 0.4879128562616885 0.5978635070210058 0.4880573685360596 0.5475110390209056 0.49846418088425903 0.4229703693323408 0.47471176653316766 0.4319515398164958 0.46405105756757553 0.4811560013448936 0.5194338250906221 0.597636168271527 0.592963828353982 0.48270312338076393 0.5388057158720808 0.4574752644696809 0.3921330623271782 0.6172023320284299 0.6070401338041546 0.4574380424768824 0.49643971453992475 0.41567175710985227 0.523050199839226 0.5184209126777659 0.5823911840906342 0.581801559793103 0.5197512753699496 0.3144426753975817 0.45488708730557015 0.534544561589993 0.4769215557289801 0.5520809241005357 0.46842400035261755 0.47349148697197907 0.4072247923868169 0.4814988591745707 0.4431655436405844 0.509336617133005 0.43349289009226777 0.5569493587306827
22,0.28494336732498593 0.44773373641043546 0.4384782913177586 0.33967514971147655 0.45799993166161374 0.49718969658630063 0.5591353875284234 0.4860516969763835 0.4393238114103156 0.48527260547688233 0.556796589556227 0.4097087727724932 0.5234042111307701 0.4476194455752967 0.4857293873166612 0.49135917807440355 0.5079629333363835 0.608697972722509 0.48921781518013946 0.5379666688565837 0.3700264373287167 0.4236879362707027 0.5220563802521356 0.4944572365538679 0.45773683378414176 0.4642309497768033 0.4911157989204003 0.5347030421590051 0.5388242220687858 0.4542682336421904 0.5398445127395965 0.5396189812729165 0.4310933840157168 0.3223730459399014 0.5142106520737604 0.44077025785715407 0.44842639016254804 0.46600154074963696 0.4040765771433246 0.41954507218918796 0.46714106238026537 0.5044036972103745 0.5262060980961766 0.4826564059822928 0.5926381115028735 0.4611081669206368 0.6295722136903462 0.48901300976009104 0.46728716873707077 0.4725145099627628 0.4860532576554903 0.5216219606772579 0.5852797061796069 0.5316804186341 0.48414764750659806 0.5253490583094017 0.5791977026347785
23,0.3010552125604568 0.44773373501900376 0.4384782922961382 0.4947404156077195 0.4759439448628693 0.4400754473928006 0.6123550815935893 0.4168744468117145 0.5844754872093484 0.5226851791009093 0.477041823061845 0.4578048494671671 0.4677512040952962 0.4186482738529063 0.44018437853975895 0.392946282151396 0.4151584895820148 0.6583061641137292 0.4254014725051658 0.41302878091128475 0.46863910566885914 0.37279635839148284 0.5328144354121703 0.4014522258461877 0.5623004467975364 0.5620431742511639 0.36948737477783883 0.5575877721523221 0.661589743784043 0.36164558248917505 0.40820843818691116 0.4276266227574833 0.5917145817334042 0.48036677042522974 0.6647867245347724 0.464687099097515 0.43263997496210665 0.4088634669298767 0.5558089454854013 0.5403127219558216 0.46114928470488753 0.4954575946208096 0.41419137270178463 0.49071306685337157 0.5277776492814431 0.5670616058520017 0.3810206418896073 0.5142928667574282 0.4586636290409336 0.413644737204645 0.4267261299573709 0.42094168950990113 0.548711723701618 0.32111218381327755 0.3666071795920883 0.5271400005802591 0.3818339676294462
24,0.24073916450516533 0.44773373634143987 0.4384782900603193 0.49885944966211343 0.6722850359069125 0.4233001562115192 0.5509914617560603 0.5614133938342405 0.6014312178737709 0.4723433733976242 0.5785742988437865 0.5698076706956756 0.45279567796624914 0.4285157635452294 0.3668002955800057 0.5000898631590691 0.5156885673011906 0.48417186834411685 0.5526052273697498 0.57089351711093 0.567587110259984 0.5293168383668215 0.46715703561507077 0.4747195726196632 0.5587886354199022 0.5676859815275701 0.5650849025722701 0.5987404229602092 0.4656949041551045 0.3664440995835255 0.5544045234399056 0.5077511322144619 0.5732291693429061 0.5421179254003464 0.5859589279772933 0.5109622355154914 0.5219900383351945 0.4596990698977046 0.587548290095263 0.4361968072042258 0.5051445122466051 0.4884721808347865 0.42545843278498946 0.5263309139179819 0.389701264789853 0.4954010839300725 0.5874328127527101 0.38642095171840923 0.6122303522094542 0.526117157950714 0.5055774105842213 0.4313728744690565 0.43036393279072116 0.4955235987453312 0.4173304526780884 0.3645931570291352 0.5421538695437704
25,0.29171134219126366 0.44773373631667746 0.43847828872834205 0.5643507774209702 0.43178088943642134 0.5660169798884959 0.6247215557912519 0.4918442715372529 0.4558879646860649 0.44128065782797943 0.512903624375208 0.41244837275573076 0.566754598726513 0.5352491028284028 0.5526976214210377 0.5362251228821149 0.46455110713361575 0.47308275006949946 0.4280870427456699 0.5281383124955749 0.45595266239662413 0.5169212726359378 0.5447319254025529 0.4946292045062635 0.38443771963324663 0.5353866161130951 0.46691325152054963 0.5184447626310176 0.5014100840027652 0.771519280921968 0.39743052299219783 0.6201249816471307 0.5960389040045797 0.4860494277530299 0.5815814950686012 0.5320181161609359 0.43213788099470857 0.5850740150943124 0.5169678947395743 0.46794388260468467 0.41866160840792144 0.4660187428456366 0.6063152726144164 0.5967574960130156 0.3853923218160762 0.45256146374758877 0.5472733380071427 0.568492499264501 0.5587470686860838 0.5050735888185843 0.4975469399516812 0.40734254178915746 0.5318964281459136 0.45348403017634425 0.5772797409790202 0.4835129690085419 0.47964571457820665
