,Result
1,0.20440244129111987 0.44773076720744687 0.43868577310349754 0.4109634366630399 0.31524182571944465 0.60008408140873 0.4157626138045793 0.6017815343611077 0.5317210620968805 0.5790895406368071 0.7453608132794336 0.4739816761722251 0.49098857038933713 0.42266123322739824 0.3722461890714048 0.30595399152714 0.5779136160544364 0.5058754811143059 0.25198528062534953 0.5496729814252107 0.5582538872626523 0.4091713850159903 0.6164172103362742 0.3576596141561553 0.558783171623529 0.5891609876076754 0.40129886624145816 0.4105441873522038 0.18800605001303056 0.4554153780558588 0.7975381669368867 0.36474562124591736 0.5715931092107447 0.47569390835303416 0.5915753213443017 0.8331041939940095 0.44292903835747827 0.39463093484479905 0.41322005070686657 0.6582622703240469 0.5097995302266726 0.701678129251724 0.4781330787011165 0.548000361647561 0.339462662458985 0.5162930278436759 0.626027384125924 0.650756266535477 0.3938200777553388 0.09282924380946023 0.7170048016255319 0.5780527813308092 0.2653438589515219 0.5631224438524239 0.5573796601182315 0.5983885557196337 0.5536959142013106
2,0.30792483099846085 0.44754742668094394 0.43829162279165007 0.5382838305247024 0.7104680153391986 0.5446890824816655 0.45981666418474254 0.29000296295648775 0.5041105022077529 0.4332603940895018 0.6343626961795567 0.4755772637114404 0.4367796542052571 0.6508200814783389 0.38712411095711846 0.4159418185825546 0.42134971559355133 0.7133881128378863 0.42614427119189957 0.4381005313315453 0.5399908003430592 0.4404411842118123 0.2879713371610246 0.590567572530441 0.3841555610117132 0.5634945967347351 0.33631157778803783 0.5000978832014445 0.16245508358360836 0.5359824711168195 0.48631950173763633 0.5157108725780449 0.33665489229238144 0.6108696807486348 0.5434684778817762 0.3293826639287006 0.5485110480329641 0.4044604970813313 0.6832323896573291 0.7161155670513112 0.2735308518684007 0.46601907135316917 0.45519623663150016 0.6272060154573523 0.5786297104006513 0.639040474514587 0.5053808131411741 0.4044890683189943 0.44202520221255076 0.5142475925049238 0.49759220974106294 0.6394457264191556 0.6128727421497182 0.47618049983693317 0.6214273268833789 0.5203985051699971 0.388162499781678
3,0.246223539140396 0.44773544707417273 0.43847639745294953 0.8348338187265176 0.4803412526494767 0.3812514360670252 0.21787019362084184 0.4648183075569965 0.38023759964125015 0.7190161101572409 0.04241225284477708 0.9013638142964508 0.19846807447006498 0.16139974309471888 0.17338981961693287 0.26454538493873064 0.296511416256383 0.6948698306877955 0.2756545840264505 0.8801642311236116 0.22679220342415915 0.7522733448440435 0.4639127715120757 0.7333024559089278 0.7345353921796819 0.751930962547476 0.8871433569977719 0.6391084245122787 0.7584778505529246 0.1984167580190761 0.6976436148488298 0.7190098331563647 0.2909261512812075 0.33682755166340356 0.24016211307366184 0.3709353508155746 0.5442059913219888 0.8563637988665097 0.5186943808871435 0.10874628606787154 0.26991808896543956 0.27261338692773307 0.6861382793813732 0.3553072495258115 0.8468666765169801 0.8674418900706664 0.2967430049244011 0.6546843584030361 0.5874820755023605 0.45349684484704156 0.5276635214001808 0.5561660816003591 0.7983099392602411 0.4588166226012276 0.23879591253325055 0.9349322255579806 0.14191128116367913
4,0.2570825591254558 0.4477313769869085 0.43847933572609965 0.7583832004120697 0.34351260926951305 0.33472989254901436 0.749039493777752 0.4133095368015913 0.5786542781112921 0.34869690890742233 0.20671454291879957 0.40334305734307585 0.507433026959105 0.7550209134276104 0.8662362377851212 0.43549152457887413 0.6794963890416319 0.6900889558936347 0.3115810276337871 0.49909328198245817 0.2126371599222523 0.27339042944338715 0.6236560273101782 0.36665283540497756 0.5721323739345497 0.6981059392815224 0.5639590990271774 0.43607030530405416 0.8793960223991353 0.48361681999178874 0.38713771766586597 0.46288820328443037 0.6543559446843441 0.6741819463485733 0.7368555262408731 0.6228699618165447 0.6666588514786624 0.3863835421553169 0.6657091615943513 0.45380254520509455 0.4991410731099576 0.5858312505741409 0.43011814304609874 0.482086746364202 0.37355623244870856 0.9189349564909584 0.31951643680362135 0.5331602408164671 0.7489969866355757 0.5494992845196256 0.30241928611178975 0.7262286440009554 0.23219090445663254 0.36760381598669817 0.7817450303186758 0.40636451733336043 0.23020493616945206
5,0.21754049948434948 0.44775028333646055 0.43846599740755526 0.7439005745061474 0.3807944865842153 0.4692493820083838 0.48291562887329764 0.4934367431004489 0.7521798462726961 0.17318842611004645 0.5870962935774832 0.4969942907325609 0.7248700082574933 0.40646114837318453 0.8694004473282325 0.32243113620347696 0.3351280174058937 0.38495655256014605 0.3035738446585739 0.27927190947343516 0.1382405555370153 0.2344542849957965 0.4336184438125136 0.1592933937084828 0.5209210294754735 0.7092556150277932 0.3381329903825233 0.2397715272917738 0.13998512781441574 0.4947317688920834 0.3779322172757181 0.4894840573137846 0.4077479165857082 0.46402695314106374 0.565100035029504 0.15952365085118927 0.3019832548689429 0.09052653547529625 0.3592835976868034 0.43781889149916836 0.5733443296893831 0.8470788435915673 0.5711625964285023 0.21643499130903912 0.6614690498338033 0.41381395005306515 0.7905833469496277 0.5935470639088927 0.4687028278392683 0.2021174884770444 0.27067574173658315 0.7081554586426092 0.29000852785546694 0.4107024408616015 0.682745438134586 0.6989222007861354 0.36510708771428224
6,0.24042411327873617 0.4477343142641257 0.4384731446974541 0.5037984192505239 0.5758112208852285 0.4846423584028574 0.24385638506517404 0.33326988888656156 0.5750276014836412 0.46399197571033335 0.6094603722401701 0.1701467041042065 0.3987825467762873 0.7998006198435321 0.21000109898335018 0.28908645284041556 0.29676371903647164 0.6707084708624624 0.2813861287299577 0.5450559705218765 0.1731724473673784 0.4235131029779209 0.6459391089594446 0.24668711362089182 0.30635171926463944 0.7314499112746444 0.31754067257859336 0.3977740826496486 0.5197508140690708 0.6794273988703052 0.5369813278213577 0.018096448152683423 0.17306973050411562 0.3613742416359297 0.5728124580088609 0.8061167042665202 0.5552297660329722 0.4505672542939072 0.4843931446561097 0.5594137585795242 0.6532731008872833 0.39573560105987604 0.3450188770284109 0.4199494568586764 0.23731093285303315 0.4776263623129858 0.46497271637696314 0.2460853588070345 0.8677889419817643 0.29579833746651957 0.4686489716423734 0.2637806957187872 0.643521723389254 0.7516074943836625 0.5047078095237453 0.7427100662806331 0.5760912937922421
7,0.19110907049602174 0.4477181873102877 0.438474027539038 0.6009039943598979 0.7757165333291443 0.8468233784482597 0.31526463372954344 0.24462035013706018 0.3109842418826362 0.3604211190615803 0.6321154323479352 0.2960941227509111 0.3501825604634454 0.37343925046829535 0.836504638633358 0.22171856734345252 0.5821655485570294 0.36370984133036566 0.421131761169899 0.14620800028324735 0.31359632031747736 0.642470365817232 0.273783778308372 0.5430178871855049 0.5321073536207366 0.6019243528597255 0.23054703170146595 0.4026301246897467 0.15619972144708283 0.7690374332301944 0.6125870052620674 0.2844762032617036 0.2758796301243625 0.6671597542065416 0.5329822460110165 0.5278485386843037 0.5980471559522599 0.6530369784451097 0.481647471402655 0.7305809010613884 0.4854055293042536 0.6586534824215478 0.34012819061609 0.5540113070356479 0.5225472180235609 0.6525855299871866 0.46816382219866365 0.45475900797371327 0.40675199723100064 0.36017601920764153 0.6020998151959314 0.7415122696464808 0.11088803945649679 0.747590571226751 0.7810105536715122 0.39405975204108135 0.44286344160534324
8,0.21728732755587254 0.44773124350427385 0.43848196237384324 0.7844169504567912 0.49046503056142005 0.6426031051911919 0.46543525537014485 0.7936754868100273 0.44697995914667726 0.6037681358414726 0.5906673398576081 0.3870118386864014 0.4690526990409864 0.13126921705776756 0.48246763796133374 0.19076839673937387 0.6326576949711257 0.4709988443605188 0.6702195245019652 0.689781025107775 0.5390240651827581 0.498630615038864 0.9496477521969547 0.47518321330896296 0.4038556150706115 0.49610811136507715 0.5391587440227362 0.36024545010741593 0.3220899410558123 0.13009553961501236 0.5283977423681387 0.4805313585959828 0.7067030011555215 0.32177951526451765 0.5310061605767378 0.5811987779790938 0.2675639106862264 0.2887679187334 0.2744764326513017 0.47356762167141186 0.5829757074812912 0.6232885437735822 0.75067284009299 0.1974672508197059 0.49421759361502576 0.7492739644316926 0.4739792550614193 0.5829362113180908 0.39260481606687203 0.4975072177591311 0.8050755730166775 0.15656390918579177 0.5365834469695733 0.14052663253159975 0.3055982970465144 0.6697038526579525 0.40475905679684443
9,0.3037664537145418 0.447742235198443 0.4384765381858334 0.7059989452325967 0.6455745043367006 0.483117283619008 0.7229023572694789 0.28083689952458823 0.49718412885482405 0.4804899254186472 0.8105418072540173 0.4862709302324422 0.5361013418134472 0.6125384483734926 0.4607289501554113 0.6492377548711391 0.42208830080782456 0.36890217685143634 0.6005681594848271 0.5431269330641258 0.47074212444481145 0.643807506107641 0.7683065261074257 0.4110458824229855 0.6195920742650123 0.3802079529962633 0.49790056333320837 0.3666655412960492 0.6397759409018977 0.4643825663449871 0.3838699226437867 0.5811317752850178 0.5430909353821453 0.8883403020432252 0.3324940922322691 0.5226405453575858 0.43916417734393287 0.5449737895921337 0.5598027548586594 0.5278665102070257 0.688766048011105 0.5351401378410304 0.6511986167988182 0.5162870015333931 0.6738314867360842 0.4411218687245087 0.5571295096162047 0.8402047179821366 0.25665304655349214 0.33671419425747195 0.6042336819491949 0.2627728704771227 0.5492505664982942 0.2744823806004051 0.4989755117570288 0.5050652625375054 0.2922255426130233
10,0.28167489407764523 0.44773194568577024 0.4384800627369944 0.4496086666029688 0.6441243004348717 0.6474257533325016 0.5884433141898002 0.8198742916477393 0.4897192795775095 0.4815251155188427 0.6454098552833335 0.3072094874748858 0.5494603543858751 0.517054110570893 0.37820721931006934 0.34183527476312514 0.29789599077963264 0.4507866536592023 0.662418157611335 0.581519763180452 0.40468363619134645 0.37112792634424496 0.8973945328665863 0.8962268107951891 0.5541814987122305 0.842194164110111 0.7918341816142025 0.6091295005235327 0.42237934081426204 0.060497713436350145 0.42642261908139817 0.3450526753838008 0.9188309140044004 0.17358935608558249 0.35139344210541196 0.3108066140914284 0.7486086351969008 0.10751200071954461 0.34075364841128 0.6420241811846702 0.6754738786026928 0.2578515017463585 0.3318398011677426 0.07851827364089589 0.6148776450407974 0.47714490283924693 0.7849698427073163 0.3678277143678956 0.32849823830146585 0.5282757086282536 0.6590075829579963 0.5567736513769724 0.5981845301254851 0.21729808558169172 0.30465190415748633 0.6717124210442493 0.59043416248647
11,0.28026603675188116 0.44773804650037646 0.438481509716913 0.4949667712647564 0.36575639559652573 0.5985005246376328 0.3564287237068938 0.20464485915770925 0.6442055966032635 0.547607560638302 0.6172986780889033 0.6346560406570638 0.6214623873443197 0.36296115553764907 0.229688896955329 0.6489742033217488 0.9197398857606925 0.5391697920342668 0.5905486128222801 0.43154967841976405 0.6365685895137541 0.4569516950993488 0.8235329693513377 0.13559391750322092 0.3634984336557763 0.8586858359311194 0.3796504121420668 0.34269505220772034 0.4997937454495073 0.44659642960133583 0.5541138660019319 0.4029543353249319 0.5563529274629173 0.32433500018673367 0.4100457758841467 0.44766931917218333 0.3636127985428713 0.7509038286615781 0.7922924038639567 0.422426809312395 0.5585300277546088 0.3764494668677913 0.46103673467529555 0.30718151072006333 0.3192279158684726 0.33876847240943053 0.39137738068274397 0.39764695153516993 0.4968639753532646 0.48654778463989184 0.401565962627224 0.27918877943513737 0.9244548377944178 0.49604093100267815 0.2356376979700234 0.4691528118999762 0.4016431114650358
12,0.17840771648177214 0.44771297310624414 0.4384582167017938 0.7058471148149082 0.5559748998098845 0.6081941720715354 0.26262806444557085 0.5578285865718307 0.18742945486138057 0.5909729455817087 0.42345231468992717 0.3267245674854798 0.8509105366414227 0.4611760821072412 0.43554970222828693 0.32522442456350414 0.5253790143672766 0.5029990682019418 0.6749656515564184 0.262002678040849 0.34182111307576885 0.7132941216857978 0.7792128692099242 0.7434915482316999 0.431558878219918 0.5429888837166378 0.47457537848943665 0.14790178655046013 0.32326764185151496 0.4115720653230604 0.6212162896514404 0.6030680239560576 0.18088395541697933 0.45407025161375114 0.9098580619348174 0.571387994960588 0.5935716518055804 0.41496735064706813 0.38090924607765797 0.4437809799086447 0.25196242420081144 0.5146543087422539 0.3728591413852752 0.5495799396251432 0.6794798400162242 0.7013113240237907 0.6235132097864725 0.4032685081350851 0.4001170318424494 0.7824707742646118 0.4355723854329571 0.45298277231023176 0.500216057527525 0.7224184818838639 0.22542004309884367 0.6463346732679521 0.8591701149743218
13,0.1615585098806442 0.44773452623665416 0.43847891505602576 0.5729162611786881 0.6350894543824227 0.29072575713835885 0.6443340373877258 0.7393297307424532 0.5987126366937582 0.6439157600348807 0.4054639278530305 0.4644864209764822 0.6949749129738978 0.31723849219431033 0.4942904196857357 0.44287163956182246 0.5987432104255666 0.37914887747883685 0.3827387970450413 0.19884015291520954 0.7082461665922384 0.6023770161099711 0.6365772283437899 0.5593381492317614 0.2885040564049718 0.44217691606632 0.4928438653749807 0.5239609227707104 0.468924799294817 0.5509071804904234 0.4825767452179226 0.26831171744596377 0.5339273051091294 0.5843395351964251 0.47835260051468925 0.21712821767135262 0.5500684829536041 0.35921806482810065 0.48659403266464196 0.42992179798692387 0.33688880987468545 0.27094446760135366 0.7999036438377456 0.5354535828255911 0.5352457944487508 0.5148240069426167 0.2325872049444694 0.8236844745366751 0.5370556900095528 0.3472738629052338 0.21652188357483906 0.5168452881522455 0.7512784889876359 0.3454896137659908 0.5591876242738582 0.6037764131467095 0.5069677319785049
14,0.25382702042713207 0.4477332757169037 0.4384780757028752 0.34817915976922903 0.481893754663266 0.49913260543292004 0.36794826952778015 0.4094094061356399 0.37897662194559867 0.7825158807213487 0.1880063052385162 0.3181775896401577 0.41977297281267884 0.3408943499002713 0.929712327996578 0.5642013599563135 0.6999975675741649 0.7710682038309736 0.2806347136579785 0.4745686925762091 0.48353415273872224 0.41379274631181084 0.3453141227385087 0.8163898925501395 0.6306245136383286 0.3235067928296248 0.5693090107163082 0.3486060228337419 0.6492495480534848 0.28248503727477525 0.35529239510148425 0.44656156333362296 0.555463783984784 0.5668020995278736 0.45188914374300554 0.557279991389461 0.5148060175148718 0.44276423783515856 0.765413100162511 0.31037960413968574 0.10651413350830555 0.6526028632526978 0.6627583093953339 0.5358450263156143 0.337161092457489 0.697426099259743 0.10873096507781861 0.45699712271098536 0.35173834366693096 0.717496199408413 0.6600704709479919 0.42973338950816375 0.5968729933929029 0.34405930850889005 0.8361146155726938 0.2579178138373325 0.40758319134152093
15,0.3013025011502865 0.4476593580273059 0.4384913319655089 0.4773854626530713 0.515422466592081 0.24774703626754224 0.2811250381014761 0.33578935881811744 0.3657270285145423 0.8967815501732385 0.8838409242535941 0.19892037396978063 0.5341607053075542 0.6719100688945033 0.8872429564011851 0.39381653073364203 0.4542864754583282 0.4086241919797808 0.729560634845007 0.2954773398625828 0.9911907002634149 0.5810111240798519 0.458302457991835 0.48374192849024933 0.8362583251713464 0.7059757435091335 0.40178774714250787 0.7280170960346127 0.5232243305003975 0.5202227248065284 0.5750170448562836 0.2013804641028699 0.6182699763588615 0.3078947304185587 0.3729148300780773 0.20225061700509006 0.52532306592046 0.57388060899865 0.6370458890024041 0.7713282881137553 0.22439283183025183 0.3362372356144278 0.46091911178671013 0.5225281989259493 0.6392342643426244 0.48998194921046234 0.30559056110634714 0.38538445903436314 0.5070076407831513 0.3006274449404113 0.2788174373344316 0.29100040385915815 0.7954468748327964 0.44416200907545966 0.6855402353564586 0.7207908637731709 0.5028749010266091
