,Result
12,0.17446034800332752 0.447733737103416 0.43847829302151664 0.47955485711282786 0.3729799936133347 0.29793215498688863 0.5630890382834526 0.6380886792478566 0.61017703540635 0.3489835581475561 0.4462716822578729 0.504421545711087 0.4099529318993345 0.5684795215037162 0.4899613605902279 0.6537846787021714 0.4266235588394306 0.5938278580918549 0.4854863309472093 0.5931722471525674 0.6029077136512228 0.5070753780979385 0.675513356197301 0.6236052947050561 0.27314663430804653 0.7310556381948583 0.5241709191070645 0.4076689983029648 0.7079810303486747 0.44569966287493545 0.6171080251068998 0.5794866868737748 0.4038636349582519 0.5605276443014685 0.7007944145606313 0.5578884130952619 0.6202369071690809 0.6861681714645894 0.5099911402050523 0.48708619525047153 0.6593439989966972 0.598077151976812 0.3990111511558367 0.6431037364723461 0.4352088166614047 0.2941605616872326 0.6709764305079422 0.4355963131094995 0.4070835033161 0.7294210484603665 0.31526497110144935 0.511658826211005 0.7406589576000077 0.6201973830731558 0.5595081447519216 0.6341998055346734 0.6039437613455663
13,0.18160979777960926 0.4477340787156765 0.4384784071524035 0.6275481291037165 0.27360708688057067 0.492913147299874 0.60999341306783 0.4155705776731486 0.3707526874254762 0.7555979437510668 0.6069135276017394 0.4251823627167277 0.22870275693864725 0.71576886028275 0.5393602760499919 0.6852260729337031 0.5256799086708486 0.2834930455370676 0.36727895846557074 0.6623870860541865 0.641207050213733 0.6534044434409548 0.6005083106978045 0.3544759006540676 0.259092749335936 0.4170626865249442 0.347172607372256 0.7338107559079168 0.3536982407403656 0.4519653659800627 0.8093350045449378 0.5836425285124782 0.36817791933545235 0.36502945329317676 0.24286680078678835 0.43634304557246734 0.39405178660756496 0.5608363161777917 0.1896549780233813 0.36018979240209736 0.37072033280710937 0.2493593212523211 0.5952614812006732 0.793842075551536 0.3527906718081343 0.3605760033060761 0.5090899713871284 0.40499285020907383 0.5825734882731265 0.7016686637705867 0.5564071748598485 0.4610468300453849 0.41427361958971154 0.3102423969428946 0.5985813435667319 0.5575643408802975 0.4121973809064173
14,0.2574985509708021 0.4477337373564295 0.43847829605203803 0.34622929653475476 0.4680894515570887 0.3295920295421151 0.46874825073647003 0.2906669014736438 0.4340830931655863 0.431297041504311 0.40169870777384825 0.443969791391664 0.33392057254780255 0.7011173824388767 0.544593662916967 0.43357235793349697 0.5975219575656783 0.5436288653366476 0.28659539471333106 0.5005570373922525 0.7196508608010846 0.6069147928863593 0.273870542301053 0.49532376482323237 0.6841770161005761 0.48161025491393517 0.6484967796435881 0.5879847889650359 0.4881618310973331 0.44934386228972417 0.37193219284669826 0.5994364847663409 0.5950308874177771 0.44412759261749085 0.5153304333123825 0.5743107563683552 0.3795790540536871 0.6227702395898926 0.19164589966492857 0.467965787864307 0.40091855822843614 0.36233036618448583 0.6806841058924361 0.3922114660351063 0.6324477296518536 0.6036709823396597 0.4098820566134427 0.39981139372503316 0.5600312192724897 0.6628686197158562 0.42149940434028527 0.484860741929164 0.46971253863459766 0.4456670715328589 0.624841087857479 0.6189048309063538 0.24605342178371314
15,0.2686770106072984 0.4477337371189134 0.4384782904918476 0.26783438860681985 0.2587569452827737 0.35053116025474407 0.5498375646784222 0.31765834150048755 0.6673916363941507 0.39103917366453 0.5653617090673307 0.6497663175304551 0.35177053936316777 0.3509462264177956 0.5407863531318889 0.28324815723830266 0.21211674565792496 0.42232355513870196 0.6365243154752077 0.39170146889295804 0.5913282128746997 0.3829943755294256 0.5827604481741915 0.24638797217870473 0.4947299943476298 0.5326247184919954 0.5577811127992844 0.6207595083854732 0.5276586445128718 0.653481420010107 0.40598069004269155 0.6018546710245757 0.5812213072084096 0.6369674336779305 0.34046275066454373 0.3611164240968528 0.331591790539026 0.5013950784881165 0.39481092745000196 0.41125222525898164 0.669226779862787 0.5108774536958431 0.4599967435972494 0.562315384938705 0.6350959047419075 0.3220101477168248 0.3190565097510659 0.5738495029385081 0.34750724376656666 0.5248208920391672 0.6182907757346855 0.6171466562273401 0.6016950804865977 0.463847485078668 0.38719465657204677 0.5171968699219793 0.3679850667481123
16,0.18972691398553249 0.447734126848783 0.438479424566682 0.6039328284485447 0.3625678662720078 0.5229123367869493 0.7005494923523542 0.6346967201462145 0.34226096545828616 0.37705569581421994 0.6498025859517242 0.4365338578519212 0.4302540823665152 0.5437882676975851 0.6501964218809325 0.4268902179186578 0.657692795525161 0.39835778993290055 0.6598017790189947 0.7943054095800903 0.7269603971187752 0.5809964150533526 0.6894205066910082 0.40543742166804825 0.6281789497699658 0.5105023455862742 0.4006674550674043 0.3797799161660142 0.7004553615381428 0.4033565335593786 0.5266258164049334 0.6030135032953072 0.3190342820967139 0.5423185460632418 0.7358846445364792 0.7501156268202444 0.7462729759614094 0.3268004038884466 0.5960818376625598 0.31331944722374755 0.5590025655179288 0.6191978861419893 0.5411922875759451 0.3989457807513616 0.637128481999977 0.6163623868847288 0.4194508698954526 0.41630042822942664 0.32415788597084144 0.6642206454440638 0.4200190441071691 0.7955961715899857 0.6299854254364754 0.42703135241914714 0.5651874117322161 0.4972439885249955 0.708828909060041
17,0.17644671131801867 0.4477337366801569 0.43847829201252064 0.537522163422375 0.5220248249804726 0.6233636070447305 0.5113944126420382 0.4654827066220074 0.24662717230635725 0.5057939376298707 0.5107747895176019 0.7163527042972789 0.24391270667460435 0.7001567307094262 0.3866174061412559 0.4040052027780319 0.6782258195683355 0.3851517964284938 0.5883110173860384 0.4636040765830578 0.42829096215710216 0.5393680814989446 0.5790050133292486 0.4933781223921744 0.641538249537933 0.31439633016946866 0.5317722782818368 0.395142222928454 0.20343908130261962 0.35129284325741544 0.34076723339029347 0.6101241144308547 0.390483903966504 0.48716325331759813 0.5292891422698961 0.697879558000667 0.46331806555714505 0.4597365690258508 0.563454871843138 0.4911692417211849 0.2840355314335128 0.6068470640761117 0.3837881228387754 0.36565733999027283 0.3394920564405514 0.42486735961540434 0.29389527036386803 0.5257814176252329 0.23946089262412215 0.41919247457955267 0.5754275998218247 0.4024403830010959 0.6942199883584138 0.7029121139687645 0.46995576828648783 0.5649037266980679 0.4763224303826804
18,0.15980432107419856 0.4477337354385932 0.43847829005602934 0.48809669857416726 0.6637483281059806 0.6291113569318844 0.5501722540407862 0.37900691156083244 0.36003290996642323 0.4827890918615109 0.3020196459720786 0.6448717088564218 0.6706097938294667 0.7013894940427424 0.6144561798005772 0.6741611795742408 0.7028852406312724 0.39595442598606695 0.5862687517889279 0.5728299668082055 0.45465597118174234 0.3653795546734223 0.32304695171443004 0.5795149074386132 0.5439769605201642 0.6239289936748176 0.6239843481754443 0.534739123794165 0.2586617880943882 0.38297493251836284 0.5598284459695039 0.6260303115816548 0.37648634112815055 0.2944306296215187 0.353227303352261 0.2228666224252696 0.561048559728603 0.5479894674767577 0.584070288548302 0.45409795027466815 0.5757919160658399 0.5201987679067678 0.5939615632342615 0.28535641978287374 0.6593043681830953 0.5897966015740839 0.6337501893554193 0.4129393731084799 0.4439686509242841 0.6520214633509376 0.5365805851567231 0.46475241566531633 0.46355290341019356 0.49828049781996153 0.5074459382432228 0.6149235205452263 0.39360798551415643
19,0.10555929760494429 0.4477337359307409 0.4384782894509158 0.49707812578193344 0.3575189080450189 0.4111032596216392 0.745399363917508 0.46587014791845827 0.33457874359815354 0.44127852376098 0.292793971404535 0.49097610597286884 0.44930924375935954 0.2688430808973881 0.5640547106469025 0.5989020485491684 0.5852401191084067 0.4103076676694894 0.4072970097387658 0.2951014996148619 0.6904527191604468 0.3680438574023892 0.7308387547215108 0.5413448361375567 0.5639125639875501 0.7368275457336383 0.29019981957855273 0.30732198900926305 0.30816418716491223 0.4129800318230232 0.5674238926558759 0.5372750128704301 0.34268586207795154 0.42971313530087096 0.5399921427482293 0.8146308534925925 0.7078104913148827 0.22720018176186949 0.7004684532391041 0.4829329143663001 0.3715692664267707 0.41517727924848125 0.27759703284994874 0.40091281406969154 0.44192631273588867 0.5963653082506137 0.6058726083737984 0.3083285444803362 0.6684213945981431 0.2816059727288896 0.3252756453216961 0.6566676058546174 0.22604655838117058 0.3667488121314457 0.8166214794531821 0.3758643613494686 0.7114146196113506
20,0.2185590840193859 0.44773373430949165 0.43847828897511354 0.323530241184929 0.6292869291065236 0.30495062677595547 0.2946299974572799 0.5839834660422568 0.5964679862293919 0.4904731558796518 0.31281166143274924 0.2670928435691043 0.2680062709712271 0.4523954375325885 0.503907541045535 0.5008273763061254 0.3786726915062727 0.2785918331640732 0.6824403251707761 0.45785711706015597 0.519296846164555 0.46381296408023825 0.5922207300964919 0.38336154705827474 0.34986822840289994 0.45033728364957076 0.5076702963578918 0.4015741327051677 0.46704393098240626 0.3125010039675017 0.37038044770791856 0.5446765589320197 0.39277618782694523 0.7210494520098142 0.4414099474720981 0.5172997360724498 0.33019063932397485 0.47929364124719326 0.6915279653765444 0.6041960832478177 0.65631879949546 0.5855455407614251 0.34383800787535185 0.35790920373267565 0.38738493915986455 0.6215509003265567 0.29193533229706814 0.47272166530442805 0.5675790533236438 0.4684036902130685 0.6666562178575901 0.6666907051909745 0.3870189121181593 0.49068109440869323 0.3305280389262643 0.4490916134618316 0.3873830677308193
21,0.13918731719868702 0.44773373519639215 0.4384782910947738 0.553391577806096 0.48018915725389644 0.3848703084915024 0.3585273895386692 0.5844242135658402 0.6957133545170928 0.750959499927635 0.3199379767557399 0.2960193867882944 0.5026746277637776 0.39685258010099145 0.3980789855705608 0.34429719205757325 0.6425664694737131 0.7025931564516004 0.2669687483188766 0.3842819281010574 0.6345662034213646 0.6449209100117326 0.41031329136456673 0.3827271282629825 0.4608966275503288 0.5986668842673962 0.5388970693012924 0.5245571700086458 0.6902271728830156 0.6211140492560452 0.2085873916275317 0.6453216863231827 0.44264496467046677 0.5906743851461352 0.6501819743072321 0.1963209126829095 0.2714374634610933 0.5143891963412301 0.49004199762955425 0.7780405685627938 0.4573083329506544 0.44231250208845097 0.5964531207417229 0.22352955732585011 0.46195166732822224 0.5302455841775965 0.6115606309345258 0.4870822855532343 0.2713543164598379 0.30582791227396744 0.6974922396925243 0.37912002516040405 0.6940100352136999 0.6291642274324182 0.32268820125393816 0.45531427280810916 0.43499837144952425
22,0.23642268463735588 0.44773373768347857 0.4384782949867086 0.44542227223377345 0.3583000239232478 0.6194545083890536 0.5089063404269881 0.36097585871454674 0.5926760917716837 0.6117087448362301 0.7580360497803103 0.32554743053488533 0.2910656157759109 0.5484981107476389 0.19394786747193563 0.566602209026277 0.6106697247762544 0.31184886486719965 0.6515064339207813 0.48252004862255693 0.5841606930100912 0.3741825423613173 0.58030114241086 0.5769557210735131 0.2883724708090715 0.4738954374132189 0.7802253639625019 0.45820193330791936 0.4754649355091421 0.6591784774332012 0.5777488454111515 0.5933465908646178 0.46033148481675196 0.4684278687751937 0.7110662495642986 0.7064152906755027 0.5065787194756389 0.3585683027212159 0.4257730976592037 0.6626887896568272 0.5099901092491144 0.5958785063039108 0.4691263562772965 0.4533575495749396 0.45784872508313795 0.3341552746369977 0.7737581980393067 0.6434554003758868 0.5984724119606114 0.2470332498974228 0.4841769037738456 0.232569469729131 0.5652156643727341 0.6409913989167535 0.3893699234550553 0.39820190222190843 0.5445323776207994
23,0.17204766688743073 0.4477337346720184 0.4384782897605829 0.633329642651318 0.3105285988930834 0.462127833340756 0.3181670734346393 0.45212297713980665 0.4202422145828488 0.6965024286151429 0.4315666183701684 0.5322443460687368 0.6228921820323366 0.47413882781687394 0.345913057175586 0.4941869618679597 0.7446879165001311 0.5719017619674747 0.5753612780383914 0.39328010210879294 0.6195400890791231 0.18023820810335106 0.45926212617165096 0.25231441863081366 0.45022196474345866 0.47686027052006097 0.42078464811718075 0.381105988891624 0.5748568852725318 0.5883015816967018 0.6770010254247715 0.4709275914060461 0.6719012471388641 0.38161278841660706 0.6429087146797635 0.6859831074966405 0.47928085447884705 0.4220848486319552 0.24245553138908205 0.3670522837658636 0.47479480916674444 0.43241902343071764 0.4552897453429679 0.5135904206236721 0.20654307448573547 0.5987385454353393 0.6115547675863284 0.34838921756842245 0.3463167109305957 0.4732211627261348 0.5253137137105335 0.46604083173015987 0.5561861506390658 0.48875470348336136 0.5648348792767838 0.36814584847328746 0.5703444393138607
24,0.23150958529245036 0.4477337358942742 0.43847829252505727 0.5564491947158713 0.3776559660190762 0.43246054229025566 0.35655344077262596 0.7704915619133936 0.39839390680985853 0.565241960975976 0.3919348199237444 0.6269936939813119 0.4946258214806161 0.7972130452883701 0.5124903946472719 0.4051150377789336 0.3965916801644614 0.3783341878696861 0.28274258709232336 0.4210177184371671 0.42510146340943133 0.2597990386280235 0.5393432558489824 0.41696759307339415 0.4108475964801078 0.6114928846705945 0.4113971231390028 0.25674792944269437 0.6390911631965912 0.5849029271924667 0.4423382394309727 0.5424512177812997 0.8007228999084344 0.6536341764114798 0.7230013229363196 0.380250719274364 0.5628141933795218 0.3998039500599707 0.5185151456229413 0.4915348888594554 0.6698145136532699 0.5876665350451388 0.5243043701628712 0.544002444691982 0.614461008565529 0.6004790089821458 0.699419188491611 0.33776291827096405 0.5503159324966798 0.5027222149177886 0.6913574445524884 0.4951280660523972 0.6248846611936013 0.623463734577608 0.31176358926456754 0.5335785875710592 0.4994529821649082
25,0.10127457826554223 0.4477321051197123 0.4384777316166696 0.4520305227337173 0.7738615849568176 0.6837037200690868 0.730768693507111 0.7647665047090301 0.46931060106053907 0.32720330707782425 0.29729623011604406 0.5757039992310162 0.5404571086670544 0.3441756617666546 0.5227341720503937 0.6553219593885742 0.7453972089766312 0.3952854118453131 0.42219108413437073 0.6219451311831737 0.7235767397868609 0.5126148732959002 0.7618928699007146 0.5082834550068143 0.5132603996004955 0.36384480368551925 0.2949934076234531 0.32230639419853696 0.4281471343272112 0.46699066811467993 0.7030903083125271 0.45606933257493903 0.37738501821466974 0.7392516773046597 0.6084696969160673 0.33409541333341086 0.3133666222216755 0.7010492686990538 0.6308568711413 0.3697563622245952 0.4341267664073827 0.39359852028084014 0.22997327595418507 0.33411865322493384 0.342213925979139 0.27801210941903914 0.32001614821522023 0.5105736673707794 0.6086126615908029 0.6816646998685999 0.42716671080098334 0.3624041476163562 0.6968018625680807 0.7983792699065055 0.26815029700317605 0.4476246963912406 0.5471354896023118
